,Comment,Date,Star Ratings
0,"Excited to find this chill space! Great friendly service, lots of space and good food. Apparently they don't do waffles anymore so that's sad but had a croissant that was really tasty.","
        7/14/2018
    ",5.0 star rating
1,"This place is AWESOME!I was so hungry I gobbled down my food before I had a chance to take a photo.I ordered the sausage, egg, and cheddar sandwich and upgraded for 50 cents to putting it on a waffle versus a croissant or ciabatta. Definitely upgrade if you love the sweet/savory combination or have never had a liege waffle before.I decomposed the sandwich so I could truly appreciate the waffle and the waffle is definitely worth the hype! It's crisp, light, sweet, and perfectly toasted. The sandwich itself was quite good as well- nice and gooey with cheddar cheese and local chicken sausage. I like how much this coffeeshop supports other local businesses- they tout cakes and pastries from around the neighborhood. It's a very clean, friends, bright spot. One note though is the sandwich is not gigantic, it's more quality than quantity but I was starving and it filled me up and was highly satisfying in the process.I also got the iced tea which had quite a bit of flavor. The employee working there was also extremely friendly and helpful, when she saw I was hunkering down for a while to use the internet she recommended I buy the 'in house' iced tea which was slightly more money but allowed for free refills.I will definitely be back for the food and atmosphere! And the wi-fi works great.","
        9/8/2017
    ",5.0 star rating
2,"I love this place and what it's trying to do for the community. This is not your place to go if what you're looking for is a fast cup of coffee to go. This is a leisurely, sit awhile, chat with the staff while you sip your drink and nibble your pastry kind of place. They've recently switched their hours and food offerings (which I don't think are reflected accurately here, they're now open 8am to 3pm), though they still have some hot breakfast sandwiches. I really enjoyed their lunch and dinner offerings, but I understand why it wasn't sustainable and they had to change to continue to serve the neighborhood well. They have board games available for kids to play, great wifi, even a printer. If you're looking for a neighborhood coffee shop to support, go to Greenline.","
        4/13/2018
    ",5.0 star rating
3,"This winter season has been very mild in comparison to the last couple of years.  Cruising around the city, therefore, is much easier and more favorable.  Rosa J. visited another community coffee spot in the Woodlawn neighborhood in the south side of Chicago.  ""Greenline Coffee"" is the southeast corner of Eberhart and 61st.  By the way, this location isn't close to a Green Line stop, but is accessible via the CTA #59 (59th./61th.) bus.  I found Bronzeville/Washington Park/Woodlawn neighborhoods to be extremely beautiful, especially on a gorgeous day like today.  The existence of Greenline brings the community together and revitalizes the presence of local businesses.It's a well-run coffee spot for the local residents or for someone like me who always is in need of caffeine and a quick bite.  I saw the granola on the menu but was informed that they no longer offer this item.  That was alright by me since the ""soup of the day"" was equally enticing.  The chicken tortilla soup was hearty and tasty.  They also have the ""bottomless mug"" coffee option for a very reasonable price, so you will be able to chat with your friend and business partner the entire day without having to run out of coffee!  This place is nothing fancy, but for some reason, it's quite charming, with many canvas arts depicting the historic Chicago on the walls. I'm quite diggin' this coffee shop, and workers are fun and genuinely friendly.","
        2/23/2016
    ",4.0 star rating
4,"Very good coffee. Affordable and local, cant beat it! Took my kid for hot chocolate and ebded up getting a apple covered waffle also, wasnt mad at it. Place is decorated cool, very clean.  I live close so ill be back for sure.","
        1/8/2018
    ",5.0 star rating
5,"I really enjoy bringing my work and sipping and munching in this cafe. I like how sunny it is and that I can always get a table with an accessible outlet. I have had their oatmeal for breakfast and the tuna salad sandwich with chips for lunch. I enjoyed each of them. If I were to have one complaint its minor. One time I was there the cashier was blasting the radio a little too loudly. Other than that the food is good, the space is good and the coffee, also good.","
        6/22/2017
    ",5.0 star rating
6,"An oasis in the dessert! This is a nice, clean, neat coffee shop with additional meeting room space and friendly staff. It will be my new ""go to"" when I'm in the area.","
        5/19/2018
    ",5.0 star rating
7,"Pros: Very friendly ambiance especially if you need somewhere to study for long periods of time.Cons: Not a huge selection of coffee. Focus is greater on menu items and sandwichesBottom Line: Hidden and this slightly sketchy neighborhood is a gem of a coffee shop that has kind people that make a comfortable study environment.I'm only in Chicago for a few days visiting a friend at the university, so I decided to spend my first day scouring the area for interesting coffee shops to get some work done. Because this coffee shop is located on the south side of the university it's a little secluded from the more popular areas frequented by students. Nevertheless, there's huge signs albeit slightly dilapidated that help you find the place if you're coming from the southwest side of campus. I'll admit I wasn't very enthused by the location of the coffee shop given how rundown some parts of the area appeared. Don't be fooled though the community is very close in this area and the employees are extremely kind and warm. Immediately upon walking in, I was greeted with a smile and pleasant conversation. It doesn't seem like many students come here which in my opinion is a plus. Most of the other coffee shops on the northeast side are way too loud and crowded for my taste. I enjoyed a bottomless coffee for $2 which allows you to get unlimited refills while you stay at the coffee shop. Although the coffee is nothing special it is certainly inexpensive and you get a lot of it. They also have some French press options if you prefer something a little higher quality. They have a rotating soup menu that changes every day of the week. Since I went on Thursday, I got a broccoli cheddar soup that was very velvety and buttery. Even better was the bread that came with it which was large, robust, and not hard at all. If you find yourself in this area, I would definitely stop by Greenline coffee again for some pleasant quiet time and a very chill environment. While it doesn't appease my coffee tastes it certainly is everything I could want from a study space and a neighborhood hub.","
        3/10/2016
    ",5.0 star rating
8,"This place is a great local coffee shop located near U of C. It is a nice break from the chains and the coffee is good quality. I ordered a latte and it was very well made, it is a perfect cafe to sit for a while too. If in the area, definitely go here instead of the chains!","
        8/9/2017
    ",4.0 star rating
9,My coffee (caramel macchiato)tasted exactly the cup it was served in. I couldn't even drink it. Expensive and gross. The chicken sausage sandwich was dry an nasty too.,"
        8/18/2017
    ",1.0 star rating
