,alias,categories,coordinates.latitude,coordinates.longitude,display_phone,distance,id,image_url,is_closed,location.address1,location.address2,location.address3,location.city,location.country,location.display_address,location.state,location.zip_code,name,phone,price,rating,review_count,transactions,url
0,dunkin-donuts-des-plaines,"[{'alias': 'donuts', 'title': 'Donuts'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",42.0359497070312,-87.9410400390625,(847) 981-9022,806.9186695820105,Y8HoEtv-X9jY5Ydx-kWPPQ,https://s3-media2.fl.yelpcdn.com/bphoto/6EitZBUrJQfXDHgIaqZWxw/o.jpg,False,850 Elmhurst Rd,,,Des Plaines,US,"['850 Elmhurst Rd', 'Des Plaines, IL 60016']",IL,60016,Dunkin' Donuts,+18479819022,$,2.5,12,[],https://www.yelp.com/biz/dunkin-donuts-des-plaines?adjust_creative=SXx9bG0UkxQJeJodZNyk4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SXx9bG0UkxQJeJodZNyk4Q
1,7-eleven-des-plaines-2,"[{'alias': 'convenience', 'title': 'Convenience Stores'}, {'alias': 'servicestations', 'title': 'Gas Stations'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",42.0222522809488,-87.9412989424054,(847) 364-6994,978.9119656473252,C-wyvJB9WPdRxcZg1kJwrw,https://s3-media4.fl.yelpcdn.com/bphoto/nEOsB_xz0HGOhwDbbGJh8Q/o.jpg,False,825 W Oakton,,,Des Plaines,US,"['825 W Oakton', 'Des Plaines, IL 60018']",IL,60018,7-Eleven,+18473646994,$,2.0,5,[],https://www.yelp.com/biz/7-eleven-des-plaines-2?adjust_creative=SXx9bG0UkxQJeJodZNyk4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SXx9bG0UkxQJeJodZNyk4Q
2,dunkin-donuts-baskin-robbins-des-plaines-3,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'donuts', 'title': 'Donuts'}]",42.0227289285774,-87.9391518607736,,1027.589519604702,3CZL6NXqNPjoJukz1Xn01g,https://s3-media3.fl.yelpcdn.com/bphoto/Ip7mKG5mmvSLTSZTsVNMUg/o.jpg,False,782 W Oakton St,Ste I,,Des Plaines,US,"['782 W Oakton St', 'Ste I', 'Des Plaines, IL 60018']",IL,60018,Dunkin' Donuts / Baskin-Robbins,,$$,2.5,7,[],https://www.yelp.com/biz/dunkin-donuts-baskin-robbins-des-plaines-3?adjust_creative=SXx9bG0UkxQJeJodZNyk4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SXx9bG0UkxQJeJodZNyk4Q
3,7-eleven-des-plaines-4,"[{'alias': 'convenience', 'title': 'Convenience Stores'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",42.0238183017089,-87.9093273682838,(847) 297-0285,984.4121202344708,f5T9pP37sdCq2QDcSEZ8pg,https://s3-media3.fl.yelpcdn.com/bphoto/PnRaYzRk45W3Tt8CZtkHIw/o.jpg,False,586 E Oakton St,,,Des Plaines,US,"['586 E Oakton St', 'Des Plaines, IL 60018']",IL,60018,7-Eleven,+18472970285,$,2.0,3,[],https://www.yelp.com/biz/7-eleven-des-plaines-4?adjust_creative=SXx9bG0UkxQJeJodZNyk4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SXx9bG0UkxQJeJodZNyk4Q
4,bs-sweet-bites-des-plaines,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",42.022464,-87.897392,(847) 795-0743,854.5220668126185,Ss91O4BF-0dSqXqZIuDBYA,https://s3-media2.fl.yelpcdn.com/bphoto/x3dWUomxD0Yekbdhlkd3kg/o.jpg,False,1641 Oakton Pl,,,Des Plaines,US,"['1641 Oakton Pl', 'Des Plaines, IL 60018']",IL,60018,B's Sweet Bites,+18477950743,$$,4.0,67,[],https://www.yelp.com/biz/bs-sweet-bites-des-plaines?adjust_creative=SXx9bG0UkxQJeJodZNyk4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SXx9bG0UkxQJeJodZNyk4Q
5,starbucks-des-plaines,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",42.0268516540527,-87.8940505981445,(847) 298-5270,516.2957752087107,3LVJLes24PR0K_ZMlIXOZw,https://s3-media3.fl.yelpcdn.com/bphoto/ofRmpXE_r3HCVnytwqlJQQ/o.jpg,False,1427 Lee St,,,Des Plaines,US,"['1427 Lee St', 'Des Plaines, IL 60018']",IL,60018,Starbucks,+18472985270,$$,3.5,58,[],https://www.yelp.com/biz/starbucks-des-plaines?adjust_creative=SXx9bG0UkxQJeJodZNyk4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SXx9bG0UkxQJeJodZNyk4Q
6,mcdonalds-des-plaines-8,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",42.023472597944,-87.8969702823156,(847) 297-5630,748.3733178212642,36EpH0xyH1KCpytZXEKBDg,https://s3-media4.fl.yelpcdn.com/bphoto/vBkE8qxFkoZrgap0EnGhNw/o.jpg,False,1101 Oakton St,,,Des Plaines,US,"['1101 Oakton St', 'Des Plaines, IL 60018']",IL,60018,McDonald's,+18472975630,$,2.5,16,[],https://www.yelp.com/biz/mcdonalds-des-plaines-8?adjust_creative=SXx9bG0UkxQJeJodZNyk4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SXx9bG0UkxQJeJodZNyk4Q
7,dunkin-donuts-des-plaines-2,"[{'alias': 'donuts', 'title': 'Donuts'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",42.024284362793,-87.896614074707,(847) 296-4579,682.2029405991264,UvoL5yFR-H-CNs_Ry2Bwhg,https://s3-media2.fl.yelpcdn.com/bphoto/jViMT9MKmJpCD4LCXGtTNg/o.jpg,False,1080 E Oakton St,,,Des Plaines,US,"['1080 E Oakton St', 'Des Plaines, IL 60018']",IL,60018,Dunkin' Donuts,+18472964579,$,2.0,15,[],https://www.yelp.com/biz/dunkin-donuts-des-plaines-2?adjust_creative=SXx9bG0UkxQJeJodZNyk4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SXx9bG0UkxQJeJodZNyk4Q
8,local-coffee-tea-and-sweets-des-plaines,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'donuts', 'title': 'Donuts'}]",42.0409708,-87.886608,(847) 824-5000,1220.2580945994196,q7BScQxlPeOFSckVxpoeMg,https://s3-media4.fl.yelpcdn.com/bphoto/3XWDd4W3Lg9EHto-nsXpFA/o.jpg,False,1501 Miner St,,,Des Plaines,US,"['1501 Miner St', 'Des Plaines, IL 60016']",IL,60016,Local Coffee Tea & Sweets,+18478245000,$$,4.5,24,[],https://www.yelp.com/biz/local-coffee-tea-and-sweets-des-plaines?adjust_creative=SXx9bG0UkxQJeJodZNyk4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SXx9bG0UkxQJeJodZNyk4Q
9,andys-cafe-des-plaines-2,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",42.02393,-87.88657,(847) 298-4341,724.232854815315,IwStf99_2e52Ccrnl4tcNA,https://s3-media3.fl.yelpcdn.com/bphoto/r60hYCnrGjmFOz2_db1RHw/o.jpg,False,1515 E Oakton St,,,Des Plaines,US,"['1515 E Oakton St', 'Des Plaines, IL 60018']",IL,60018,Andy's Cafe,+18472984341,$,4.5,104,[],https://www.yelp.com/biz/andys-cafe-des-plaines-2?adjust_creative=SXx9bG0UkxQJeJodZNyk4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SXx9bG0UkxQJeJodZNyk4Q
