,0
0,https://www.yelp.com/biz/around-cafe-arlington-heights-2?osq=cafe
1,https://www.yelp.com/biz/coquelicot-gallery-and-cafe-palatine-2?osq=cafe
2,https://www.yelp.com/biz/uptown-cafe-arlington-heights?osq=cafe
3,https://www.yelp.com/biz/bread-and-butter-cafe-palatine?osq=cafe
4,https://www.yelp.com/biz/cafe-de-oro-riverwoods?osq=cafe
5,https://www.yelp.com/biz/the-bakester-arlington-heights?osq=cafe
6,https://www.yelp.com/biz/honey-jam-cafe-arlington-heights?osq=cafe
7,https://www.yelp.com/biz/jelly-cafe-mount-prospect?osq=cafe
8,https://www.yelp.com/biz/morning-blend-mount-prospect-2?osq=cafe
9,https://www.yelp.com/biz/releaf-matcha-caf%C3%A9-arlington-heights?osq=cafe
10,https://www.yelp.com/biz/tous-les-jours-schaumburg?osq=cafe
11,https://www.yelp.com/biz/quarter-pole-coffee-arlington-heights?osq=cafe
12,https://www.yelp.com/biz/long-grove-coffee-long-grove?osq=cafe
13,https://www.yelp.com/biz/local-coffee-tea-and-sweets-des-plaines?osq=cafe
14,https://www.yelp.com/biz/starbucks-arlington-heights-10?osq=cafe
15,https://www.yelp.com/biz/handsome-bakery-and-cafe-schaumburg-3?osq=cafe
16,https://www.yelp.com/biz/covered-bridge-creamery-long-grove-2?osq=cafe
17,https://www.yelp.com/biz/jazz-cafe-wheeling?osq=cafe
18,https://www.yelp.com/biz/spunky-dunkers-arlington-heights-2?osq=cafe
19,https://www.yelp.com/biz/spunky-dunkers-donuts-palatine?osq=cafe
20,https://www.yelp.com/biz/starbucks-arlington-heights-7?osq=cafe
21,https://www.yelp.com/biz/donut-drop-schaumburg?osq=cafe
22,https://www.yelp.com/biz/starbucks-palatine-6?osq=cafe
23,https://www.yelp.com/biz/stans-donuts-and-coffee-schaumburg?osq=cafe
24,https://www.yelp.com/biz/starbucks-arlington-heights-11?osq=cafe
25,https://www.yelp.com/biz/java-junction-buffalo-grove?osq=cafe
26,https://www.yelp.com/biz/jazzmans-cafe-and-bakery-arlington-heights?osq=cafe
27,https://www.yelp.com/biz/dunkin-donuts-arlington-heights-4?osq=cafe
28,https://www.yelp.com/biz/stellas-place-wheeling-4?osq=cafe
29,https://www.yelp.com/biz/amazing-breads-and-cakes-des-plaines?osq=cafe
30,https://www.yelp.com/biz/stellas-place-wheeling?osq=cafe
31,https://www.yelp.com/biz/stellas-place-wheeling-5?osq=cafe
32,https://www.yelp.com/biz/le-peep-cafe-mount-prospect?osq=cafe
33,https://www.yelp.com/biz/bangkok-caf%C3%A9-arlington-heights-4?osq=cafe
34,https://www.yelp.com/biz/dunkin-donuts-arlington-heights-7?osq=cafe
35,https://www.yelp.com/biz/starbucks-palatine-7?osq=cafe
36,https://www.yelp.com/biz/starbucks-rolling-meadows-3?osq=cafe
37,https://www.yelp.com/biz/elsies-place-prospect-heights?osq=cafe
38,https://www.yelp.com/biz/dunkin-donuts-arlington-heights-6?osq=cafe
