js-analytics-click href,scrollable-photos_img src,js-analytics-click href 2,scrollable-photos_img src 2,js-analytics-click href 4,icon_svg href,js-coachmark-tooltip,indexed-biz-name,biz-name,offscreen src,review-count,business-attribute,category-str-list,category-str-list 2,category-str-list href,category-str-list 3,category-str-list href 2,offscreen,biz-phone,secondary-attributes,biz-city,snippet,nowrap,nowrap href,category-str-list 4,category-str-list href 3
https://www.yelp.com/biz/around-cafe-arlington-heights-2?osq=cafe,https://s3-media4.fl.yelpcdn.com/bphoto/-rLneSWR257Eabgxzu9uqg/ls.jpg,https://www.yelp.com/biz/around-cafe-arlington-heights-2?osq=cafe,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.yelp.com/biz_photos/VtRJr_HA_S2T-hLl0Uihgg,[object Object],Click on the arrow to explore business photos.,1.,Around Cafe,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,162 reviews,$$,",",Bubble Tea,https://www.yelp.com/search?cflt=bubbletea&find_desc=cafe&find_loc=60004,Coffee & Tea,https://www.yelp.com/search?cflt=coffee&find_desc=cafe&find_loc=60004,Phone number,(224) 248-8625,28 E NW Hwy,"Arlington Heights, IL",“We were probably the few who were sad when Fiore Cafe closed down; come on-back in the day they were the only place to get bubble tea and my flowering teas in…”,read more,https://www.yelp.com/biz/around-cafe-arlington-heights-2?hrid=7poWY4pX4er5aAHdMd2jTA&osq=cafe,,
https://www.yelp.com/biz/coquelicot-gallery-and-cafe-palatine-2?osq=cafe,https://s3-media1.fl.yelpcdn.com/bphoto/lyqws6vOzZqqWwXg21xWxA/ls.jpg,https://www.yelp.com/biz/coquelicot-gallery-and-cafe-palatine-2?osq=cafe,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.yelp.com/biz_photos/P3qCei6xqZHDxZa_ENQS2Q,[object Object],Click on the arrow to explore business photos.,2.,Coquelicot Gallery and Cafe,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,20 reviews,,",
                    ,",Art Galleries,https://www.yelp.com/search?cflt=galleries&find_desc=cafe&find_loc=60004,Cafes,https://www.yelp.com/search?cflt=cafes&find_desc=cafe&find_loc=60004,Phone number,(847) 496-5461,4880 Euclid Ave,"Palatine, IL",“Overall cute coffee/tea shop with beautiful art pieces and trinkets places throughout.  I was looking for a quiet yet pretty tea shop so i can do work while…”,read more,https://www.yelp.com/biz/coquelicot-gallery-and-cafe-palatine-2?hrid=ItwD8XTw-vTpIixHgmOuJQ&osq=cafe,Coffee & Tea,https://www.yelp.com/search?cflt=coffee&find_desc=cafe&find_loc=60004
https://www.yelp.com/biz/uptown-cafe-arlington-heights?osq=cafe,https://s3-media3.fl.yelpcdn.com/bphoto/gNcr6pO1D2KSzqSSweU6vQ/ls.jpg,https://www.yelp.com/biz/uptown-cafe-arlington-heights?osq=cafe,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.yelp.com/biz_photos/THbZQluSCgUKggZP4ZfLjg,[object Object],Click on the arrow to explore business photos.,3.,Uptown Cafe,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,54 reviews,$,",",Cafes,https://www.yelp.com/search?cflt=cafes&find_desc=cafe&find_loc=60004,Breakfast & Brunch,https://www.yelp.com/search?cflt=breakfast_brunch&find_desc=cafe&find_loc=60004,Phone number,(847) 398-1720,24 E Miner St,"Arlington Heights, IL",“Cute little diner in downtown Arlington Heights! I was in AH for work and had some time to kill for lunch. Went in around 11am on a Thursday and there were…”,read more,https://www.yelp.com/biz/uptown-cafe-arlington-heights?hrid=C_WnwpjT3yFu7vcGBjLxJA&osq=cafe,,
https://www.yelp.com/biz/bread-and-butter-cafe-palatine?osq=cafe,https://s3-media2.fl.yelpcdn.com/bphoto/71wDqiQIKa4ZH2dxpKhcFg/ls.jpg,https://www.yelp.com/biz/bread-and-butter-cafe-palatine?osq=cafe,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.yelp.com/biz_photos/82y5n96BrT6xdcWipRdXXw,[object Object],Click on the arrow to explore business photos.,4.,Bread & Butter Cafe,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,86 reviews,$,",",Breakfast & Brunch,https://www.yelp.com/search?cflt=breakfast_brunch&find_desc=cafe&find_loc=60004,Coffee & Tea,https://www.yelp.com/search?cflt=coffee&find_desc=cafe&find_loc=60004,Phone number,(847) 485-7730,147 N Nw Hwy,"Palatine, IL","“We love this ""mom and pop"" in Palatine! It has a very nice vibe on the inside and also has outdoor seating. The food is fresh and good and well priced  they…”",read more,https://www.yelp.com/biz/bread-and-butter-cafe-palatine?hrid=Mj-66CPKBrqOvRU4fGK6hA&osq=cafe,,
https://www.yelp.com/biz/christies-dairy-delights-n-coffee-house-palatine-8?osq=cafe,https://s3-media1.fl.yelpcdn.com/bphoto/Ra0LlkcS1q5pOYuWkN3bAg/ls.jpg,https://www.yelp.com/biz/christies-dairy-delights-n-coffee-house-palatine-8?osq=cafe,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.yelp.com/biz_photos/oP5QDIOMFYYrosVIWg1sbw,[object Object],Click on the arrow to explore business photos.,5.,Christie’s Dairy Delights N’ Coffee House,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,128 reviews,$,",
                    ,",Ice Cream & Frozen Yogurt,https://www.yelp.com/search?cflt=icecream&find_desc=cafe&find_loc=60004,Coffee & Tea,https://www.yelp.com/search?cflt=coffee&find_desc=cafe&find_loc=60004,Phone number,(847) 212-1703,45 N Bothwell St,"Palatine, IL",“Loved the coffee here! Great location with loads of options for desserts and bites.  Ice cream lovers would absolutely dig this place!! they have non dairy…”,read more,https://www.yelp.com/biz/christies-dairy-delights-n-coffee-house-palatine-8?hrid=cvPz_QiDdYiB2WPt7jwnXQ&osq=cafe,Juice Bars & Smoothies,https://www.yelp.com/search?cflt=juicebars&find_desc=cafe&find_loc=60004
https://www.yelp.com/biz/cafe-de-oro-riverwoods?osq=cafe,https://s3-media4.fl.yelpcdn.com/bphoto/EuqjDUm4Gt8YRS011A5aZA/ls.jpg,https://www.yelp.com/biz/cafe-de-oro-riverwoods?osq=cafe,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.yelp.com/biz_photos/VuWtacouxO2G45ezLJX1Ow,[object Object],Click on the arrow to explore business photos.,6.,Cafe De Oro,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,51 reviews,$$,,Coffee & Tea,https://www.yelp.com/search?cflt=coffee&find_desc=cafe&find_loc=60004,,,Phone number,(847) 607-8560,2175 Deerfield Rd,"Riverwoods, IL",“Chill coffee joint. We had the 12ounce coffee for $2.50. The place was very simple and plain. They have a mix of music playing that is pretty easy on the ears.…”,read more,https://www.yelp.com/biz/cafe-de-oro-riverwoods?hrid=7q1B3FckXfy5y0M1B9229g&osq=cafe,,
https://www.yelp.com/biz/the-bakester-arlington-heights?osq=cafe,https://s3-media3.fl.yelpcdn.com/bphoto/GFXLEzoTF8F1jvubqbqkRg/ls.jpg,,,,,,7.,The Bakester,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,4 reviews,,",
                    ,",Coffee & Tea,https://www.yelp.com/search?cflt=coffee&find_desc=cafe&find_loc=60004,Bakeries,https://www.yelp.com/search?cflt=bakeries&find_desc=cafe&find_loc=60004,,,13 1/2 W Davis St,"Arlington Heights, IL",“This is a new cafe that opened up across the street from the Arlington Heights Metra station. Stopped in out of curiosity and bought a croissant and some…”,read more,https://www.yelp.com/biz/the-bakester-arlington-heights?hrid=GHXuRKMBnRFJCRN3XIoh9A&osq=cafe,Custom Cakes,https://www.yelp.com/search?cflt=customcakes&find_desc=cafe&find_loc=60004
https://www.yelp.com/biz/honey-jam-cafe-arlington-heights?osq=cafe,https://s3-media4.fl.yelpcdn.com/bphoto/EW3tgtBP1aznEefrzBP6sg/ls.jpg,https://www.yelp.com/biz/honey-jam-cafe-arlington-heights?osq=cafe,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.yelp.com/biz_photos/-piy3sCGHvw_oq2AEXJmHw,[object Object],Click on the arrow to explore business photos.,8.,Honey-Jam Cafe,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,74 reviews,$$,",
                    ,",Breakfast & Brunch,https://www.yelp.com/search?cflt=breakfast_brunch&find_desc=cafe&find_loc=60004,Cafes,https://www.yelp.com/search?cflt=cafes&find_desc=cafe&find_loc=60004,Phone number,(847) 749-3580,2944 W Euclid Ave,"Arlington Heights, IL","“Delicious  Wonderful  So fresh ingredients! Absolutely recommend this place, friendly people and beautiful place and view”",read more,https://www.yelp.com/biz/honey-jam-cafe-arlington-heights?hrid=HccD0tOOQLaNCkuAAH2Xkw&osq=cafe,Creperies,https://www.yelp.com/search?cflt=creperies&find_desc=cafe&find_loc=60004
https://www.yelp.com/biz/purple-sprout-cafe-wheeling-2?osq=cafe,https://s3-media2.fl.yelpcdn.com/bphoto/z_Vkb-KETJtkP1Ece2xRyA/ls.jpg,https://www.yelp.com/biz/purple-sprout-cafe-wheeling-2?osq=cafe,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.yelp.com/biz_photos/-McvEjsvF21YRCjX2ZLUvQ,[object Object],Click on the arrow to explore business photos.,9.,Purple Sprout Cafe,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,189 reviews,$$,",
                    ,",Vegan,https://www.yelp.com/search?cflt=vegan&find_desc=cafe&find_loc=60004,Juice Bars & Smoothies,https://www.yelp.com/search?cflt=juicebars&find_desc=cafe&find_loc=60004,Phone number,(224) 223-7133,341 E Dundee Rd,"Wheeling, IL",“It is so good I recommend you trying this      Thank your friends for coming you tomorrow night and or tomorrow I don't know what to you're saying doing what…”,read more,https://www.yelp.com/biz/purple-sprout-cafe-wheeling-2?hrid=MWxaxif1V096dLCsrVAncg&osq=cafe,Cafes,https://www.yelp.com/search?cflt=cafes&find_desc=cafe&find_loc=60004
https://www.yelp.com/biz/jelly-cafe-mount-prospect?osq=cafe,https://s3-media2.fl.yelpcdn.com/bphoto/DvVpm0qdXDPZiInwHkNNCA/ls.jpg,https://www.yelp.com/biz/jelly-cafe-mount-prospect?osq=cafe,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.yelp.com/biz_photos/n6zMFWY4VmH0OWkmNpTi2w,[object Object],Click on the arrow to explore business photos.,10.,Jelly Cafe,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,316 reviews,$$,",",Cafes,https://www.yelp.com/search?cflt=cafes&find_desc=cafe&find_loc=60004,Breakfast & Brunch,https://www.yelp.com/search?cflt=breakfast_brunch&find_desc=cafe&find_loc=60004,Phone number,(847) 979-8989,1784 W Golf Rd,"Mount Prospect, IL","“Been here twice now. Service is slowish, but not bad as the place is small. The staff are very friendly and always smiling. Breakfast/Brunch only. The food is…”",read more,https://www.yelp.com/biz/jelly-cafe-mount-prospect?hrid=92ynAvph4KSfH4Clvlb-MQ&osq=cafe,,
