js-analytics-click href,scrollable-photos_img src,js-analytics-click href 2,scrollable-photos_img src 2,js-analytics-click href 4,icon_svg href,js-coachmark-tooltip,indexed-biz-name,biz-name,offscreen src,review-count,business-attribute,category-str-list,category-str-list href,offscreen,biz-phone,secondary-attributes,neighborhood-str-list,snippet,nowrap,nowrap href,category-str-list 2,category-str-list 3,category-str-list href 2,category-str-list 4,category-str-list href 3
https://www.yelp.com/biz/plein-air-cafe-and-eatery-chicago-2?osq=cafe,https://s3-media1.fl.yelpcdn.com/bphoto/NJMJQzqE4zbaQ9w4rOHXgg/ls.jpg,https://www.yelp.com/biz/plein-air-cafe-and-eatery-chicago-2?osq=cafe,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.yelp.com/biz_photos/hB7yORLU0e6yEcpzA75cUw,[object Object],Click on the arrow to explore business photos.,1.,Plein Air Cafe & Eatery,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,179 reviews,$$,Cafes,https://www.yelp.com/search?cflt=cafes&find_desc=cafe&find_loc=Chicago%2C+IL+60637,Phone number,(773) 966-7531,5751 S Woodlawn Ave,Hyde Park,“This is probably one of my favorite places to do work on campus. They have such a good selection of drinks and food. Their hot chocolate is amazing! My fiancé…”,read more,https://www.yelp.com/biz/plein-air-cafe-and-eatery-chicago-2?hrid=p2HfFrdRsI7uTzS4AOU_Jg&osq=cafe,,,,,
https://www.yelp.com/biz/robust-coffee-lounge-chicago?osq=cafe,https://s3-media1.fl.yelpcdn.com/bphoto/ayXC_8IHewJgZ-sKVZTYRw/ls.jpg,https://www.yelp.com/biz/robust-coffee-lounge-chicago?osq=cafe,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.yelp.com/biz_photos/-Tp77Ce5OCpP1-KXUYtX9A,[object Object],Click on the arrow to explore business photos.,2.,Robust Coffee Lounge,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,214 reviews,$,Breakfast & Brunch,https://www.yelp.com/search?cflt=breakfast_brunch&find_desc=cafe&find_loc=Chicago%2C+IL+60637,Phone number,(773) 891-4240,6300 S Woodlawn,Woodlawn,"“First and foremost, this place is huge! That alone made me a fan within seconds. It does a brisk business and yet there's always seating to be had.   The staff…”",read more,https://www.yelp.com/biz/robust-coffee-lounge-chicago?hrid=Xh5imZWjc6NPyom4p8VffQ&osq=cafe,",
                    ,",Coffee & Tea,https://www.yelp.com/search?cflt=coffee&find_desc=cafe&find_loc=Chicago%2C+IL+60637,American (Traditional),https://www.yelp.com/search?cflt=tradamerican&find_desc=cafe&find_loc=Chicago%2C+IL+60637
https://www.yelp.com/biz/harper-cafe-chicago?osq=cafe,https://s3-media3.fl.yelpcdn.com/bphoto/Q6A_JNfLxiMWw-i2Rj0q0A/ls.jpg,,,,,,3.,Harper Cafe,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,5 reviews,$,Coffee & Tea,https://www.yelp.com/search?cflt=coffee&find_desc=cafe&find_loc=Chicago%2C+IL+60637,Phone number,(773) 702-8787,1116 E 59th St,Hyde Park,"“Great cafe with a good variety of items for a college cafe.   Located right outside of the Harper Memorial Library on the 3rd floor and provides drinks,…”",read more,https://www.yelp.com/biz/harper-cafe-chicago?hrid=16z8DW8uK9QwQD5DVR2FXQ&osq=cafe,,,,,
https://www.yelp.com/biz/build-coffee-chicago?osq=cafe,https://s3-media2.fl.yelpcdn.com/bphoto/2SEbgsGTlkVDTb9rhdLYkw/ls.jpg,https://www.yelp.com/biz/build-coffee-chicago?osq=cafe,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.yelp.com/biz_photos/8wwWri0pYshC8oRvYwPMCg,[object Object],Click on the arrow to explore business photos.,4.,Build Coffee,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,19 reviews,$,Coffee & Tea,https://www.yelp.com/search?cflt=coffee&find_desc=cafe&find_loc=Chicago%2C+IL+60637,Phone number,(773) 627-5058,6100 S Blackstone Ave,Woodlawn,"“Probably the best coffee shop in Chicago, honestly. The product is superlative, and the service is excellent. I love the ""lit"" and think it's cool that a place…”",read more,https://www.yelp.com/biz/build-coffee-chicago?hrid=0fkpRa2fyWDiulYwNnO7gA&osq=cafe,",",Used Bookstore,https://www.yelp.com/search?cflt=usedbooks&find_desc=cafe&find_loc=Chicago%2C+IL+60637,,
https://www.yelp.com/biz/sanctuary-cafe-chicago?osq=cafe,https://s3-media1.fl.yelpcdn.com/bphoto/u-0A3iFGv6Y2ngFWW_I5_Q/ls.jpg,https://www.yelp.com/biz/sanctuary-cafe-chicago?osq=cafe,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.yelp.com/biz_photos/xbcKYFJ9rBWvTsuyXRtNZQ,[object Object],Click on the arrow to explore business photos.,5.,Sanctuary Cafe,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,18 reviews,$,Coffee & Tea,https://www.yelp.com/search?cflt=coffee&find_desc=cafe&find_loc=Chicago%2C+IL+60637,Phone number,(773) 952-4956,5655 S University Ave,Hyde Park,"“Their spinach quiche is the final word on spinach quiche, and their earl grey tea is one of the best I've ever had. All of their teas are hand crafted, and…”",read more,https://www.yelp.com/biz/sanctuary-cafe-chicago?hrid=ggv22WkvIYUP_nxIDbEXoA&osq=cafe,",
                    ,",Bakeries,https://www.yelp.com/search?cflt=bakeries&find_desc=cafe&find_loc=Chicago%2C+IL+60637,Breakfast & Brunch,https://www.yelp.com/search?cflt=breakfast_brunch&find_desc=cafe&find_loc=Chicago%2C+IL+60637
https://www.yelp.com/biz/greenline-coffee-chicago?osq=cafe,https://s3-media3.fl.yelpcdn.com/bphoto/0lM_f5uVhUL0KCDi-01zJw/ls.jpg,https://www.yelp.com/biz/greenline-coffee-chicago?osq=cafe,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.yelp.com/biz_photos/_tqxpQs0tEYAQkH-q6zfCQ,[object Object],Click on the arrow to explore business photos.,6.,Greenline Coffee,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,51 reviews,$,Coffee & Tea,https://www.yelp.com/search?cflt=coffee&find_desc=cafe&find_loc=Chicago%2C+IL+60637,Phone number,(773) 729-2282,501 E 61st St,Woodlawn,"“Excited to find this chill space! Great friendly service, lots of space and good food. Apparently they don't do waffles anymore so that's sad but had a…”",read more,https://www.yelp.com/biz/greenline-coffee-chicago?hrid=Mm88fmj-m4JxXek_WQHyoQ&osq=cafe,,,,,
https://www.yelp.com/biz/grounds-of-being-the-divinity-school-coffee-shop-chicago?osq=cafe,https://s3-media4.fl.yelpcdn.com/bphoto/6YrehlkwOU8fa8nPFPaRKw/ls.jpg,https://www.yelp.com/biz/grounds-of-being-the-divinity-school-coffee-shop-chicago?osq=cafe,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.yelp.com/biz_photos/PAqx8zgu1rOqG4Dq30JXfA,[object Object],Click on the arrow to explore business photos.,7.,Grounds of Being: The Divinity School Coffee Shop,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,43 reviews,$,Coffee & Tea,https://www.yelp.com/search?cflt=coffee&find_desc=cafe&find_loc=Chicago%2C+IL+60637,Phone number,(773) 834-9052,1025 E 58th St,Hyde Park,"“One of my favorite spots on campus. Has a nice atmosphere, has plenty of space for you to work with the long tables and high tables on the edges of the space.…”",read more,https://www.yelp.com/biz/grounds-of-being-the-divinity-school-coffee-shop-chicago?hrid=7koCZE7Ac9cu7Jag_g12QA&osq=cafe,",",Bagels,https://www.yelp.com/search?cflt=bagels&find_desc=cafe&find_loc=Chicago%2C+IL+60637,,
https://www.yelp.com/biz/caf%C3%A9-logan-chicago?osq=cafe,https://s3-media3.fl.yelpcdn.com/bphoto/heRfOWefwbtVboY_gXFp_Q/ls.jpg,https://www.yelp.com/biz/caf%C3%A9-logan-chicago?osq=cafe,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.yelp.com/biz_photos/85cPsJBoEFjPIrHTxU8GFg,[object Object],Click on the arrow to explore business photos.,8.,Café Logan,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,9 reviews,$$,Cafes,https://www.yelp.com/search?cflt=cafes&find_desc=cafe&find_loc=Chicago%2C+IL+60637,Phone number,(773) 702-2787,915 E 60th St,Woodlawn,"“This is probably one of the best cafes on campus, so thanks to UChicago for adding a much needed coffee and food venue! And, in case you need it, this place…”",read more,https://www.yelp.com/biz/caf%C3%A9-logan-chicago?hrid=lDeiGEGa-s45Z5GLfihNZA&osq=cafe,,,,,
https://www.yelp.com/biz/cafe-53-chicago?osq=cafe,https://s3-media4.fl.yelpcdn.com/bphoto/Y72TLbvjkscTlLqyCmm0oA/ls.jpg,https://www.yelp.com/biz/cafe-53-chicago?osq=cafe,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.yelp.com/biz_photos/_SSK3MyOgE-dYsE4XUUbIQ,[object Object],Click on the arrow to explore business photos.,9.,Cafe 53,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,163 reviews,$,Coffee & Tea,https://www.yelp.com/search?cflt=coffee&find_desc=cafe&find_loc=Chicago%2C+IL+60637,Phone number,(773) 493-1000,1369 E 53rd St,Hyde Park,"“Spouse and I have been coming here a lot. All the eats and drinks are wonderful. Huge selection of teas. First rate coffee. Gelato in interesting flavors, all…”",read more,https://www.yelp.com/biz/cafe-53-chicago?hrid=4hQUJKxISti5ARnpB5wDJA&osq=cafe,",
                    ,",Sandwiches,https://www.yelp.com/search?cflt=sandwiches&find_desc=cafe&find_loc=Chicago%2C+IL+60637,Halal,https://www.yelp.com/search?cflt=halal&find_desc=cafe&find_loc=Chicago%2C+IL+60637
https://www.yelp.com/biz/dollop-coffee-chicago-5?osq=cafe,https://s3-media4.fl.yelpcdn.com/bphoto/esQZaTk1vewXp2vrhglmmg/ls.jpg,https://www.yelp.com/biz/dollop-coffee-chicago-5?osq=cafe,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.yelp.com/biz_photos/8hRB4oYAbMEqQWgIA-Tndg,[object Object],Click on the arrow to explore business photos.,10.,Dollop Coffee,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,26 reviews,$$,Coffee & Tea,https://www.yelp.com/search?cflt=coffee&find_desc=cafe&find_loc=Chicago%2C+IL+60637,,,5500 S University Ave,Hyde Park,“The coffee here is SO good. I recommend the iced mocha with coconut milk.  The location is very spacious. It's perfect for meeting someone for coffee or…”,read more,https://www.yelp.com/biz/dollop-coffee-chicago-5?hrid=g8rR3vA3MBY_Tx9TNhJR3w&osq=cafe,,,,,
