,alias,categories,coordinates.latitude,coordinates.longitude,display_phone,distance,id,image_url,is_closed,location.address1,location.address2,location.address3,location.city,location.country,location.display_address,location.state,location.zip_code,name,phone,price,rating,review_count,transactions,url
0,jj-fish-and-chicken-chicago-3,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]",41.79692,-87.63013,(773) 268-1600,535.4465827835984,53z65ak2aZ2zrQEGAvq7NQ,https://s3-media3.fl.yelpcdn.com/bphoto/Oi2mxIcSiZTOq7IICZX2lg/o.jpg,False,5401 S Wentworth Ave,,,Chicago,US,"['5401 S Wentworth Ave', 'Chicago, IL 60609']",IL,60609,JJ Fish and Chicken,+17732681600,$$,4.5,9,[],https://www.yelp.com/biz/jj-fish-and-chicken-chicago-3?adjust_creative=SXx9bG0UkxQJeJodZNyk4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SXx9bG0UkxQJeJodZNyk4Q
1,checkers-chicago,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}]",41.7947791,-87.6303212,(773) 268-5145,663.4471958075202,hNxONY8We4_YEQc_p2WcBg,https://s3-media2.fl.yelpcdn.com/bphoto/g-U5QE6kSjH8YH6b8BhhEw/o.jpg,False,5451 S Wentworth Ave,,,Chicago,US,"['5451 S Wentworth Ave', 'Chicago, IL 60609']",IL,60609,Checkers,+17732685145,$,2.5,28,[],https://www.yelp.com/biz/checkers-chicago?adjust_creative=SXx9bG0UkxQJeJodZNyk4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SXx9bG0UkxQJeJodZNyk4Q
2,waynes-bar-b-que-and-cajun-chicago,"[{'alias': 'chinese', 'title': 'Chinese'}]",41.79692,-87.63013,(773) 536-2282,572.9955472754174,bmFyjzhFHdm1JL2Lx1iwqA,https://s3-media1.fl.yelpcdn.com/bphoto/Ft4B3Vzh4K6B3RhenjkKYQ/o.jpg,False,5401 S Wentworth Ave,,,Chicago,US,"['5401 S Wentworth Ave', 'Chicago, IL 60609']",IL,60609,Wayne's Bar-B-Que and Cajun,+17735362282,$,4.0,6,[],https://www.yelp.com/biz/waynes-bar-b-que-and-cajun-chicago?adjust_creative=SXx9bG0UkxQJeJodZNyk4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SXx9bG0UkxQJeJodZNyk4Q
3,new-grand-chinese-kitchen-chicago,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'noodles', 'title': 'Noodles'}]",41.79692,-87.63013,(773) 536-8282,534.0580344627404,LPFuagNX9Petb8vxMN42Ww,https://s3-media4.fl.yelpcdn.com/bphoto/5aAgCqBOYAeslVvAvplcMA/o.jpg,False,5401 S Wentworth Ave,,,Chicago,US,"['5401 S Wentworth Ave', 'Chicago, IL 60609']",IL,60609,New Grand Chinese Kitchen,+17735368282,$,3.0,10,"['delivery', 'pickup']",https://www.yelp.com/biz/new-grand-chinese-kitchen-chicago?adjust_creative=SXx9bG0UkxQJeJodZNyk4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SXx9bG0UkxQJeJodZNyk4Q
4,pizza-hut-chicago-33,"[{'alias': 'pizza', 'title': 'Pizza'}]",41.79692,-87.63013,(773) 285-5056,534.0580344627404,5SFHn1n2oQfRiyo9n456sg,,False,5401 S Wentworth Ave,,,Chicago,US,"['5401 S Wentworth Ave', 'Chicago, IL 60609']",IL,60609,Pizza Hut,+17732855056,,3.0,3,['delivery'],https://www.yelp.com/biz/pizza-hut-chicago-33?adjust_creative=SXx9bG0UkxQJeJodZNyk4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SXx9bG0UkxQJeJodZNyk4Q
5,dunkin-donuts-chicago-317,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'donuts', 'title': 'Donuts'}]",41.79488,-87.62605,(773) 558-6695,694.5675998744256,bvH914f-picmzvjuGg_O7w,,False,5454 S State St,,,Chicago,US,"['5454 S State St', 'Chicago, IL 60609']",IL,60609,Dunkin' Donuts,+17735586695,,3.0,1,[],https://www.yelp.com/biz/dunkin-donuts-chicago-317?adjust_creative=SXx9bG0UkxQJeJodZNyk4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SXx9bG0UkxQJeJodZNyk4Q
6,friistyle-chicago,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'belgian', 'title': 'Belgian'}]",41.8028142,-87.6192392,(773) 548-5375,347.0660852723326,WwmxVYk-DYS76iZ3ey1ybQ,https://s3-media2.fl.yelpcdn.com/bphoto/1rGYvJl5_DBKYVdfBdgKig/o.jpg,False,5059 S Prairie,,,Chicago,US,"['5059 S Prairie', 'Chicago, IL 60615']",IL,60615,Friistyle,+17735485375,,4.5,36,[],https://www.yelp.com/biz/friistyle-chicago?adjust_creative=SXx9bG0UkxQJeJodZNyk4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SXx9bG0UkxQJeJodZNyk4Q
7,ms-biscuit-chicago,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'southern', 'title': 'Southern'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}]",41.79554,-87.62362,(773) 268-8088,592.3390989619566,xHxxDdnfdiSvxYcwdeokaQ,https://s3-media4.fl.yelpcdn.com/bphoto/vO1AMezdJ_PnwdIg1fs7zA/o.jpg,False,5431 S Wabash Ave,,,Chicago,US,"['5431 S Wabash Ave', 'Chicago, IL 60615']",IL,60615,Ms Biscuit,+17732688088,$$,3.0,190,[],https://www.yelp.com/biz/ms-biscuit-chicago?adjust_creative=SXx9bG0UkxQJeJodZNyk4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SXx9bG0UkxQJeJodZNyk4Q
8,love-taco-chicago,"[{'alias': 'tacos', 'title': 'Tacos'}]",41.801982743848,-87.622359842062,(312) 650-9635,136.45589316119097,vTF9BQt2AwQGW6CnZSwzQA,https://s3-media2.fl.yelpcdn.com/bphoto/Y_rHh7yszbzZNTev7UexkA/o.jpg,False,111 East 51st St,,,Chicago,US,"['111 East 51st St', 'Chicago, IL 60615']",IL,60615,Love Taco,+13126509635,$,3.0,51,"['delivery', 'pickup']",https://www.yelp.com/biz/love-taco-chicago?adjust_creative=SXx9bG0UkxQJeJodZNyk4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SXx9bG0UkxQJeJodZNyk4Q
9,skidoes-cafe-and-grill-chicago,"[{'alias': 'soulfood', 'title': 'Soul Food'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",41.8019169,-87.6202296,(773) 690-5287,272.64968159824764,BTWr_cMM_uac4v0y9n7kVA,https://s3-media4.fl.yelpcdn.com/bphoto/PKZbTBuWepbEqkQojkc2fA/o.jpg,False,235 E 51st St,,,Chicago,US,"['235 E 51st St', 'Chicago, IL 60615']",IL,60615,Skidoe's Cafe and Grill,+17736905287,$$,3.5,18,"['delivery', 'pickup']",https://www.yelp.com/biz/skidoes-cafe-and-grill-chicago?adjust_creative=SXx9bG0UkxQJeJodZNyk4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SXx9bG0UkxQJeJodZNyk4Q
