js-analytics-click href,photo-box-img src,user-display-name,user-location,friend-count,friend-count 2,review-count,review-count 2,photo-count,icon_svg href 3,photo-count 2,arrange href,icon_svg href 4,action-link_label,arrange href 2,action-link_label 2,arrange href 3,action-link_label 3,arrange href 4,action-link_label 4,arrange href 5,action-link_label 5,arrange href 6,action-link_label 6,offscreen src,rating-qualifier,review-content,voting-intro,vote-type,vote-type 2,vote-type 3,u-space-b3,u-space-b3 src,u-space-b2,ybtn,js-maybe-later-button,chiclet-link href,tooltip,icon_svg href 14,count,count 2,count 3
https://www.yelp.com/user_details?userid=8q6vJuhgs4e8jf5FkSMybA,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,Jin L.,"Manhattan, New York, NY",friends,0,review,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.yelp.com/user_details?userid=4tkkDeJ9pAMfrsj920fazg,https://s3-media2.fl.yelpcdn.com/photo/Pzpno_eF5rSmTq2bKbXnkQ/60s.jpg,Anna G.,"Evanston, IL",friends,13,reviews,65,photos,[object Object],89,https://www.yelp.com/biz_share/8GsdzHZo31TGQFaJQWS5Ag/review/UCjXbDeNuAYKEfA3Fs481A,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=UCjXbDeNuAYKEfA3Fs481A&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgallery-cafe-chicago%3Fosq%3Dgallery%2Bcafe&user_id=4tkkDeJ9pAMfrsj920fazg,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=4tkkDeJ9pAMfrsj920fazg&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgallery-cafe-chicago%3Fosq%3Dgallery%2Bcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=4tkkDeJ9pAMfrsj920fazg&previous_url=https://www.yelp.com/biz/gallery-cafe-chicago?osq=gallery+cafe,Follow Anna G.,https://www.yelp.com/following_user/remove?dst_user_id=4tkkDeJ9pAMfrsj920fazg&previous_url=https://www.yelp.com/biz/gallery-cafe-chicago?osq=gallery+cafe,Stop following Anna G.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,11/12/2018,"Cozy neighborhood spot for a good coffee and yummy sandwiches. We stopped in for a few hours to work and the WiFi, the sound level and light was perfect for getting things done. If you're nice to the barista, they may make you a fun latte with funky art on it, and their latte flavors range from standard to different. The lavender one was lovely and the spicy one had just the right touch of heat. We got one of the sandwiches after a while and it came with veggie chips on a plate that looked like a painter's palette, which was fun. And the sandwich was fresh and tasty.",Was this review …?,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=8GsdzHZo31TGQFaJQWS5Ag&flag_id=UCjXbDeNuAYKEfA3Fs481A&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgallery-cafe-chicago%3Fosq%3Dgallery%2Bcafe,Report review,,,,
https://www.yelp.com/user_details?userid=taPq7IxYskEWH7Vfc261pQ,https://s3-media3.fl.yelpcdn.com/photo/VYGGIT5RW5EkxI2yFFBW2Q/60s.jpg,Danielle C.,"Santa Clara, CA",friends,569,reviews,2615,photos,[object Object],816,https://www.yelp.com/biz_share/8GsdzHZo31TGQFaJQWS5Ag/review/_v02CqmSc0KcA8ShBF_q8w,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=_v02CqmSc0KcA8ShBF_q8w&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgallery-cafe-chicago%3Fosq%3Dgallery%2Bcafe&user_id=taPq7IxYskEWH7Vfc261pQ,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=taPq7IxYskEWH7Vfc261pQ&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgallery-cafe-chicago%3Fosq%3Dgallery%2Bcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=taPq7IxYskEWH7Vfc261pQ&previous_url=https://www.yelp.com/biz/gallery-cafe-chicago?osq=gallery+cafe,Follow Danielle C.,https://www.yelp.com/following_user/remove?dst_user_id=taPq7IxYskEWH7Vfc261pQ&previous_url=https://www.yelp.com/biz/gallery-cafe-chicago?osq=gallery+cafe,Stop following Danielle C.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,6/2/2018,"I thought this cafe was okay. I got the matcha latte (iced) and felt like I was just drinking light green milk. It didn't seem to have too much flavor (not terribly sweet, and the matcha flavor wasn't that strong).The latte art for their hot drinks was cool though. Almost looked like a honey comb of sorts. I've never seen that at any other coffee shop and I've been to a lot!The ambiance was okay. Our table was a bit wobbly so it was hard to work on for long periods of time. The lighting was mostly from the window, but it was a bit overcast that day so it wasn't extremely bright.",Was this review …?,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=8GsdzHZo31TGQFaJQWS5Ag&flag_id=_v02CqmSc0KcA8ShBF_q8w&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgallery-cafe-chicago%3Fosq%3Dgallery%2Bcafe,Report review,[object Object],,,
https://www.yelp.com/user_details?userid=R3Otqpr0CZSTwW68_3wEeg,https://s3-media2.fl.yelpcdn.com/photo/hL6Wp3RK8426lqCUQcZXgQ/60s.jpg,Emily E.,"Chicago, IL",friend,1,reviews,38,photos,[object Object],37,https://www.yelp.com/biz_share/8GsdzHZo31TGQFaJQWS5Ag/review/2r0MF70nLuWBlWzaF3IUcg,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=2r0MF70nLuWBlWzaF3IUcg&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgallery-cafe-chicago%3Fosq%3Dgallery%2Bcafe&user_id=R3Otqpr0CZSTwW68_3wEeg,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=R3Otqpr0CZSTwW68_3wEeg&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgallery-cafe-chicago%3Fosq%3Dgallery%2Bcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=R3Otqpr0CZSTwW68_3wEeg&previous_url=https://www.yelp.com/biz/gallery-cafe-chicago?osq=gallery+cafe,Follow Emily E.,https://www.yelp.com/following_user/remove?dst_user_id=R3Otqpr0CZSTwW68_3wEeg&previous_url=https://www.yelp.com/biz/gallery-cafe-chicago?osq=gallery+cafe,Stop following Emily E.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,9/22/2018,Cute cafe that made a nice strong cortado. Friendly staff and great looking sandwich menu,Was this review …?,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=8GsdzHZo31TGQFaJQWS5Ag&flag_id=2r0MF70nLuWBlWzaF3IUcg&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgallery-cafe-chicago%3Fosq%3Dgallery%2Bcafe,Report review,,,,
https://www.yelp.com/user_details?userid=0-QfiqJD30CDXrr9pH4pAA,https://s3-media3.fl.yelpcdn.com/photo/kPFVcFdzlRnADWhdF_5swg/60s.jpg,Tamara Q.,"Evanston, IL",friends,17,reviews,148,photos,[object Object],45,https://www.yelp.com/biz_share/8GsdzHZo31TGQFaJQWS5Ag/review/yvjAv5qPslruHGfXDW__ow,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=yvjAv5qPslruHGfXDW__ow&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgallery-cafe-chicago%3Fosq%3Dgallery%2Bcafe&user_id=0-QfiqJD30CDXrr9pH4pAA,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=0-QfiqJD30CDXrr9pH4pAA&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgallery-cafe-chicago%3Fosq%3Dgallery%2Bcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=0-QfiqJD30CDXrr9pH4pAA&previous_url=https://www.yelp.com/biz/gallery-cafe-chicago?osq=gallery+cafe,Follow Tamara Q.,https://www.yelp.com/following_user/remove?dst_user_id=0-QfiqJD30CDXrr9pH4pAA&previous_url=https://www.yelp.com/biz/gallery-cafe-chicago?osq=gallery+cafe,Stop following Tamara Q.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,5/18/2018,"Good neighborhood place for breakfast sandwiches and nice place to sit for a while. The prices are bit high though, and it's difficult to find a spot on the regular because the space is small and customers park for a long time to use wifi.",voted for this review,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=8GsdzHZo31TGQFaJQWS5Ag&flag_id=yvjAv5qPslruHGfXDW__ow&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgallery-cafe-chicago%3Fosq%3Dgallery%2Bcafe,Report review,[object Object],1,,
https://www.yelp.com/user_details?userid=7yOA0ce2zAWPqsPut7KyBQ,https://s3-media4.fl.yelpcdn.com/photo/W1J0VWtJ_Q_izCjwi7wsPA/60s.jpg,Francis S.,"Westmont, IL",friends,278,reviews,10,,,,https://www.yelp.com/biz_share/8GsdzHZo31TGQFaJQWS5Ag/review/iDo_1s2wrROrJ6Gly1CP0Q,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=iDo_1s2wrROrJ6Gly1CP0Q&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgallery-cafe-chicago%3Fosq%3Dgallery%2Bcafe&user_id=7yOA0ce2zAWPqsPut7KyBQ,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=7yOA0ce2zAWPqsPut7KyBQ&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgallery-cafe-chicago%3Fosq%3Dgallery%2Bcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=7yOA0ce2zAWPqsPut7KyBQ&previous_url=https://www.yelp.com/biz/gallery-cafe-chicago?osq=gallery+cafe,Follow Francis S.,https://www.yelp.com/following_user/remove?dst_user_id=7yOA0ce2zAWPqsPut7KyBQ&previous_url=https://www.yelp.com/biz/gallery-cafe-chicago?osq=gallery+cafe,Stop following Francis S.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,8/29/2018,Big fan of this place! Love the kahlo breakfast burrito. I also like the iced mocha and coldBrew,Was this review …?,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=8GsdzHZo31TGQFaJQWS5Ag&flag_id=iDo_1s2wrROrJ6Gly1CP0Q&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgallery-cafe-chicago%3Fosq%3Dgallery%2Bcafe,Report review,,,,
https://www.yelp.com/user_details?userid=A9zcyzP8JKOOKkQnKd0I4g,https://s3-media3.fl.yelpcdn.com/photo/4ujay5zOGuQTRxZtTt3ZcA/60s.jpg,Mar L.,"Chicago, IL",friends,23,reviews,276,photos,[object Object],570,https://www.yelp.com/biz_share/8GsdzHZo31TGQFaJQWS5Ag/review/3g14-LyLdCzz7kOdTuI70A,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=3g14-LyLdCzz7kOdTuI70A&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgallery-cafe-chicago%3Fosq%3Dgallery%2Bcafe&user_id=A9zcyzP8JKOOKkQnKd0I4g,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=A9zcyzP8JKOOKkQnKd0I4g&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgallery-cafe-chicago%3Fosq%3Dgallery%2Bcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=A9zcyzP8JKOOKkQnKd0I4g&previous_url=https://www.yelp.com/biz/gallery-cafe-chicago?osq=gallery+cafe,Follow Mar L.,https://www.yelp.com/following_user/remove?dst_user_id=A9zcyzP8JKOOKkQnKd0I4g&previous_url=https://www.yelp.com/biz/gallery-cafe-chicago?osq=gallery+cafe,Stop following Mar L.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,5/23/2018,"Great way to cool down after a walk along 606 is to have an iced tea from Gallery Cafe. Their staff is cheerful and helpful, the artistic and laid back vibe also adds to the charm of the place. Free wifi and they hold events.",Was this review …?,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=8GsdzHZo31TGQFaJQWS5Ag&flag_id=3g14-LyLdCzz7kOdTuI70A&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgallery-cafe-chicago%3Fosq%3Dgallery%2Bcafe,Report review,[object Object],,,
https://www.yelp.com/user_details?userid=tAJ18hV385lf-sJaPkEQuQ,https://s3-media3.fl.yelpcdn.com/photo/INel7xFhV5nEeuxtrrs-WA/60s.jpg,Matthew C.,"Chicago, IL",friends,37,reviews,47,photos,[object Object],4,https://www.yelp.com/biz_share/8GsdzHZo31TGQFaJQWS5Ag/review/_7-swWVVp50W4dodJWu7gA,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=_7-swWVVp50W4dodJWu7gA&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgallery-cafe-chicago%3Fosq%3Dgallery%2Bcafe&user_id=tAJ18hV385lf-sJaPkEQuQ,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=tAJ18hV385lf-sJaPkEQuQ&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgallery-cafe-chicago%3Fosq%3Dgallery%2Bcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=tAJ18hV385lf-sJaPkEQuQ&previous_url=https://www.yelp.com/biz/gallery-cafe-chicago?osq=gallery+cafe,Follow Matthew C.,https://www.yelp.com/following_user/remove?dst_user_id=tAJ18hV385lf-sJaPkEQuQ&previous_url=https://www.yelp.com/biz/gallery-cafe-chicago?osq=gallery+cafe,Stop following Matthew C.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,7/31/2018,Superb little cafe. Great atmosphere and the Kahlo breakfast burrito (add sausage) is amazing! Will be back to try more of their breakfast and lunch offerings.,Was this review …?,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=8GsdzHZo31TGQFaJQWS5Ag&flag_id=_7-swWVVp50W4dodJWu7gA&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgallery-cafe-chicago%3Fosq%3Dgallery%2Bcafe,Report review,,,,
https://www.yelp.com/user_details?userid=L31Tlge0w0jpfZOFU-Rn1A,https://s3-media4.fl.yelpcdn.com/photo/LAfAcSa_dAP9y_w6eOsrcA/60s.jpg,Elaine Y.,"Chicago, IL",friends,5,reviews,30,photos,[object Object],100,https://www.yelp.com/biz_share/8GsdzHZo31TGQFaJQWS5Ag/review/vfTI-2TiqLyQIhYJmeMOcQ,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=vfTI-2TiqLyQIhYJmeMOcQ&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgallery-cafe-chicago%3Fosq%3Dgallery%2Bcafe&user_id=L31Tlge0w0jpfZOFU-Rn1A,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=L31Tlge0w0jpfZOFU-Rn1A&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgallery-cafe-chicago%3Fosq%3Dgallery%2Bcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=L31Tlge0w0jpfZOFU-Rn1A&previous_url=https://www.yelp.com/biz/gallery-cafe-chicago?osq=gallery+cafe,Follow Elaine Y.,https://www.yelp.com/following_user/remove?dst_user_id=L31Tlge0w0jpfZOFU-Rn1A&previous_url=https://www.yelp.com/biz/gallery-cafe-chicago?osq=gallery+cafe,Stop following Elaine Y.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,6/12/2017,"Honestly, I'm surprised by the reviews. I typically only order plain coffee at coffee shops. This time was no different, so I can't speak to their specialty drinks. However, the dark roast drip coffee was superb.Some coffee shops are pretentious. The Gallery Cafe isn't one of them. It's a chill, cozy environment. Good energy. The staff was attentive. When I walked in, I was asked to wait for a moment. I didn't mind. I appreciated the communication. The staff member who waited on me was a quirky guy. I'm a little quirky, too. Great! The menu said that high fives were free with purchase. I wasn't going to pass up that opportunity. I paid, then asked the barista for my high five. He completely understood and proceeded to lift his hand about head height. I then proceeded through with a high five motion. I think it was a good high five. I can't speak for the barista's experience. The price was fair. I sat in the shop so I went ahead and paid for a coffee refill with my original purchase. The barista applauded my proactive method which made me feel like I could really tackle the day. Thanks for that.Overall, good experience. I was pleasantly surprised but not necessarily wowed. The tile floor and bathroom decor could use an update, but hey, the energy was on fleek. Thank you Gallery Cafe. You made my day a little better. I'll return the favor my donating a high five to someone in need.",voted for this review,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=8GsdzHZo31TGQFaJQWS5Ag&flag_id=vfTI-2TiqLyQIhYJmeMOcQ&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgallery-cafe-chicago%3Fosq%3Dgallery%2Bcafe,Report review,[object Object],1,,
https://www.yelp.com/user_details?userid=pv7yUP2F4vN0WanV_kWWnw,https://s3-media4.fl.yelpcdn.com/photo/merA5-ZigwfWLoFJWSRveg/60s.jpg,Janelle C.,"Chicago, IL",friends,49,reviews,237,photos,[object Object],63,https://www.yelp.com/biz_share/8GsdzHZo31TGQFaJQWS5Ag/review/Owmk-Ucgqjlu5YSN3-sV_A,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=Owmk-Ucgqjlu5YSN3-sV_A&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgallery-cafe-chicago%3Fosq%3Dgallery%2Bcafe&user_id=pv7yUP2F4vN0WanV_kWWnw,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=pv7yUP2F4vN0WanV_kWWnw&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgallery-cafe-chicago%3Fosq%3Dgallery%2Bcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=pv7yUP2F4vN0WanV_kWWnw&previous_url=https://www.yelp.com/biz/gallery-cafe-chicago?osq=gallery+cafe,Follow Janelle C.,https://www.yelp.com/following_user/remove?dst_user_id=pv7yUP2F4vN0WanV_kWWnw&previous_url=https://www.yelp.com/biz/gallery-cafe-chicago?osq=gallery+cafe,Stop following Janelle C.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,12/12/2017,"Cozy cafe with friendly service.  Dropped in for a quick bite on a weekday and tried the Rodin sandwich (Chicken, bacon, avocado and more) served with chips...will be back!  Crowd at noon on a Monday was small, a handful of people talking, working, or in my case enjoying my food while people watching our the window.  A steady stream continued to come through for coffee.",Was this review …?,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=8GsdzHZo31TGQFaJQWS5Ag&flag_id=Owmk-Ucgqjlu5YSN3-sV_A&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgallery-cafe-chicago%3Fosq%3Dgallery%2Bcafe,Report review,,,,
