js-analytics-click href,photo-box-img src,user-display-name,user-location,friend-count,friend-count 2,review-count,review-count 2,photo-count,icon_svg href 3,photo-count 2,is-elite,is-elite href,arrange href,icon_svg href 4,action-link_label,arrange href 2,action-link_label 2,arrange href 3,action-link_label 3,arrange href 4,action-link_label 4,arrange href 5,action-link_label 5,arrange href 6,action-link_label 6,offscreen src,rating-qualifier,review-content,voting-intro,vote-type,count,vote-type 2,count 2,vote-type 3,count 3,u-space-b3,u-space-b3 src,u-space-b2,ybtn,js-maybe-later-button,chiclet-link href,tooltip,review-tags_item,icon_svg href 14
https://www.yelp.com/user_details?userid=8q6vJuhgs4e8jf5FkSMybA,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,Jin L.,"Manhattan, New York, NY",friends,0,review,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.yelp.com/user_details?userid=EHlL7H3qddl6W1s_-RmdIw,https://s3-media1.fl.yelpcdn.com/photo/tiOgJa1uSnXvFuprIMIGhA/60s.jpg,Luis G.,"Huntington Beach, CA",friends,86,reviews,87,photos,[object Object],15,Elite ’18,https://www.yelp.com/elite,https://www.yelp.com/biz_share/jImBrAd65LeLWne9lfK2tg/review/om6g7SWqsbu0hgwo6siaZQ,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=om6g7SWqsbu0hgwo6siaZQ&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fthe-wormhole-coffee-chicago&user_id=EHlL7H3qddl6W1s_-RmdIw,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=EHlL7H3qddl6W1s_-RmdIw&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fthe-wormhole-coffee-chicago,Send message,https://www.yelp.com/following_user/add?dst_user_id=EHlL7H3qddl6W1s_-RmdIw&previous_url=https://www.yelp.com/biz/the-wormhole-coffee-chicago,Follow Luis G.,https://www.yelp.com/following_user/remove?dst_user_id=EHlL7H3qddl6W1s_-RmdIw&previous_url=https://www.yelp.com/biz/the-wormhole-coffee-chicago,Stop following Luis G.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,10/19/2018,A unique experience. Upon walking inside Wormhole coffee you'll be transported to a place filled with items from an 80s time capsule. There is a decent amount of seating but it's usually packed. Bring headphones if you want to get any work done on your computer since the ambient music is louder than most coffee shops.Beverages and service are slightly above average but let's be honest you're going out of your way to experience the atmosphere here not be blown away by the coffee beans.,voted for this review,Useful,2,Funny,2,Cool,1,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=jImBrAd65LeLWne9lfK2tg&flag_id=om6g7SWqsbu0hgwo6siaZQ&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fthe-wormhole-coffee-chicago,Report review,,
https://www.yelp.com/user_details?userid=D7vBXlMbc72Qd4DelSFpZw,https://s3-media2.fl.yelpcdn.com/photo/rV5nhXqOV_GCxUeOwvwUeg/60s.jpg,Rachel M.,"Chicago, IL",friends,121,reviews,60,photos,[object Object],71,Elite ’18,https://www.yelp.com/elite,https://www.yelp.com/biz_share/jImBrAd65LeLWne9lfK2tg/review/UVQivIlMrYtpd3UqL98jlg,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=UVQivIlMrYtpd3UqL98jlg&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fthe-wormhole-coffee-chicago&user_id=D7vBXlMbc72Qd4DelSFpZw,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=D7vBXlMbc72Qd4DelSFpZw&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fthe-wormhole-coffee-chicago,Send message,https://www.yelp.com/following_user/add?dst_user_id=D7vBXlMbc72Qd4DelSFpZw&previous_url=https://www.yelp.com/biz/the-wormhole-coffee-chicago,Follow Rachel M.,https://www.yelp.com/following_user/remove?dst_user_id=D7vBXlMbc72Qd4DelSFpZw&previous_url=https://www.yelp.com/biz/the-wormhole-coffee-chicago,Stop following Rachel M.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,10/15/2018,"If you like craft coffee mixed with 80's nostalgia mixed with video game memorabilia then you have to pay a visit to The Wormhole Coffee. It was packed when I came in on Saturday morning and the coffee is worth the wait. My friend ordered the koopa troopa drink, which is like a peanut butter cup in liquid form. I was kicking myself for not ordering that while I was waiting for my hand brewed coffee. But for coffee lovers, the rotating selection of brews is excellent here. The baristas know what they are doing, my coffee came out perfect. Surprisingly it was a great temp where I could basically immediately have a sip once my brew was ready. The atmosphere is amazing. I love all the intricate details they have placed throughout from the stained glass Nintendo to the Delorean in the back. I wish I lived closer so I could come here more often, but it's def on my list as a must visit to take friends when they are in town.",Was this review …?,Useful,,Funny,,Cool,,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=jImBrAd65LeLWne9lfK2tg&flag_id=UVQivIlMrYtpd3UqL98jlg&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fthe-wormhole-coffee-chicago,Report review,1 check-in,[object Object]
https://www.yelp.com/user_details?userid=nN_ZZ3YRE1zIyORj3BMfkA,https://s3-media1.fl.yelpcdn.com/photo/uPG_7k8pYU2tRcO8vQC9Hw/60s.jpg,Erin G.,"Palos Heights, IL",friends,98,reviews,48,photos,[object Object],3,Elite ’18,https://www.yelp.com/elite,https://www.yelp.com/biz_share/jImBrAd65LeLWne9lfK2tg/review/1D5jzE2o1Mx8KVFeyyp5Ug,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=1D5jzE2o1Mx8KVFeyyp5Ug&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fthe-wormhole-coffee-chicago&user_id=nN_ZZ3YRE1zIyORj3BMfkA,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=nN_ZZ3YRE1zIyORj3BMfkA&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fthe-wormhole-coffee-chicago,Send message,https://www.yelp.com/following_user/add?dst_user_id=nN_ZZ3YRE1zIyORj3BMfkA&previous_url=https://www.yelp.com/biz/the-wormhole-coffee-chicago,Follow Erin G.,https://www.yelp.com/following_user/remove?dst_user_id=nN_ZZ3YRE1zIyORj3BMfkA&previous_url=https://www.yelp.com/biz/the-wormhole-coffee-chicago,Stop following Erin G.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,9/15/2018,"I love this place!! My only complaint is that it's difficult to find a place to sit. All you 80s babies will get real nostalgia vibes from this place - from the decor, music and even the coffee titles. The coffee is able to match the cool ambiance. My personal favorite is the Peanut Butter Koopa-Troopa.. smooth and creamy peanut buttery goodness. It is in a cute area and there are some awesome thrift stores near by that are worth checking out!",voted for this review,Useful,2,Funny,,Cool,1,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=jImBrAd65LeLWne9lfK2tg&flag_id=1D5jzE2o1Mx8KVFeyyp5Ug&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fthe-wormhole-coffee-chicago,Report review,,
https://www.yelp.com/user_details?userid=x6wX-5bPSHbfIuyxgCInWQ,https://s3-media1.fl.yelpcdn.com/photo/wp4iehrMQ56NFoW7E-TWxQ/60s.jpg,Suzan H.,"Milwaukee, WI",friends,158,reviews,167,photos,[object Object],629,Elite ’18,https://www.yelp.com/elite,https://www.yelp.com/biz_share/jImBrAd65LeLWne9lfK2tg/review/uwBs78J1FmuT_jfjZCoWbA,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=uwBs78J1FmuT_jfjZCoWbA&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fthe-wormhole-coffee-chicago&user_id=x6wX-5bPSHbfIuyxgCInWQ,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=x6wX-5bPSHbfIuyxgCInWQ&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fthe-wormhole-coffee-chicago,Send message,https://www.yelp.com/following_user/add?dst_user_id=x6wX-5bPSHbfIuyxgCInWQ&previous_url=https://www.yelp.com/biz/the-wormhole-coffee-chicago,Follow Suzan H.,https://www.yelp.com/following_user/remove?dst_user_id=x6wX-5bPSHbfIuyxgCInWQ&previous_url=https://www.yelp.com/biz/the-wormhole-coffee-chicago,Stop following Suzan H.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,8/20/2018,This coffee shop is the MF bomb and I love it! I love the vibe here! Not sure if it's because it reminds me of Brady street coffee shops in MKE or if it's because it has that cool hipster vibe Bay View has but I dig it and I continuously find myself here whenever I'm in Wicker Park. They have a delicious latte called the Koopa Troopa that I highly recommend getting. I'll be back here for sure whenever I'm in the windy city. Give this place a try!,voted for this review,Useful,3,Funny,1,Cool,1,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=jImBrAd65LeLWne9lfK2tg&flag_id=uwBs78J1FmuT_jfjZCoWbA&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fthe-wormhole-coffee-chicago,Report review,2 check-ins,[object Object]
https://www.yelp.com/user_details?userid=zkvRRMloYqHJ-0wU9QkPXQ,https://s3-media1.fl.yelpcdn.com/photo/oaK5rPzRcCAuehFwm5opog/60s.jpg,Kevin H.,"Washington, DC",friends,266,reviews,162,photos,[object Object],334,Elite ’18,https://www.yelp.com/elite,https://www.yelp.com/biz_share/jImBrAd65LeLWne9lfK2tg/review/fWbJK53_0K364t0cbt7e_A,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=fWbJK53_0K364t0cbt7e_A&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fthe-wormhole-coffee-chicago&user_id=zkvRRMloYqHJ-0wU9QkPXQ,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=zkvRRMloYqHJ-0wU9QkPXQ&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fthe-wormhole-coffee-chicago,Send message,https://www.yelp.com/following_user/add?dst_user_id=zkvRRMloYqHJ-0wU9QkPXQ&previous_url=https://www.yelp.com/biz/the-wormhole-coffee-chicago,Follow Kevin H.,https://www.yelp.com/following_user/remove?dst_user_id=zkvRRMloYqHJ-0wU9QkPXQ&previous_url=https://www.yelp.com/biz/the-wormhole-coffee-chicago,Stop following Kevin H.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,8/17/2018,Wormhole is definitely a trendy/hipster modern day spot where they bring back memorabilia from the 80s. They even have a model size Back to the Future car and a old school Macintosh computer. They have alot of cool signature drinks on their menu. However - keeping with my standard - you have to try their hot black coffee or cold brew to determine if their coffee is on point. I opted for the cold brew since it was a hot summer day. I would have to say I am relatively disappointed. The cold brew fell really flat. No flavor whatsoever and way too much ice. Dissapointing. Cool coffee shop concept - need better coffee.,voted for this review,Useful,1,Funny,,Cool,1,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=jImBrAd65LeLWne9lfK2tg&flag_id=fWbJK53_0K364t0cbt7e_A&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fthe-wormhole-coffee-chicago,Report review,,
https://www.yelp.com/user_details?userid=iQrLyN0gbAhZiiG0ZwD2gg,https://s3-media4.fl.yelpcdn.com/photo/VWEviMjq_JI1N3yhXBPKbA/60s.jpg,Scott Matthew C.,"Ann Arbor, MI",friends,2,reviews,46,photos,[object Object],67,Elite ’18,https://www.yelp.com/elite,https://www.yelp.com/biz_share/jImBrAd65LeLWne9lfK2tg/review/rpqpQn0oM5J6s5WukfBVDg,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=rpqpQn0oM5J6s5WukfBVDg&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fthe-wormhole-coffee-chicago&user_id=iQrLyN0gbAhZiiG0ZwD2gg,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=iQrLyN0gbAhZiiG0ZwD2gg&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fthe-wormhole-coffee-chicago,Send message,https://www.yelp.com/following_user/add?dst_user_id=iQrLyN0gbAhZiiG0ZwD2gg&previous_url=https://www.yelp.com/biz/the-wormhole-coffee-chicago,Follow Scott Matthew C.,https://www.yelp.com/following_user/remove?dst_user_id=iQrLyN0gbAhZiiG0ZwD2gg&previous_url=https://www.yelp.com/biz/the-wormhole-coffee-chicago,Stop following Scott Matthew C.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,8/29/2018,"Edgy coffee shop! Great music, knowledgeable baristas, and fast service! It has a lot of nostalgia in terms of 80's and 90's movie memorabilia! Ghostbusters, Gremlins, Aliens and more! I got my iced soy chai latte: I was impressed! 5 stars! There is ample seating inside and plugs for all your devices to charge! There is also outdoor seating as well. This will be my office for the morning!",Was this review …?,Useful,,Funny,,Cool,,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=jImBrAd65LeLWne9lfK2tg&flag_id=rpqpQn0oM5J6s5WukfBVDg&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fthe-wormhole-coffee-chicago,Report review,,
https://www.yelp.com/user_details?userid=vySVC5UPyC3kshbmox9uXA,https://s3-media2.fl.yelpcdn.com/photo/QNh4JN-XubXG0tf7wa94Ag/60s.jpg,Jisha M.,"Niles, IL",friends,28,reviews,71,photos,[object Object],366,Elite ’18,https://www.yelp.com/elite,https://www.yelp.com/biz_share/jImBrAd65LeLWne9lfK2tg/review/UuRjopnFrYAUDVl9gtCr_A,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=UuRjopnFrYAUDVl9gtCr_A&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fthe-wormhole-coffee-chicago&user_id=vySVC5UPyC3kshbmox9uXA,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=vySVC5UPyC3kshbmox9uXA&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fthe-wormhole-coffee-chicago,Send message,https://www.yelp.com/following_user/add?dst_user_id=vySVC5UPyC3kshbmox9uXA&previous_url=https://www.yelp.com/biz/the-wormhole-coffee-chicago,Follow Jisha M.,https://www.yelp.com/following_user/remove?dst_user_id=vySVC5UPyC3kshbmox9uXA&previous_url=https://www.yelp.com/biz/the-wormhole-coffee-chicago,Stop following Jisha M.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,8/28/2018,"This place has plenty of character, and at least a few unique options for coffee drinks. I had the 'Cool But Rude' and it delivered a pleasantly memorable coffee experience with strong hints of ginger and curry sauce. Health concerns aside, the overall taste was better with whole milk versus skim milk.It's also worthy to note that the decor inside the place was fantastic for any vintage 1980's fan. From the DeLorean from Back to the Future to the original Game Boy to an original Apple computer, there are plenty of bits of eye candy. Overall, I'd certainly recommend trying this place at least once.",Was this review …?,Useful,,Funny,,Cool,,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=jImBrAd65LeLWne9lfK2tg&flag_id=UuRjopnFrYAUDVl9gtCr_A&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fthe-wormhole-coffee-chicago,Report review,1 check-in,[object Object]
https://www.yelp.com/user_details?userid=OZuK6_2JGY3lpTXAqtT7hw,https://s3-media2.fl.yelpcdn.com/photo/mHhTJX_aLjjm93bGbfkojw/60s.jpg,Ameer S.,"Chicago, IL",friends,191,reviews,256,photos,[object Object],91,Elite ’18,https://www.yelp.com/elite,https://www.yelp.com/biz_share/jImBrAd65LeLWne9lfK2tg/review/waFcJPaC0NEJS42IayjhBw,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=waFcJPaC0NEJS42IayjhBw&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fthe-wormhole-coffee-chicago&user_id=OZuK6_2JGY3lpTXAqtT7hw,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=OZuK6_2JGY3lpTXAqtT7hw&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fthe-wormhole-coffee-chicago,Send message,https://www.yelp.com/following_user/add?dst_user_id=OZuK6_2JGY3lpTXAqtT7hw&previous_url=https://www.yelp.com/biz/the-wormhole-coffee-chicago,Follow Ameer S.,https://www.yelp.com/following_user/remove?dst_user_id=OZuK6_2JGY3lpTXAqtT7hw&previous_url=https://www.yelp.com/biz/the-wormhole-coffee-chicago,Stop following Ameer S.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,10/17/2018,"Easily one of my favorite spots to get work done. If you order a tea, they prepare it with loose leaf tea, and provide a free additional steep if you'd like. Not a bad spot to hang out, but most of the people here seem to be getting work done. Dimly lit so if you're not next to a lamp, I could see it being difficult to read if you're bringing a book here in the evening. Employees are friendly as well.",Was this review …?,Useful,,Funny,,Cool,,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=jImBrAd65LeLWne9lfK2tg&flag_id=waFcJPaC0NEJS42IayjhBw&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fthe-wormhole-coffee-chicago,Report review,,
https://www.yelp.com/user_details?userid=jUXogAZjiXC-r1gm3ZZg4Q,https://s3-media2.fl.yelpcdn.com/photo/66NydfAg5mIADrJmxuKQFw/60s.jpg,Maricel J.,"Los Angeles, CA",friends,406,reviews,616,photos,[object Object],2236,Elite ’18,https://www.yelp.com/elite,https://www.yelp.com/biz_share/jImBrAd65LeLWne9lfK2tg/review/y_mR_YwpWj4iKbX-LYbRRw,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=y_mR_YwpWj4iKbX-LYbRRw&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fthe-wormhole-coffee-chicago&user_id=jUXogAZjiXC-r1gm3ZZg4Q,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=jUXogAZjiXC-r1gm3ZZg4Q&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fthe-wormhole-coffee-chicago,Send message,https://www.yelp.com/following_user/add?dst_user_id=jUXogAZjiXC-r1gm3ZZg4Q&previous_url=https://www.yelp.com/biz/the-wormhole-coffee-chicago,Follow Maricel J.,https://www.yelp.com/following_user/remove?dst_user_id=jUXogAZjiXC-r1gm3ZZg4Q&previous_url=https://www.yelp.com/biz/the-wormhole-coffee-chicago,Stop following Maricel J.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,8/15/2018,"Not your typical starbucks, this place is one of a kind.I love all their 80's movie theme decors/menu, it really made the place more hip. Cute spot to chill.",Was this review …?,Useful,,Funny,,Cool,,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=jImBrAd65LeLWne9lfK2tg&flag_id=y_mR_YwpWj4iKbX-LYbRRw&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fthe-wormhole-coffee-chicago,Report review,1 check-in,[object Object]
