js-analytics-click href,photo-box-img src,user-display-name,user-location,friend-count,friend-count 2,review-count,review-count 2,photo-count,icon_svg href 3,photo-count 2,is-elite,is-elite href,arrange href,icon_svg href 4,action-link_label,arrange href 2,action-link_label 2,arrange href 3,action-link_label 3,arrange href 4,action-link_label 4,arrange href 5,action-link_label 5,arrange href 6,action-link_label 6,offscreen src,rating-qualifier,review-content,voting-intro,js-review-feedback-voter-list,js-review-feedback-voter-list href,vote-type,count,vote-type 2,vote-type 3,count 2,u-space-b3,u-space-b3 src,u-space-b2,ybtn,js-maybe-later-button,chiclet-link href,tooltip
https://www.yelp.com/user_details?userid=8q6vJuhgs4e8jf5FkSMybA,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,Jin L.,"Manhattan, New York, NY",friends,0,review,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.yelp.com/user_details?userid=0MvhBWSBhdnBaw3N56OT8g,https://s3-media4.fl.yelpcdn.com/photo/Hcsro_zfnHIlwR4oXxJ5_g/60s.jpg,Gabrielle W.,"Chicago, IL",friends,584,reviews,121,photos,[object Object],200,Elite ’18,https://www.yelp.com/elite,https://www.yelp.com/biz_share/3aoCOA9tc3Nhi2swyhR-1Q/review/LByQf1xN3vnIjF30jRGK3w,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=LByQf1xN3vnIjF30jRGK3w&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbourgeois-pig-cafe-chicago%3Fosq%3DBourgoeis%2Bcaf%25C3%25A9&user_id=0MvhBWSBhdnBaw3N56OT8g,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=0MvhBWSBhdnBaw3N56OT8g&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbourgeois-pig-cafe-chicago%3Fosq%3DBourgoeis%2Bcaf%25C3%25A9,Send message,https://www.yelp.com/following_user/add?dst_user_id=0MvhBWSBhdnBaw3N56OT8g&previous_url=https://www.yelp.com/biz/bourgeois-pig-cafe-chicago?osq=Bourgoeis+caf%C3%A9,Follow Gabrielle W.,https://www.yelp.com/following_user/remove?dst_user_id=0MvhBWSBhdnBaw3N56OT8g&previous_url=https://www.yelp.com/biz/bourgeois-pig-cafe-chicago?osq=Bourgoeis+caf%C3%A9,Stop following Gabrielle W.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,7/15/2018,"Absolutely LOVE this place. Today was my first time going and I am quite sure I have found my new study spot! This cafe offers coffee, tea, sandwiches, breakfast, and so much more! They have booth indoor and outdoor seating. They also have a side of the cafe which used to be a house which they renovated. (So cute). It was cozy, quiet and bright enough. They have both couches and table/chairs as options to sit at! They do offer free WiFi. I ordered the Chai Latte (recommend with coconut milk) and the Great Gatsby sandwich. Both were awesome and I'd easily get those both again. Note: the great gatsby full size sandwich was HUGE. I was only able to finish half. I would recommend sharing or getting a half size. The service was great! I'll definitely be back!",voted for this review,Sarah V. and 2 others,javascript:;,Useful,2,Funny,Cool,2,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=3aoCOA9tc3Nhi2swyhR-1Q&flag_id=LByQf1xN3vnIjF30jRGK3w&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbourgeois-pig-cafe-chicago%3Fosq%3DBourgoeis%2Bcaf%25C3%25A9,Report review
https://www.yelp.com/user_details?userid=SlTj2uzjReCe2Hg6OUuq4A,https://s3-media2.fl.yelpcdn.com/photo/J4BjsxpsyIS15p46HSIqmA/60s.jpg,R W.,"Chicago, IL",friends,4,reviews,20,photo,[object Object],1,,,https://www.yelp.com/biz_share/3aoCOA9tc3Nhi2swyhR-1Q/review/lwKmWEetOch4KvkwoyomvQ,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=lwKmWEetOch4KvkwoyomvQ&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbourgeois-pig-cafe-chicago%3Fosq%3DBourgoeis%2Bcaf%25C3%25A9&user_id=SlTj2uzjReCe2Hg6OUuq4A,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=SlTj2uzjReCe2Hg6OUuq4A&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbourgeois-pig-cafe-chicago%3Fosq%3DBourgoeis%2Bcaf%25C3%25A9,Send message,https://www.yelp.com/following_user/add?dst_user_id=SlTj2uzjReCe2Hg6OUuq4A&previous_url=https://www.yelp.com/biz/bourgeois-pig-cafe-chicago?osq=Bourgoeis+caf%C3%A9,Follow R W.,https://www.yelp.com/following_user/remove?dst_user_id=SlTj2uzjReCe2Hg6OUuq4A&previous_url=https://www.yelp.com/biz/bourgeois-pig-cafe-chicago?osq=Bourgoeis+caf%C3%A9,Stop following R W.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,7/25/2018,"I went there today for the first time and ordered the breakfast burrito, and it got served to me with no avocado and no cilantro.  When I went back to the counter to ask about it, the guy that took my order had no idea why it was missing those ingredients.  He asked the woman in the back - whom I could clearly see standing right there - and she didn't even look up from chopping something to say, ""we're out.""  And that was it.Total cost for a coffee and a shitty burrito:  $18No thanks.",voted for this review,Miss W. and 2 others,javascript:;,Useful,3,Funny,Cool,,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=3aoCOA9tc3Nhi2swyhR-1Q&flag_id=lwKmWEetOch4KvkwoyomvQ&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbourgeois-pig-cafe-chicago%3Fosq%3DBourgoeis%2Bcaf%25C3%25A9,Report review
https://www.yelp.com/user_details?userid=Rjm8rrNqBTQ8cVpaTlXZww,https://s3-media4.fl.yelpcdn.com/photo/7KWUB0IzKD7PDC3-x1wxYQ/60s.jpg,Samantha V.,"Chicago, IL",friends,126,reviews,327,photos,[object Object],101,Elite ’18,https://www.yelp.com/elite,https://www.yelp.com/biz_share/3aoCOA9tc3Nhi2swyhR-1Q/review/dGc_Da8a4uHMfYVl6p4_mg,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=dGc_Da8a4uHMfYVl6p4_mg&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbourgeois-pig-cafe-chicago%3Fosq%3DBourgoeis%2Bcaf%25C3%25A9&user_id=Rjm8rrNqBTQ8cVpaTlXZww,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=Rjm8rrNqBTQ8cVpaTlXZww&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbourgeois-pig-cafe-chicago%3Fosq%3DBourgoeis%2Bcaf%25C3%25A9,Send message,https://www.yelp.com/following_user/add?dst_user_id=Rjm8rrNqBTQ8cVpaTlXZww&previous_url=https://www.yelp.com/biz/bourgeois-pig-cafe-chicago?osq=Bourgoeis+caf%C3%A9,Follow Samantha V.,https://www.yelp.com/following_user/remove?dst_user_id=Rjm8rrNqBTQ8cVpaTlXZww&previous_url=https://www.yelp.com/biz/bourgeois-pig-cafe-chicago?osq=Bourgoeis+caf%C3%A9,Stop following Samantha V.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,5/5/2018,"Bourgeois just means too rich for their britches. This place is a very quaint little joint to sit, sip a drink and feel special I guess. I bet hipsters love it.Did you know bourgeois really means MIDDLE class? Not even high class, but middle class materialistic. That's a pretty good description of this place. I feel like my reviews are all about my frugality (read: cheapness) and irritation with over-inflated prices. This review is no different.A breakfast bowl, iced chai latte and a scone cost me $20. *Does a Flintstones double take* TWENTY BUCKS for a la carte breakfast?!The berry scone looked pretty awesome, big and crusty with chunks of fruit...but it was the most bland hunk of flour and water I've had since eating motzo. The iced chai latte was decent but standard. Nothing wowed me about it except the $4.50 price tag (and not in the good way)The breakfast bowl was probably the best part but again nothing to write home about. The scrambled eggs were fluffy and the avocado was fresh, but the salsa, sour cream and onion were a bit unnecessary except to inflate the price. It was tasty but nothing I couldn't have made at home much cheaper. On a Saturday morning, there was ONE employee, who took orders and served people individually with absolutely no sense of urgency and zero multitasking skills. There were 5 people in line all standing around wondering if the place was really open.I will not be returning.",voted for this review,Gabrielle W. and 2 others,javascript:;,Useful,2,Funny,Cool,,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=3aoCOA9tc3Nhi2swyhR-1Q&flag_id=dGc_Da8a4uHMfYVl6p4_mg&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbourgeois-pig-cafe-chicago%3Fosq%3DBourgoeis%2Bcaf%25C3%25A9,Report review
https://www.yelp.com/user_details?userid=zuKR4B3CdrnA4HpqFvaVJQ,https://s3-media4.fl.yelpcdn.com/photo/DNskUYkpNPEc8-NBubynUg/60s.jpg,Chris R.,"Chicago, IL",friends,327,reviews,107,photos,[object Object],422,Elite ’18,https://www.yelp.com/elite,https://www.yelp.com/biz_share/3aoCOA9tc3Nhi2swyhR-1Q/review/RuZmz0IO0oN5yOC-XUIF0g,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=RuZmz0IO0oN5yOC-XUIF0g&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbourgeois-pig-cafe-chicago%3Fosq%3DBourgoeis%2Bcaf%25C3%25A9&user_id=zuKR4B3CdrnA4HpqFvaVJQ,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=zuKR4B3CdrnA4HpqFvaVJQ&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbourgeois-pig-cafe-chicago%3Fosq%3DBourgoeis%2Bcaf%25C3%25A9,Send message,https://www.yelp.com/following_user/add?dst_user_id=zuKR4B3CdrnA4HpqFvaVJQ&previous_url=https://www.yelp.com/biz/bourgeois-pig-cafe-chicago?osq=Bourgoeis+caf%C3%A9,Follow Chris R.,https://www.yelp.com/following_user/remove?dst_user_id=zuKR4B3CdrnA4HpqFvaVJQ&previous_url=https://www.yelp.com/biz/bourgeois-pig-cafe-chicago?osq=Bourgoeis+caf%C3%A9,Stop following Chris R.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,12/13/2017,"Quality of the Pig has decreased. Atmosphere remains super cool, although cleanliness is down (bathrooms can be gas-station gross, and the one has had the heat broken for a long time...).Drip coffee sometimes seems to have sat for a while, it served less hot, and while it's drinkable, I would no longer consider it comparable to the best coffee shops in the city (La Columbe, Dark Matter, Intelligenisa, etc)Service is also somehow shruggable. Staff aren't frustrating but certainly aren't out of their way helpful. The Pig is still one of the coolest spaces in the city, but I can't help think that if it had a bit more of its old inspiration, this place would be packed all the time.",voted for this review,AR S. and 2 others,javascript:;,Useful,3,Funny,Cool,,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=3aoCOA9tc3Nhi2swyhR-1Q&flag_id=RuZmz0IO0oN5yOC-XUIF0g&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbourgeois-pig-cafe-chicago%3Fosq%3DBourgoeis%2Bcaf%25C3%25A9,Report review
https://www.yelp.com/user_details?userid=YFTtzt9c1lb7HdL33U4oig,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,Stuart V.,"Chicago, IL",friends,0,reviews,7,photos,[object Object],6,,,https://www.yelp.com/biz_share/3aoCOA9tc3Nhi2swyhR-1Q/review/LF2FP6-a25cJDiWs4RY4sQ,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=LF2FP6-a25cJDiWs4RY4sQ&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbourgeois-pig-cafe-chicago%3Fosq%3DBourgoeis%2Bcaf%25C3%25A9&user_id=YFTtzt9c1lb7HdL33U4oig,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=YFTtzt9c1lb7HdL33U4oig&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbourgeois-pig-cafe-chicago%3Fosq%3DBourgoeis%2Bcaf%25C3%25A9,Send message,https://www.yelp.com/following_user/add?dst_user_id=YFTtzt9c1lb7HdL33U4oig&previous_url=https://www.yelp.com/biz/bourgeois-pig-cafe-chicago?osq=Bourgoeis+caf%C3%A9,Follow Stuart V.,https://www.yelp.com/following_user/remove?dst_user_id=YFTtzt9c1lb7HdL33U4oig&previous_url=https://www.yelp.com/biz/bourgeois-pig-cafe-chicago?osq=Bourgoeis+caf%C3%A9,Stop following Stuart V.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,10/25/2018,"So I came to this establishment a lot, like everyday for two years, when I was studying. I wanted to support a local independent shop even if it wasn't great. But what i discovered was..well I honestly don't know where to begin... *They are ALWAYS out of everything- food items, chai, coffee, baked goods. I've been there three time when they were out of coffee! THREE TIMES!!*and the coffee they do use is Kirkland (Costco brand) LOL  I not a coffee snob but i don't want to pay $5 for costco coffee*Most of their food is microwaved because it is premade- eggs, paninis (which sometimes come out slimy )*the same pan of scones/muffins sit in the glass case thing for serious a week sometimes. The old mumbling baker just brings up a giant batch and they sit there until they are gone. By day 2 they aren't worth paying for. If I ask they have always been honest (""those were baked last monday"") so that's good at least. *still very expensive $$$ 15$ for a shitty sandwich that comes with a tiny bag of chips  *Plan on waiting 30 mins, over an hour if they are busy due to understaffing and what looks like severe lack of organization/operations. *Have to use your email for 3 hour internet access. Internet doesn't work at all many times. *The baristas are nice but clueless. They always have to check to see if they have what you order. I'm realizing it's probably not their fault though. *The filthy building (which used to be the selling point, and initially what i thought was cool) is crumbling due to lack of upkeep- thick layer of dirt over everything (the ceiling fans & vents are so disgusting), ceiling in the front room leaks BAD for over a year now when it rains or from snow melt (I've seen 5+ buckets to catch watch in the dining room)*I wish I could finish with something good, but after talking about this place I found out that it has a reputation for not paying it's employees. So I asked the two baristas - their reaction said it all - they just looked at each other with wide eyes & acknowledged the problem in a very polite way. More respectful to ownership than i would have been if there was uncertainty in my pay checks. * and end of story, I haven't gone back since. I would recommend anyone and their mother pass on this rotting shit hole in Lincoln Park. ***please see photos***",1 person voted for this review,,,Useful,1,Funny,Cool,,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=3aoCOA9tc3Nhi2swyhR-1Q&flag_id=LF2FP6-a25cJDiWs4RY4sQ&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbourgeois-pig-cafe-chicago%3Fosq%3DBourgoeis%2Bcaf%25C3%25A9,Report review
https://www.yelp.com/user_details?userid=I6ZEyo34F9sVsMuGnMlhsw,https://s3-media3.fl.yelpcdn.com/photo/LEbpyhQeZLJjx8ONWsugeQ/60s.jpg,Miss W.,"Chicago, IL",friends,5,reviews,32,photos,[object Object],21,,,https://www.yelp.com/biz_share/3aoCOA9tc3Nhi2swyhR-1Q/review/_7psnuf4NE-FO3kI8Svq2w,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=_7psnuf4NE-FO3kI8Svq2w&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbourgeois-pig-cafe-chicago%3Fosq%3DBourgoeis%2Bcaf%25C3%25A9&user_id=I6ZEyo34F9sVsMuGnMlhsw,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=I6ZEyo34F9sVsMuGnMlhsw&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbourgeois-pig-cafe-chicago%3Fosq%3DBourgoeis%2Bcaf%25C3%25A9,Send message,https://www.yelp.com/following_user/add?dst_user_id=I6ZEyo34F9sVsMuGnMlhsw&previous_url=https://www.yelp.com/biz/bourgeois-pig-cafe-chicago?osq=Bourgoeis+caf%C3%A9,Follow Miss W.,https://www.yelp.com/following_user/remove?dst_user_id=I6ZEyo34F9sVsMuGnMlhsw&previous_url=https://www.yelp.com/biz/bourgeois-pig-cafe-chicago?osq=Bourgoeis+caf%C3%A9,Stop following Miss W.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,11/2/2018,Awful. Dusty. Panini was distasteful. Waste of my hard earned money. Mood was morbid. Would never recommend this place to anyone unless you are looking for a place to go after a funeral.,Was this review …?,,,Useful,,Funny,Cool,,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=3aoCOA9tc3Nhi2swyhR-1Q&flag_id=_7psnuf4NE-FO3kI8Svq2w&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbourgeois-pig-cafe-chicago%3Fosq%3DBourgoeis%2Bcaf%25C3%25A9,Report review
https://www.yelp.com/user_details?userid=U46u1okOTBitrHAOAhexUQ,https://s3-media2.fl.yelpcdn.com/photo/WM5Phq-YL627MP8tvasFGA/60s.jpg,Lauren R.,"Chicago, IL",friends,0,reviews,4,,,,,,https://www.yelp.com/biz_share/3aoCOA9tc3Nhi2swyhR-1Q/review/An6uwqNZt_6UKFIoEB14LQ,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=An6uwqNZt_6UKFIoEB14LQ&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbourgeois-pig-cafe-chicago%3Fosq%3DBourgoeis%2Bcaf%25C3%25A9&user_id=U46u1okOTBitrHAOAhexUQ,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=U46u1okOTBitrHAOAhexUQ&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbourgeois-pig-cafe-chicago%3Fosq%3DBourgoeis%2Bcaf%25C3%25A9,Send message,https://www.yelp.com/following_user/add?dst_user_id=U46u1okOTBitrHAOAhexUQ&previous_url=https://www.yelp.com/biz/bourgeois-pig-cafe-chicago?osq=Bourgoeis+caf%C3%A9,Follow Lauren R.,https://www.yelp.com/following_user/remove?dst_user_id=U46u1okOTBitrHAOAhexUQ&previous_url=https://www.yelp.com/biz/bourgeois-pig-cafe-chicago?osq=Bourgoeis+caf%C3%A9,Stop following Lauren R.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,10/14/2018,Terrible experience. Waited almost an hour for mediocre food. My lunch partners' food took an additional 30 minutes. Staff was unhelpful. Would not recommend this spot and will not be back.,1 person voted for this review,,,Useful,1,Funny,Cool,,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=3aoCOA9tc3Nhi2swyhR-1Q&flag_id=An6uwqNZt_6UKFIoEB14LQ&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbourgeois-pig-cafe-chicago%3Fosq%3DBourgoeis%2Bcaf%25C3%25A9,Report review
https://www.yelp.com/user_details?userid=K8d7TNeCgZm3E_fQ06KRCw,https://s3-media3.fl.yelpcdn.com/photo/JNEwofRRIP1SFPl94BZGJw/60s.jpg,Will T.,"Los Angeles, CA",friends,281,reviews,39,photos,[object Object],44,,,https://www.yelp.com/biz_share/3aoCOA9tc3Nhi2swyhR-1Q/review/ht_MYSdy_AFbXKzj-Yrvzg,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=ht_MYSdy_AFbXKzj-Yrvzg&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbourgeois-pig-cafe-chicago%3Fosq%3DBourgoeis%2Bcaf%25C3%25A9&user_id=K8d7TNeCgZm3E_fQ06KRCw,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=K8d7TNeCgZm3E_fQ06KRCw&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbourgeois-pig-cafe-chicago%3Fosq%3DBourgoeis%2Bcaf%25C3%25A9,Send message,https://www.yelp.com/following_user/add?dst_user_id=K8d7TNeCgZm3E_fQ06KRCw&previous_url=https://www.yelp.com/biz/bourgeois-pig-cafe-chicago?osq=Bourgoeis+caf%C3%A9,Follow Will T.,https://www.yelp.com/following_user/remove?dst_user_id=K8d7TNeCgZm3E_fQ06KRCw&previous_url=https://www.yelp.com/biz/bourgeois-pig-cafe-chicago?osq=Bourgoeis+caf%C3%A9,Stop following Will T.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,3/20/2018,"Absolute gem of a spot located in Lincoln Park right by De Paul's campus. We searched the area for a good sandwich spot that wasn't too chain-esque and this place caught our eyes instantly. It is a small duplex that, on the left side, has a small food shop that has a diverse array of sandwiches and salads that are great for both meat eaters and vegetarians. On the right side is a small coffee and tea shop that smells of delicious aromas from the fresh brewed drinks. Food: My girlfriend is a vegetarian but was in the mood for a sandwich instead of a soup or salad. She created a delicious build-your-own-sandwich with greens and a variety of cheeses on sourdough bread. It came out steaming and gooey while not sloppy; the bread was pressed and crispy on the outside yet softer as it approached the cheesy center. I ordered the Great Gatsby sandwich which was at the top of the best sellers list and I can completely see why. The sandwich came out piping hot with a mixtures of mouth watering smells ranging from the bite of the Swiss to the juiciness of the turkey and bacon. The basil pesto was an incredible touch and the avocado added that California club taste to it. I would highly recommend this sandwich the way it comes as it was absolutely divine.  Atmosphere: The restaurant itself was a cool, old school home feel that made the experience that much better. There were students working on papers and research while enjoying the sunshine and coziness of the dining area. While there is not much seating inside, it feels like an escape to a comfortable home that also serves up delicious food. Consensus: The mouth-watering sandwiches and plentiful salads and soups makes this place a definite stop every time I'm in Lincoln Park. The cozy home feeling of the dining area mixed with the great staff adds to the all around wonderful food this place has to offer!",voted for this review,Addison G. and 1 other,javascript:;,Useful,2,Funny,Cool,,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=3aoCOA9tc3Nhi2swyhR-1Q&flag_id=ht_MYSdy_AFbXKzj-Yrvzg&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbourgeois-pig-cafe-chicago%3Fosq%3DBourgoeis%2Bcaf%25C3%25A9,Report review
https://www.yelp.com/user_details?userid=aU7Frp4XrZfUhrVfYDf7EQ,https://s3-media3.fl.yelpcdn.com/photo/xdFOIcKYKWBzzhU19PWnwA/60s.jpg,Mysockisslipping _.,"Chicago, IL",friends,0,reviews,4,photos,[object Object],4,,,https://www.yelp.com/biz_share/3aoCOA9tc3Nhi2swyhR-1Q/review/0HiQ1ugD1Bs5BHC321EE0Q,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=0HiQ1ugD1Bs5BHC321EE0Q&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbourgeois-pig-cafe-chicago%3Fosq%3DBourgoeis%2Bcaf%25C3%25A9&user_id=aU7Frp4XrZfUhrVfYDf7EQ,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=aU7Frp4XrZfUhrVfYDf7EQ&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbourgeois-pig-cafe-chicago%3Fosq%3DBourgoeis%2Bcaf%25C3%25A9,Send message,https://www.yelp.com/following_user/add?dst_user_id=aU7Frp4XrZfUhrVfYDf7EQ&previous_url=https://www.yelp.com/biz/bourgeois-pig-cafe-chicago?osq=Bourgoeis+caf%C3%A9,Follow Mysockisslipping _.,https://www.yelp.com/following_user/remove?dst_user_id=aU7Frp4XrZfUhrVfYDf7EQ&previous_url=https://www.yelp.com/biz/bourgeois-pig-cafe-chicago?osq=Bourgoeis+caf%C3%A9,Stop following Mysockisslipping _.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,10/24/2018,"Cute little cafe. The Jamaican coffee was delicious, so was their Great Gatsby sandwich. The sandwich seemed a little pricey, but the size was decent and it was great. We had an issue where one of the drinks in our order was also ordered by multiple people behind us - and somehow the employee  kept giving my drink to the them even after they gave us our food...? Some sort of miscommunication there, but other than that it was a pleasant visit and worth the stop :)",Was this review …?,,,Useful,,Funny,Cool,,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=3aoCOA9tc3Nhi2swyhR-1Q&flag_id=0HiQ1ugD1Bs5BHC321EE0Q&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbourgeois-pig-cafe-chicago%3Fosq%3DBourgoeis%2Bcaf%25C3%25A9,Report review
