js-analytics-click href,photo-box-img src,user-display-name,user-location,friend-count,friend-count 2,review-count,review-count 2,photo-count,icon_svg href 3,photo-count 2,is-elite,is-elite href,arrange href,icon_svg href 4,action-link_label,arrange href 2,action-link_label 2,arrange href 3,action-link_label 3,arrange href 4,action-link_label 4,arrange href 5,action-link_label 5,arrange href 6,action-link_label 6,offscreen src,rating-qualifier,review-content,voting-intro,vote-type,count,vote-type 2,vote-type 3,u-space-b3,u-space-b3 src,u-space-b2,ybtn,js-maybe-later-button,chiclet-link href,tooltip,photo-box-img src 2,biz-shim href,photo-box-img src 3,biz-shim href 2,review-tags_item,icon_svg href 14,count 2,count 3,photo-box-overlay_caption
https://www.yelp.com/user_details?userid=8q6vJuhgs4e8jf5FkSMybA,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,Jin L.,"Manhattan, New York, NY",friends,0,review,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.yelp.com/user_details?userid=QulcOywLHMXh_h4OsdIe7Q,https://s3-media4.fl.yelpcdn.com/photo/O2Alxk2hYI0Yqn0h6CJC0w/60s.jpg,Marie B.,"Chicago, IL",friends,15,reviews,111,photos,[object Object],56,Elite ’18,https://www.yelp.com/elite,https://www.yelp.com/biz_share/kWOELNlUM14bv0m-slvq6A/review/qZNE5O2N8nh9Vkw6lLEV7Q,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=qZNE5O2N8nh9Vkw6lLEV7Q&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fintelligentsia-coffee-chicago-8%3Fosq%3DIntelligentsia&user_id=QulcOywLHMXh_h4OsdIe7Q,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=QulcOywLHMXh_h4OsdIe7Q&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fintelligentsia-coffee-chicago-8%3Fosq%3DIntelligentsia,Send message,https://www.yelp.com/following_user/add?dst_user_id=QulcOywLHMXh_h4OsdIe7Q&previous_url=https://www.yelp.com/biz/intelligentsia-coffee-chicago-8?osq=Intelligentsia,Follow Marie B.,https://www.yelp.com/following_user/remove?dst_user_id=QulcOywLHMXh_h4OsdIe7Q&previous_url=https://www.yelp.com/biz/intelligentsia-coffee-chicago-8?osq=Intelligentsia,Stop following Marie B.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,7/29/2018,"I'm a big fan of Intelligentsia and this is one of my favorite locations of theirs. Tucked into a historical Chicago building it has awesome old timely ambiance. That is until you go to order and are met with all the latest trends in artisan coffee. They certainly don't disappoint with their beverages. A beautifully crafted coffee, an oat milk chai, iced tea, and other treats. You can't go wrong.",voted for this review,Useful,2,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=kWOELNlUM14bv0m-slvq6A&flag_id=qZNE5O2N8nh9Vkw6lLEV7Q&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fintelligentsia-coffee-chicago-8%3Fosq%3DIntelligentsia,Report review,,,,,,,,,
https://www.yelp.com/user_details?userid=c_trKM2LILYxTD3IDjWD5g,https://s3-media3.fl.yelpcdn.com/photo/I902tJRK9B_Y0tum5qhYQQ/60s.jpg,Eric G.,"Cincinnati, OH",friends,19,reviews,65,photos,[object Object],36,Elite ’18,https://www.yelp.com/elite,https://www.yelp.com/biz_share/kWOELNlUM14bv0m-slvq6A/review/449v2sHF2WHjrH3GAaJH0w,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=449v2sHF2WHjrH3GAaJH0w&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fintelligentsia-coffee-chicago-8%3Fosq%3DIntelligentsia&user_id=c_trKM2LILYxTD3IDjWD5g,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=c_trKM2LILYxTD3IDjWD5g&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fintelligentsia-coffee-chicago-8%3Fosq%3DIntelligentsia,Send message,https://www.yelp.com/following_user/add?dst_user_id=c_trKM2LILYxTD3IDjWD5g&previous_url=https://www.yelp.com/biz/intelligentsia-coffee-chicago-8?osq=Intelligentsia,Follow Eric G.,https://www.yelp.com/following_user/remove?dst_user_id=c_trKM2LILYxTD3IDjWD5g&previous_url=https://www.yelp.com/biz/intelligentsia-coffee-chicago-8?osq=Intelligentsia,Stop following Eric G.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,9/10/2018,"Anytime I come to Chicago, usually a stop to an Intelligentsia happens. While it is one of the larger 3rd wave coffee chains, I still find they produce a great cup of coffee and are consistent. Stopped here for a quick cup to go and was not disappointed. They have a two pour over options and only one brewed ahead of time. Good variety of beans, Ethiopian, El Salvador, and a Kenya.",Was this review …?,Useful,,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=kWOELNlUM14bv0m-slvq6A&flag_id=449v2sHF2WHjrH3GAaJH0w&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fintelligentsia-coffee-chicago-8%3Fosq%3DIntelligentsia,Report review,,,,,,,,,
https://www.yelp.com/user_details?userid=jJpae1ZWrYWLKXjc_jOlIQ,https://s3-media1.fl.yelpcdn.com/photo/SQsdLhg7ArY2j6J8FZpJUw/60s.jpg,Markus M.,"Rancho Cucamonga, CA",friend,1,reviews,26,photo,[object Object],1,,,https://www.yelp.com/biz_share/kWOELNlUM14bv0m-slvq6A/review/887eHMKjhFr_ImKN9iw3vA,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=887eHMKjhFr_ImKN9iw3vA&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fintelligentsia-coffee-chicago-8%3Fosq%3DIntelligentsia&user_id=jJpae1ZWrYWLKXjc_jOlIQ,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=jJpae1ZWrYWLKXjc_jOlIQ&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fintelligentsia-coffee-chicago-8%3Fosq%3DIntelligentsia,Send message,https://www.yelp.com/following_user/add?dst_user_id=jJpae1ZWrYWLKXjc_jOlIQ&previous_url=https://www.yelp.com/biz/intelligentsia-coffee-chicago-8?osq=Intelligentsia,Follow Markus M.,https://www.yelp.com/following_user/remove?dst_user_id=jJpae1ZWrYWLKXjc_jOlIQ&previous_url=https://www.yelp.com/biz/intelligentsia-coffee-chicago-8?osq=Intelligentsia,Stop following Markus M.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,8/5/2018,"Excellent coffee, good atmosphere. Quality food.. what more does one want before they start the day:)Will be back. Thanks for great service",voted for this review,Useful,2,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=kWOELNlUM14bv0m-slvq6A&flag_id=887eHMKjhFr_ImKN9iw3vA&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fintelligentsia-coffee-chicago-8%3Fosq%3DIntelligentsia,Report review,,,,,,,,,
https://www.yelp.com/user_details?userid=i-PdP5aXeLGG-Bmg1Wd0KQ,https://s3-media3.fl.yelpcdn.com/photo/lLdIcNjghUmil7bKX2y5nA/60s.jpg,Vincent Q.,"Hong Kong Island, Hong Kong",friends,141,reviews,158,photos,[object Object],665,,,https://www.yelp.com/biz_share/kWOELNlUM14bv0m-slvq6A/review/ZqC8_D-9C163V4_XHtMYzQ,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=ZqC8_D-9C163V4_XHtMYzQ&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fintelligentsia-coffee-chicago-8%3Fosq%3DIntelligentsia&user_id=i-PdP5aXeLGG-Bmg1Wd0KQ,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=i-PdP5aXeLGG-Bmg1Wd0KQ&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fintelligentsia-coffee-chicago-8%3Fosq%3DIntelligentsia,Send message,https://www.yelp.com/following_user/add?dst_user_id=i-PdP5aXeLGG-Bmg1Wd0KQ&previous_url=https://www.yelp.com/biz/intelligentsia-coffee-chicago-8?osq=Intelligentsia,Follow Vincent Q.,https://www.yelp.com/following_user/remove?dst_user_id=i-PdP5aXeLGG-Bmg1Wd0KQ&previous_url=https://www.yelp.com/biz/intelligentsia-coffee-chicago-8?osq=Intelligentsia,Stop following Vincent Q.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,8/4/2018,Was in Chicago for a conference and went to Intelligista in the mornings for a coffee and pastry (3 visits).  I've been to other outlets mainly in Los Angeles and intelligista is one of my favorite specialty coffee chains.My rating is based on the following: Coffee: 4.5 starsCoffee beans: 3.5 starsService and atmosphere: 5 starsFood: 4 starsI tried the chocolate croissant as well as the ham and cheese pastry. Of the two I would recommend the ham and cheese pastry. I am a black coffee drinker and had the pour over with what ever beans they were brewing on hand that day.  During that time period it was mainly beans from the South American region. I prefer African beans with more acidity and fruit flavor to the smooth and nuttiness of a Columbian coffee. Coffee as in other locations was good and the staff is friendly and helpful with recommendations. Given I purchased beans both the Peru and Persephone blend.  Can't really recommend these beans. They aren't bad per say but nothing special and was a bit disappointed when I started using these at home.,Was this review …?,Useful,,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=kWOELNlUM14bv0m-slvq6A&flag_id=ZqC8_D-9C163V4_XHtMYzQ&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fintelligentsia-coffee-chicago-8%3Fosq%3DIntelligentsia,Report review,https://s3-media4.fl.yelpcdn.com/bphoto/ha5UgT0HrkmJ_5kml4PZRg/168s.jpg,https://www.yelp.com/biz_photos/intelligentsia-coffee-chicago-8?reviewid=ZqC8_D-9C163V4_XHtMYzQ&select=ha5UgT0HrkmJ_5kml4PZRg,https://s3-media1.fl.yelpcdn.com/bphoto/_SNj9NIZ9Xph6guvs2Wtjg/168s.jpg,https://www.yelp.com/biz_photos/intelligentsia-coffee-chicago-8?reviewid=ZqC8_D-9C163V4_XHtMYzQ&select=_SNj9NIZ9Xph6guvs2Wtjg,,,,,
https://www.yelp.com/user_details?userid=5rbuG3RrQ32JGj-k0Gfqgg,https://s3-media1.fl.yelpcdn.com/photo/toXElNw2BR_clRC8C3E4mQ/60s.jpg,John P.,"Davidsonville, MD",friends,0,reviews,75,photos,[object Object],17,,,https://www.yelp.com/biz_share/kWOELNlUM14bv0m-slvq6A/review/-lyXwUMGq57-ECe3VIWaFQ,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=-lyXwUMGq57-ECe3VIWaFQ&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fintelligentsia-coffee-chicago-8%3Fosq%3DIntelligentsia&user_id=5rbuG3RrQ32JGj-k0Gfqgg,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=5rbuG3RrQ32JGj-k0Gfqgg&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fintelligentsia-coffee-chicago-8%3Fosq%3DIntelligentsia,Send message,https://www.yelp.com/following_user/add?dst_user_id=5rbuG3RrQ32JGj-k0Gfqgg&previous_url=https://www.yelp.com/biz/intelligentsia-coffee-chicago-8?osq=Intelligentsia,Follow John P.,https://www.yelp.com/following_user/remove?dst_user_id=5rbuG3RrQ32JGj-k0Gfqgg&previous_url=https://www.yelp.com/biz/intelligentsia-coffee-chicago-8?osq=Intelligentsia,Stop following John P.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,11/6/2018,Great latte. They don't have the super comfortable furniture probably to keep folks from sitting there all day. It's clean and in a good part of town. I would definitely make it a meeting spot if I were more local.,Was this review …?,Useful,,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=kWOELNlUM14bv0m-slvq6A&flag_id=-lyXwUMGq57-ECe3VIWaFQ&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fintelligentsia-coffee-chicago-8%3Fosq%3DIntelligentsia,Report review,https://s3-media3.fl.yelpcdn.com/bphoto/qRtia2cBnQ87HqSgL1Q5wQ/348s.jpg,https://www.yelp.com/biz_photos/intelligentsia-coffee-chicago-8?reviewid=-lyXwUMGq57-ECe3VIWaFQ&select=qRtia2cBnQ87HqSgL1Q5wQ,,,1 check-in,[object Object],,,
https://www.yelp.com/user_details?userid=Vhl5Ec7eTuPJpXkAUFsv9A,https://s3-media3.fl.yelpcdn.com/photo/9OAcTjmBJHy7GKZmkhaBRQ/60s.jpg,Deserea B.,"La Jolla, CA",friends,171,reviews,18,photos,[object Object],10,,,https://www.yelp.com/biz_share/kWOELNlUM14bv0m-slvq6A/review/Dj3eKmJrsKLTINYkAZ5rfw,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=Dj3eKmJrsKLTINYkAZ5rfw&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fintelligentsia-coffee-chicago-8%3Fosq%3DIntelligentsia&user_id=Vhl5Ec7eTuPJpXkAUFsv9A,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=Vhl5Ec7eTuPJpXkAUFsv9A&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fintelligentsia-coffee-chicago-8%3Fosq%3DIntelligentsia,Send message,https://www.yelp.com/following_user/add?dst_user_id=Vhl5Ec7eTuPJpXkAUFsv9A&previous_url=https://www.yelp.com/biz/intelligentsia-coffee-chicago-8?osq=Intelligentsia,Follow Deserea B.,https://www.yelp.com/following_user/remove?dst_user_id=Vhl5Ec7eTuPJpXkAUFsv9A&previous_url=https://www.yelp.com/biz/intelligentsia-coffee-chicago-8?osq=Intelligentsia,Stop following Deserea B.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,10/20/2018,"Stopped by after coming in on the train, looking for some yummy coffee to warm me up. This place delivered! The art on my mocha was beautiful and the mocha tasted delicious! The taste is a perfect balance between chocolate and coffee!",Was this review …?,Useful,,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=kWOELNlUM14bv0m-slvq6A&flag_id=Dj3eKmJrsKLTINYkAZ5rfw&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fintelligentsia-coffee-chicago-8%3Fosq%3DIntelligentsia,Report review,https://s3-media2.fl.yelpcdn.com/bphoto/EdZsppdSKAEftv_SO4qiCw/348s.jpg,https://www.yelp.com/biz_photos/intelligentsia-coffee-chicago-8?reviewid=Dj3eKmJrsKLTINYkAZ5rfw&select=EdZsppdSKAEftv_SO4qiCw,https://s3-media1.fl.yelpcdn.com/bphoto/SljaCSs6asRPeNFHNXQO3A/168s.jpg,https://www.yelp.com/biz_photos/intelligentsia-coffee-chicago-8?reviewid=Dj3eKmJrsKLTINYkAZ5rfw&select=SljaCSs6asRPeNFHNXQO3A,,,,,
https://www.yelp.com/user_details?userid=2qKOL7C7WbG_M3EOWvTFxA,https://s3-media3.fl.yelpcdn.com/photo/Atw8XZnZA382SoBSQR7stQ/60s.jpg,Blue A.,"Fort Lauderdale, FL",friends,2340,reviews,1136,photos,[object Object],2222,Elite ’18,https://www.yelp.com/elite,https://www.yelp.com/biz_share/kWOELNlUM14bv0m-slvq6A/review/IVUvdi6aB2HI6wNgQHe8Dw,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=IVUvdi6aB2HI6wNgQHe8Dw&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fintelligentsia-coffee-chicago-8%3Fosq%3DIntelligentsia&user_id=2qKOL7C7WbG_M3EOWvTFxA,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=2qKOL7C7WbG_M3EOWvTFxA&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fintelligentsia-coffee-chicago-8%3Fosq%3DIntelligentsia,Send message,https://www.yelp.com/following_user/add?dst_user_id=2qKOL7C7WbG_M3EOWvTFxA&previous_url=https://www.yelp.com/biz/intelligentsia-coffee-chicago-8?osq=Intelligentsia,Follow Blue A.,https://www.yelp.com/following_user/remove?dst_user_id=2qKOL7C7WbG_M3EOWvTFxA&previous_url=https://www.yelp.com/biz/intelligentsia-coffee-chicago-8?osq=Intelligentsia,Stop following Blue A.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,5/10/2018,"TLDR: Was great for a quick coffee._______Waiting for breakfast a block away dropped in here for a coffee while I waitedI'm basic, so I always go with a vanilla latte. I actually forgot to add vanilla to it and they were kind enough to add it later and didn't up charge me. Super cool of them. I think they make the vanilla in house - it was a super good and well done latte.Nice wooden shelves (bar) with wooden stools. Cool decor. They had really cool art . The posters were like a maze where you have a start and finish and also snapshots of famous sites around town.",voted for this review,Useful,9,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=kWOELNlUM14bv0m-slvq6A&flag_id=IVUvdi6aB2HI6wNgQHe8Dw&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fintelligentsia-coffee-chicago-8%3Fosq%3DIntelligentsia,Report review,,,,,1 check-in,[object Object],5,11,
https://www.yelp.com/user_details?userid=xUfS_D23pPqZABDVeAhJTg,https://s3-media4.fl.yelpcdn.com/photo/wXzORQzbJVZQ7hJsFNckWw/60s.jpg,Grace T.,"Charleston, SC",friends,34,reviews,176,photos,[object Object],40,Elite ’18,https://www.yelp.com/elite,https://www.yelp.com/biz_share/kWOELNlUM14bv0m-slvq6A/review/PoGYozl2WO6phLfMF5ncqw,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=PoGYozl2WO6phLfMF5ncqw&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fintelligentsia-coffee-chicago-8%3Fosq%3DIntelligentsia&user_id=xUfS_D23pPqZABDVeAhJTg,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=xUfS_D23pPqZABDVeAhJTg&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fintelligentsia-coffee-chicago-8%3Fosq%3DIntelligentsia,Send message,https://www.yelp.com/following_user/add?dst_user_id=xUfS_D23pPqZABDVeAhJTg&previous_url=https://www.yelp.com/biz/intelligentsia-coffee-chicago-8?osq=Intelligentsia,Follow Grace T.,https://www.yelp.com/following_user/remove?dst_user_id=xUfS_D23pPqZABDVeAhJTg&previous_url=https://www.yelp.com/biz/intelligentsia-coffee-chicago-8?osq=Intelligentsia,Stop following Grace T.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,8/24/2018,"I think the staff are really nice and knowledgeable. That brought me from a 3 Star to 4 Star experience. I had the La Tortuga, which was smooth and not too acidic. Almost a hint of chocolate taste? I could be totally wrong, but it's what I personally taste. Was it phenomenal? Not really... Would I come back? Maybe if I was in the area and needed a casual coffee fix. It's a chic place with a nice ambiance.",voted for this review,Useful,1,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=kWOELNlUM14bv0m-slvq6A&flag_id=PoGYozl2WO6phLfMF5ncqw&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fintelligentsia-coffee-chicago-8%3Fosq%3DIntelligentsia,Report review,,,,,1 check-in,[object Object],,1,
https://www.yelp.com/user_details?userid=78dSO1f1Y5h0sYmUbxMhSQ,https://s3-media3.fl.yelpcdn.com/photo/17uIi7I-IGWOJ78hvEISZA/60s.jpg,Alexa L.,"Raleigh, NC",friends,240,reviews,352,photos,[object Object],425,Elite ’18,https://www.yelp.com/elite,https://www.yelp.com/biz_share/kWOELNlUM14bv0m-slvq6A/review/yLexYyqIo1vf3zapiN1DoA,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=yLexYyqIo1vf3zapiN1DoA&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fintelligentsia-coffee-chicago-8%3Fosq%3DIntelligentsia&user_id=78dSO1f1Y5h0sYmUbxMhSQ,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=78dSO1f1Y5h0sYmUbxMhSQ&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fintelligentsia-coffee-chicago-8%3Fosq%3DIntelligentsia,Send message,https://www.yelp.com/following_user/add?dst_user_id=78dSO1f1Y5h0sYmUbxMhSQ&previous_url=https://www.yelp.com/biz/intelligentsia-coffee-chicago-8?osq=Intelligentsia,Follow Alexa L.,https://www.yelp.com/following_user/remove?dst_user_id=78dSO1f1Y5h0sYmUbxMhSQ&previous_url=https://www.yelp.com/biz/intelligentsia-coffee-chicago-8?osq=Intelligentsia,Stop following Alexa L.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,5/22/2018,We came here because we had time to burn before Halal Guys opened for lunch a couple blocks away and I'm glad we picked up coffee at intelligentsia. My vanilla latte was perfect--no complaints. Baristas here know their stuff! The interior is also really cool--a lot of people chilling here with laptops or reading books. Only downside is that it's expensive! But...it is truly well-executed coffee..,voted for this review,Useful,1,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=kWOELNlUM14bv0m-slvq6A&flag_id=yLexYyqIo1vf3zapiN1DoA&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fintelligentsia-coffee-chicago-8%3Fosq%3DIntelligentsia,Report review,,,,,1 check-in,[object Object],,,
