js-analytics-click href,photo-box-img src,user-display-name,user-location,friend-count,friend-count 2,review-count,review-count 2,photo-count,icon_svg href 3,photo-count 2,arrange href,icon_svg href 4,action-link_label,arrange href 2,action-link_label 2,arrange href 3,action-link_label 3,arrange href 4,action-link_label 4,arrange href 5,action-link_label 5,arrange href 6,action-link_label 6,offscreen src,rating-qualifier,review-tags_item,icon_svg href 10,review-content,photo-box-img src 2,biz-shim href,voting-intro,vote-type,vote-type 2,vote-type 3,u-space-b3,u-space-b3 src,u-space-b2,ybtn,js-maybe-later-button,chiclet-link href,tooltip,is-elite,is-elite href,js-review-feedback-voter-list,js-review-feedback-voter-list href,count
https://www.yelp.com/user_details?userid=8q6vJuhgs4e8jf5FkSMybA,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,Jin L.,"Manhattan, New York, NY",friends,0,review,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.yelp.com/user_details?userid=USPhmz3xZKSkUc9birWFzQ,https://s3-media4.fl.yelpcdn.com/photo/YcT_ayznxXw5O5AhsGmGWw/60s.jpg,Catherine L.,"Chicago, IL",friends,240,reviews,14,photos,[object Object],22,https://www.yelp.com/biz_share/Zx87qmviYtwDOyBJah213g/review/wyyfiVaAOaQXxfcVunOrlQ,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=wyyfiVaAOaQXxfcVunOrlQ&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmedici-on-57th-chicago%3Fosq%3Dmedici%2Bcoffee&user_id=USPhmz3xZKSkUc9birWFzQ,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=USPhmz3xZKSkUc9birWFzQ&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmedici-on-57th-chicago%3Fosq%3Dmedici%2Bcoffee,Send message,https://www.yelp.com/following_user/add?dst_user_id=USPhmz3xZKSkUc9birWFzQ&previous_url=https://www.yelp.com/biz/medici-on-57th-chicago?osq=medici+coffee,Follow Catherine L.,https://www.yelp.com/following_user/remove?dst_user_id=USPhmz3xZKSkUc9birWFzQ&previous_url=https://www.yelp.com/biz/medici-on-57th-chicago?osq=medici+coffee,Stop following Catherine L.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,11/11/2018,1 check-in,[object Object],"My friend and I came here for lunch on a Friday. I have been to Medici many many times as it's a classic for students at the University - it's located just two blocks from the main campus.I ordered the Fresh Mozz sandwich and Cream of Mushroom and Spinach soup from their specials menu. The sandwich comes with a choice of thin-cut fries, potato chips, coleslaw, or potato salad, so I went with the coleslaw. They are very generous with their sides - you can tell from the photo how ginormous the portion of coleslaw is compared to the sandwich. I ended up having to take half the sandwich and some of coleslaw to-go - big portions means more leftovers!Anyway, it's a great place for some hearty food. I advise against the sandwiches made with baguettes since my experience with the baguettes have been that they are always too hard/crunchy. Popular at this establishment are their pizzas and milkshakes. I always come out feeling stuffed - so if you're looking for something light to eat perhaps the Med is not for you.",https://s3-media1.fl.yelpcdn.com/bphoto/lDSaQ-hMuTyc94RGRJfmTQ/348s.jpg,https://www.yelp.com/biz_photos/medici-on-57th-chicago?reviewid=wyyfiVaAOaQXxfcVunOrlQ&select=lDSaQ-hMuTyc94RGRJfmTQ,Was this review …?,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=Zx87qmviYtwDOyBJah213g&flag_id=wyyfiVaAOaQXxfcVunOrlQ&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmedici-on-57th-chicago%3Fosq%3Dmedici%2Bcoffee,Report review,,,,,
https://www.yelp.com/user_details?userid=5fb_BPmweD9oapVqJrWNcA,https://s3-media4.fl.yelpcdn.com/photo/5lLiGN-0d85NBwn-KWQpYw/60s.jpg,Anne B.,"Chicago, IL",friends,0,reviews,4,,,,https://www.yelp.com/biz_share/Zx87qmviYtwDOyBJah213g/review/A8d4ox8jq4IGmIsV9Sausg,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=A8d4ox8jq4IGmIsV9Sausg&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmedici-on-57th-chicago%3Fosq%3Dmedici%2Bcoffee&user_id=5fb_BPmweD9oapVqJrWNcA,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=5fb_BPmweD9oapVqJrWNcA&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmedici-on-57th-chicago%3Fosq%3Dmedici%2Bcoffee,Send message,https://www.yelp.com/following_user/add?dst_user_id=5fb_BPmweD9oapVqJrWNcA&previous_url=https://www.yelp.com/biz/medici-on-57th-chicago?osq=medici+coffee,Follow Anne B.,https://www.yelp.com/following_user/remove?dst_user_id=5fb_BPmweD9oapVqJrWNcA&previous_url=https://www.yelp.com/biz/medici-on-57th-chicago?osq=medici+coffee,Stop following Anne B.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,11/10/2018,,,"I think the cheese burgers are 10 out of 10! My whole family enjoyed our dinners! We're taking what's left home. That's how good it is! And graffiti on the table and walls and booths is allowed!- Leif, age 7",,,Was this review …?,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=Zx87qmviYtwDOyBJah213g&flag_id=A8d4ox8jq4IGmIsV9Sausg&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmedici-on-57th-chicago%3Fosq%3Dmedici%2Bcoffee,Report review,,,,,
https://www.yelp.com/user_details?userid=LGsM6_iXHNLIGTlSI8Go3w,https://s3-media3.fl.yelpcdn.com/photo/emRR2fXmk--o7sQuRALSaw/60s.jpg,Lauren-ashley B.,"Chicago, IL",friends,139,reviews,160,photos,[object Object],222,https://www.yelp.com/biz_share/Zx87qmviYtwDOyBJah213g/review/WeVzInTU44Aa6rBbCSnNJg,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=WeVzInTU44Aa6rBbCSnNJg&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmedici-on-57th-chicago%3Fosq%3Dmedici%2Bcoffee&user_id=LGsM6_iXHNLIGTlSI8Go3w,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=LGsM6_iXHNLIGTlSI8Go3w&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmedici-on-57th-chicago%3Fosq%3Dmedici%2Bcoffee,Send message,https://www.yelp.com/following_user/add?dst_user_id=LGsM6_iXHNLIGTlSI8Go3w&previous_url=https://www.yelp.com/biz/medici-on-57th-chicago?osq=medici+coffee,Follow Lauren-ashley B.,https://www.yelp.com/following_user/remove?dst_user_id=LGsM6_iXHNLIGTlSI8Go3w&previous_url=https://www.yelp.com/biz/medici-on-57th-chicago?osq=medici+coffee,Stop following Lauren-ashley B.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,9/29/2018,1 check-in,[object Object],"The space is really nice. The girl at the front desk really wasn't all that welcoming. We got a table upstairs which also has a patio for nice days. It's cozy upstairs. Me and my cousin shared a barbecue pizza and a garbage burger. The pizza looked really good but could have used more barbecue sauce and seasoning, it was lacking flavor but it was better than the burger even though it was a little dry. The garbage burger came with pickles even though I said no pickles. I'm not sure what kind of bun they used but it was stiff and cold, I ended up eating the burger with the lettuce instead of he bread. Again the burger didn't have any flavor so this place was definitely underwhelming.",https://s3-media2.fl.yelpcdn.com/bphoto/XJyiBU8PolILCRxHNlCNsA/168s.jpg,https://www.yelp.com/biz_photos/medici-on-57th-chicago?reviewid=WeVzInTU44Aa6rBbCSnNJg&select=XJyiBU8PolILCRxHNlCNsA,voted for this review,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=Zx87qmviYtwDOyBJah213g&flag_id=WeVzInTU44Aa6rBbCSnNJg&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmedici-on-57th-chicago%3Fosq%3Dmedici%2Bcoffee,Report review,Elite ’18,https://www.yelp.com/elite,marvin w.,javascript:;,1
https://www.yelp.com/user_details?userid=TvnHLHSTuL0fL1W4sfpbaA,https://s3-media1.fl.yelpcdn.com/photo/4aSEsSufPEx317pp3M-ErQ/60s.jpg,Talibah M.,"Chicago, IL",friends,8,reviews,61,photos,[object Object],12,https://www.yelp.com/biz_share/Zx87qmviYtwDOyBJah213g/review/rGBEbtWoIKGEAxWtSIPrJg,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=rGBEbtWoIKGEAxWtSIPrJg&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmedici-on-57th-chicago%3Fosq%3Dmedici%2Bcoffee&user_id=TvnHLHSTuL0fL1W4sfpbaA,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=TvnHLHSTuL0fL1W4sfpbaA&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmedici-on-57th-chicago%3Fosq%3Dmedici%2Bcoffee,Send message,https://www.yelp.com/following_user/add?dst_user_id=TvnHLHSTuL0fL1W4sfpbaA&previous_url=https://www.yelp.com/biz/medici-on-57th-chicago?osq=medici+coffee,Follow Talibah M.,https://www.yelp.com/following_user/remove?dst_user_id=TvnHLHSTuL0fL1W4sfpbaA&previous_url=https://www.yelp.com/biz/medici-on-57th-chicago?osq=medici+coffee,Stop following Talibah M.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,11/12/2018,,,"I can't believe I haven't written a review about my beloved bakery! I have been going here since middle school. Back then I fell in love with their chocolate croissants and they're still yummy to this day. I really enjoy their coffee (hot and iced), and the Americanos. I also appreciate that they offer soy milk at no extra charge. Best of all of you buy 10 coffees and bring in the sleeves you get a free drink. Sitting is limited unless it's summer when they have outdoor seating.",,,Was this review …?,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=Zx87qmviYtwDOyBJah213g&flag_id=rGBEbtWoIKGEAxWtSIPrJg&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmedici-on-57th-chicago%3Fosq%3Dmedici%2Bcoffee,Report review,Elite ’18,https://www.yelp.com/elite,,,
https://www.yelp.com/user_details?userid=PA4sKEXpXxWb5NXGZ7JTtg,https://s3-media4.fl.yelpcdn.com/photo/zXSsl6hLFfKHXMzipaGA9g/60s.jpg,Rosy L.,"Chicago, IL",friends,281,reviews,93,photos,[object Object],240,https://www.yelp.com/biz_share/Zx87qmviYtwDOyBJah213g/review/q81e3V1cQUL1VK6j3TVLFw,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=q81e3V1cQUL1VK6j3TVLFw&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmedici-on-57th-chicago%3Fosq%3Dmedici%2Bcoffee&user_id=PA4sKEXpXxWb5NXGZ7JTtg,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=PA4sKEXpXxWb5NXGZ7JTtg&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmedici-on-57th-chicago%3Fosq%3Dmedici%2Bcoffee,Send message,https://www.yelp.com/following_user/add?dst_user_id=PA4sKEXpXxWb5NXGZ7JTtg&previous_url=https://www.yelp.com/biz/medici-on-57th-chicago?osq=medici+coffee,Follow Rosy L.,https://www.yelp.com/following_user/remove?dst_user_id=PA4sKEXpXxWb5NXGZ7JTtg&previous_url=https://www.yelp.com/biz/medici-on-57th-chicago?osq=medici+coffee,Stop following Rosy L.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,8/30/2018,2 check-ins,[object Object],"Fell in love after we ordered some pizza from here for a group event. Decided to come to the actual location and wasn't disappointed either! Definitely a good place to check out if you're in Hyde Park.They have a smaller take-out only cafe-type location that is just a few doors down from the restaurant. I love the super rustic feel of the place. They have these wooden booths and exposed brick walls which both gave a very loft-like cozy feel to the restaurant. Really gives the place a nice charm, which really matters to me! There are a lot of families here and students as well which gives the place a nice buzz. I dislike going into a super empty restaurant. For two, we ordered a calamari appetizer and two personal sized pizzas, which was just enough food. I absolutely love their margherita pizza. We also got the roasted veggie pizza which was pretty delicious as well. I've also tried the BBQ chicken pizza and the garbage pizza and those are yummy too! I'm not a big fan of goat cheese, but my friends have told me they like that one too. Basically, you can't really go wrong with the pizza here. The bathroom situation is confusing! It's one door that leads to another room with a sink and separate men and ladies rooms on the side. I was hesitant to walk in out of fear that I would be walking in on someone or going into the wrong one but do not worry!",https://s3-media1.fl.yelpcdn.com/bphoto/u_9QVgtPe9GyepVTHmMvQA/348s.jpg,https://www.yelp.com/biz_photos/medici-on-57th-chicago?reviewid=q81e3V1cQUL1VK6j3TVLFw&select=u_9QVgtPe9GyepVTHmMvQA,voted for this review,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=Zx87qmviYtwDOyBJah213g&flag_id=q81e3V1cQUL1VK6j3TVLFw&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmedici-on-57th-chicago%3Fosq%3Dmedici%2Bcoffee,Report review,Elite ’18,https://www.yelp.com/elite,Hannah L.,javascript:;,1
https://www.yelp.com/user_details?userid=V99cDkalColVq5ty34GTVg,https://s3-media3.fl.yelpcdn.com/photo/LolGJC88xtfRE-qzNh8PvQ/60s.jpg,Juhi G.,"San Francisco, CA",friends,105,reviews,20,photos,[object Object],26,https://www.yelp.com/biz_share/Zx87qmviYtwDOyBJah213g/review/UUKlLEP6QM_odCya_mUm6Q,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=UUKlLEP6QM_odCya_mUm6Q&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmedici-on-57th-chicago%3Fosq%3Dmedici%2Bcoffee&user_id=V99cDkalColVq5ty34GTVg,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=V99cDkalColVq5ty34GTVg&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmedici-on-57th-chicago%3Fosq%3Dmedici%2Bcoffee,Send message,https://www.yelp.com/following_user/add?dst_user_id=V99cDkalColVq5ty34GTVg&previous_url=https://www.yelp.com/biz/medici-on-57th-chicago?osq=medici+coffee,Follow Juhi G.,https://www.yelp.com/following_user/remove?dst_user_id=V99cDkalColVq5ty34GTVg&previous_url=https://www.yelp.com/biz/medici-on-57th-chicago?osq=medici+coffee,Stop following Juhi G.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,11/10/2018,,,"Ugh. I so don't like the Med. People love to say it's a Hyde Park institution, but honestly, the food is so mediocre. I will say the Med Deli is pretty good for a quick sandwich to and from campus, but the sit-down options at the Med are just so bleh. The grilled cheese, the quesadillas, pizza, etc. are just fine, and they end up being kind of expensive with tip and tax (easily a $15 meal.) I always say I'd rather spend the extra few dollars and get some pasta/pizza from Nella. The milkshakes are good though, if you want a sugar bomb to treat yourself, and the patio upstairs in the summer is really a nice space.",,,Was this review …?,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=Zx87qmviYtwDOyBJah213g&flag_id=UUKlLEP6QM_odCya_mUm6Q&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmedici-on-57th-chicago%3Fosq%3Dmedici%2Bcoffee,Report review,,,,,
https://www.yelp.com/user_details?userid=z5weLTz3AyHmGSkzGSVT7g,https://s3-media2.fl.yelpcdn.com/photo/vSpAxHdmyZqzaCAvyL6M5w/60s.jpg,Swan L.,"San Diego, CA",friends,145,reviews,296,photos,[object Object],811,https://www.yelp.com/biz_share/Zx87qmviYtwDOyBJah213g/review/E3NFSD-GpLeVOxRgHinG7Q,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=E3NFSD-GpLeVOxRgHinG7Q&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmedici-on-57th-chicago%3Fosq%3Dmedici%2Bcoffee&user_id=z5weLTz3AyHmGSkzGSVT7g,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=z5weLTz3AyHmGSkzGSVT7g&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmedici-on-57th-chicago%3Fosq%3Dmedici%2Bcoffee,Send message,https://www.yelp.com/following_user/add?dst_user_id=z5weLTz3AyHmGSkzGSVT7g&previous_url=https://www.yelp.com/biz/medici-on-57th-chicago?osq=medici+coffee,Follow Swan L.,https://www.yelp.com/following_user/remove?dst_user_id=z5weLTz3AyHmGSkzGSVT7g&previous_url=https://www.yelp.com/biz/medici-on-57th-chicago?osq=medici+coffee,Stop following Swan L.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,5/11/2018,,,"From walking in the door to when I got up from the booth to leave, I think I  must have aged 2 years. For an off night, I am not sure why the wait was close to 30-40 minutes for a party of 2. What is most frustrating is that we were quoted 15-20 minute wait. Their patio and balcony seating were not open that night.Even after being seated, we waited for 20 minutes before our waiter even came by our table at all. When he did make his first appearance, he had the exaggerated brow-wiping-looking-super-tired-from-how-busy-it-is thing going, which frankly made it slightly more irritating since now we were almost an hour committed at this place and I was only able to sip on some water. I had heard that the thin crust pizzas were awesome, and not being a fan of the Chicago deep dish, I figured I would try the roasted veggies thin crust in personal pizza size. My sister got the Smoky Joe sandwich with fries. I will say that the portions are generous and I liked the shoe string fries on my sister's dish (but I guess who wouldn't). Otherwise, I was super disappointed that my pizza was not thin crust at all, in fact, it was super bready and felt fairly flavorless. Being fed up with our dinner experience, we went next door to their bakery to see if maybe grabbing a pastry after could salvage our impression of Medici and of course since the whole dining experience took so long, they were sold out of most things in their case, so we left empty handed.",https://s3-media1.fl.yelpcdn.com/bphoto/iZMVtp66DCgt5o_eHADt4Q/168s.jpg,https://www.yelp.com/biz_photos/medici-on-57th-chicago?reviewid=E3NFSD-GpLeVOxRgHinG7Q&select=iZMVtp66DCgt5o_eHADt4Q,voted for this review,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=Zx87qmviYtwDOyBJah213g&flag_id=E3NFSD-GpLeVOxRgHinG7Q&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmedici-on-57th-chicago%3Fosq%3Dmedici%2Bcoffee,Report review,Elite ’18,https://www.yelp.com/elite,Curry B. and 1 other,javascript:;,2
https://www.yelp.com/user_details?userid=ah9xD9bYaj2oTndjxUNFcA,https://s3-media3.fl.yelpcdn.com/photo/DrtPu7NCMkollLRUNJOyaw/60s.jpg,Nami N.,"Bellevue, WA",friends,146,reviews,344,photos,[object Object],4109,https://www.yelp.com/biz_share/Zx87qmviYtwDOyBJah213g/review/AbzGV7uaTzXjTRnu3o0Dhw,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=AbzGV7uaTzXjTRnu3o0Dhw&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmedici-on-57th-chicago%3Fosq%3Dmedici%2Bcoffee&user_id=ah9xD9bYaj2oTndjxUNFcA,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=ah9xD9bYaj2oTndjxUNFcA&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmedici-on-57th-chicago%3Fosq%3Dmedici%2Bcoffee,Send message,https://www.yelp.com/following_user/add?dst_user_id=ah9xD9bYaj2oTndjxUNFcA&previous_url=https://www.yelp.com/biz/medici-on-57th-chicago?osq=medici+coffee,Follow Nami N.,https://www.yelp.com/following_user/remove?dst_user_id=ah9xD9bYaj2oTndjxUNFcA&previous_url=https://www.yelp.com/biz/medici-on-57th-chicago?osq=medici+coffee,Stop following Nami N.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,6/5/2018,,,"We were working at 57th st Art Festival last Sat & Sun. I found here at Deliciousness MEDICI coffeehouse and Bakery and got Dirty Spicy Chai Coffee, Spinach and feta pastries, apple pastries, cinnamon rolls, chocolate chips pastries. All pastries were so yummy and rich tastes.Big chunks of apples, spinach & feta cheese pastries so delicious and all pastries are good size. Dirty spicy chai was tasty too. It was so helpful place to get any meals and close by our booth. I used restroom too. Thanks I will try some more next visit!",https://s3-media4.fl.yelpcdn.com/bphoto/g-yuXmroGZd2N_ckpWogKg/348s.jpg,https://www.yelp.com/biz_photos/medici-on-57th-chicago?reviewid=AbzGV7uaTzXjTRnu3o0Dhw&select=g-yuXmroGZd2N_ckpWogKg,voted for this review,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=Zx87qmviYtwDOyBJah213g&flag_id=AbzGV7uaTzXjTRnu3o0Dhw&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmedici-on-57th-chicago%3Fosq%3Dmedici%2Bcoffee,Report review,Elite ’18,https://www.yelp.com/elite,Michael S.,javascript:;,
https://www.yelp.com/user_details?userid=hQnjE5ACXjrquVkI_XVe4A,https://s3-media4.fl.yelpcdn.com/photo/6NBqvvxNB-t5ZGPIV-_K1Q/60s.jpg,Helene S.,"Southwest Houston, Bellaire, TX",friends,20,reviews,197,photos,[object Object],520,https://www.yelp.com/biz_share/Zx87qmviYtwDOyBJah213g/review/wlNpEUmXUPab8tloVB8bLQ,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=wlNpEUmXUPab8tloVB8bLQ&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmedici-on-57th-chicago%3Fosq%3Dmedici%2Bcoffee&user_id=hQnjE5ACXjrquVkI_XVe4A,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=hQnjE5ACXjrquVkI_XVe4A&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmedici-on-57th-chicago%3Fosq%3Dmedici%2Bcoffee,Send message,https://www.yelp.com/following_user/add?dst_user_id=hQnjE5ACXjrquVkI_XVe4A&previous_url=https://www.yelp.com/biz/medici-on-57th-chicago?osq=medici+coffee,Follow Helene S.,https://www.yelp.com/following_user/remove?dst_user_id=hQnjE5ACXjrquVkI_XVe4A&previous_url=https://www.yelp.com/biz/medici-on-57th-chicago?osq=medici+coffee,Stop following Helene S.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,8/12/2018,1 check-in,[object Object],"Nice place for Saturday brunch near the Museum of Science and Industry and U Chicago. Choose either from the walk up bakery or the sit down restaurant next door. Brunch options that we tried included the smoked salmon omelet, breakfast burrito and the huevos rancheros. Service was great . Walked to the bakery next door and it looked great as well.",https://s3-media3.fl.yelpcdn.com/bphoto/GPBFysNPWsNiZXwdukgI2w/348s.jpg,https://www.yelp.com/biz_photos/medici-on-57th-chicago?reviewid=wlNpEUmXUPab8tloVB8bLQ&select=GPBFysNPWsNiZXwdukgI2w,Was this review …?,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=Zx87qmviYtwDOyBJah213g&flag_id=wlNpEUmXUPab8tloVB8bLQ&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmedici-on-57th-chicago%3Fosq%3Dmedici%2Bcoffee,Report review,Elite ’18,https://www.yelp.com/elite,,,
