X,Y,X,Y,wkt_geom,insert_tim,id,license_id,account_nu,site_numbe,legal_name,doing_busi,address,city,state,zip_code,license_co,license_de,license_nu,applicatio,applicat_1,applicat_2,payment_da,conditiona,license_st,expiration,license_ap,date_issue,license__1,license__2,ssa,latitude,longitude,location,geom_3435,time_updat,time_creat,gid,business_a,business_1
-87.65638237,41.67756555,-87.656382370000003,41.677565549999997,Point (-87.65638236899999924 41.67756554999999707),00:40.3,2333429-20150616,2333429,390560,1,BALLROOM EVENTS AND ENTERTAINMENT INCORPORATED,LEGACY CAFE AND SUPPER CLUB,11901 S LOOMIS ST 1ST,CHICAGO,IL,,1006,Retail Food Establishment,2333429,ISSUE,,,9/4/14,N,6/16/15,7/15/17,6/16/15,6/16/15,AAI,,,41.677565549999997,-87.656382370000003,,"SRID=3435;POINT(1169180.37461033 1825823.38983247)",05:38.0,05:38.0,35221,Preparation of Food and Dining on Premise With Seating,735
-87.68095185,41.68060278,-87.680951850000000,41.680602780000001,Point (-87.68095184899999595 41.68060277699999716),00:51.8,2288853-20151016,2422445,385108,1,Craft It cafe,Craft It Cafe,11708 S WESTERN AVE 1ST 10 & 11,CHICAGO,IL,60643,1010,Limited Business License,2288853,RENEW,,,8/30/16,N,10/16/15,10/15/17,8/30/16,8/31/16,AAI,,,41.680602780000001,-87.680951850000000,,"SRID=3435;POINT(1162460.03647472 1826878.33705442)",56:18.0,56:18.0,875844,Retail Sales of General Merchandise,904
-87.60851865,41.69066951,-87.608518649999993,41.690669509999999,Point (-87.60851865099999713 41.69066950700000262),00:44.1,2428313-20151002,2428313,401514,1,The Pullman Cafe LLC,The Pullman Cafe,11208 S ST LAWRENCE AVE 1ST,CHICAGO,IL,60628,1006,Retail Food Establishment,2428313,ISSUE,,,9/26/15,N,10/2/15,10/15/17,10/2/15,10/2/15,AAI,,,41.690669509999999,-87.608518649999993,,"SRID=3435;POINT(1182215.75626937 1830704.66505558)",13:10.0,13:10.0,527461,Sale of Food Prepared Onsite With Dining Area,781
-87.70472545,41.69139894,-87.704725449999998,41.691398939999999,Point (-87.70472545399999831 41.6913989359999988),01:02.5,2422918-20150930,2422918,400700,1,"MAGIC CAFE & GRILL, INC.","MAGIC CAFE & GRILL, INC.",3335 W 111TH ST GROUND,CHICAGO,IL,60655,1006,Retail Food Establishment,2422918,ISSUE,,,9/21/15,N,9/30/15,10/15/17,9/30/15,9/30/15,AAI,,,41.691398939999999,-87.704725449999998,,"SRID=3435;POINT(1155937.10139051 1830764.03303029)",16:32.0,16:32.0,347488,Sale of Food Prepared Onsite With Dining Area,781
-87.67053217,41.70645424,-87.670532170000001,41.706454239999999,Point (-87.67053217299999801 41.70645424300000315),48:28.0,1740805-20170416,2513189,63414,117,STARBUCKS CORPORATION,STARBUCKS COFFEE #10905,1933 W 103RD ST,CHICAGO,IL,60643,1006,Retail Food Establishment,1740805,RENEW,,,3/31/17,N,4/16/17,4/15/19,3/31/17,4/5/17,AAI,,,41.706454239999999,-87.670532170000001,,"SRID=3435;POINT(1165233.89346496 1836320.00385925)",58:58.0,58:58.0,972083,Retail Sales of Perishable Foods,775
-87.71131772,41.70748086,-87.711317719999997,41.707480859999997,Point (-87.71131771500000696 41.70748085799999672),00:33.9,2464644-20160531,2464644,406287,2,"COUNTRY HOUSE KITCHEN COMPANY, INC.",STARBUCKS,10210 S CENTRAL PARK AVE 1ST,CHICAGO,IL,60655,1006,Retail Food Establishment,2464644,ISSUE,,,5/9/16,N,5/31/16,6/15/18,5/27/16,5/31/16,AAI,,,41.707480859999997,-87.711317719999997,,"SRID=3435;POINT(1154094.27491003 1836611.00926058)",12:52.0,12:52.0,866769,Sale of Food Prepared Onsite With Dining Area,781
-87.68196971,41.71301334,-87.681969710000004,41.713013340000003,Point (-87.68196971000000417 41.71301333600000305),00:11.0,2516547-20170301,2516547,414016,1,Ain't She Sweet Cafe Beverly LLC,Ain't She Sweet Cafe Beverly,9920 S WESTERN AVE  A,CHICAGO,IL,60643,1006,Retail Food Establishment,2516547,ISSUE,,,2/15/17,N,3/1/17,3/15/19,2/28/17,3/1/17,AAI,,,41.713013340000003,-87.681969710000004,,"SRID=3435;POINT(1162092.67463043 1838686.22862659)",57:22.0,57:22.0,949470,Sale of Food Prepared Onsite With Dining Area,781
-87.68211285,41.72723625,-87.682112849999996,41.727236249999997,Point (-87.68211285300000668 41.72723624599999681),00:24.7,2437928-20151215,2437928,402933,1,"BRIDGEPORT COFFEE BEVERLY, LLC",BRIDGEPORT COFFEE,9135-9137 S WESTERN AVE 1ST,CHICAGO,IL,60643,1006,Retail Food Establishment,2437928,ISSUE,,,12/8/15,N,12/15/15,12/15/17,12/14/15,12/15/15,AAI,,,41.727236249999997,-87.682112849999996,,"SRID=3435;POINT(1162014.388771 1843868.6012384)",11:10.0,11:10.0,856685,Sale of Food Prepared Onsite With Dining Area,781
-87.5518726,41.735442,-87.551872599999996,41.735441999999999,Point (-87.55187260300000673 41.73544200199999921),00:43.8,2496916-20161117,2496916,410691,1,CARLOS NEPOMUCENO,DULCE'S CAFE,2957 E 88TH ST 1ST,CHICAGO,IL,60617,1010,Limited Business License,2496916,ISSUE,,,11/17/16,N,11/17/16,12/15/18,11/17/16,11/17/16,AAI,,,41.735441999999999,-87.551872599999996,,"SRID=3435;POINT(1197539.30327046 1847154.56339056)",54:18.0,54:18.0,883232,Retail Sales of General Merchandise and Non-Perishable Food,767
-87.62906472,41.7362617,-87.629064720000002,41.736261700000000,Point (-87.62906471600000202 41.73626169900000349),10:03.4,50696-20161216,2493583,17346,2,CONLEY E SHIRLEY SENIOR,NORTHSTAR COFFEE,200-232 W 87TH ST 1ST,CHICAGO,IL,60620,1006,Retail Food Establishment,50696,RENEW,,,12/22/16,N,12/16/16,12/15/18,12/22/16,3/9/17,AAI,,,41.736261700000000,-87.629064720000002,,"SRID=3435;POINT(1176468.16989546 1847271.39906598)",00:26.0,00:26.0,956327,Retail Sales of Perishable Foods,775
-87.62864522,41.73633471,-87.628645219999996,41.736334710000001,Point (-87.62864522200000295 41.73633471299999798),48:28.0,2093910-20170416,2513209,63414,153,STARBUCKS CORPORATION,STARBUCKS COFFEE #9942,160 W 87TH ST 1 1,CHICAGO,IL,60620,1006,Retail Food Establishment,2093910,RENEW,,,3/31/17,N,4/16/17,4/15/19,3/31/17,4/5/17,AAI,,,41.736334710000001,-87.628645219999996,,"SRID=3435;POINT(1176582.44648704 1847298.94185247)",58:58.0,58:58.0,972048,Retail Sales of Perishable Foods,775
-87.58294663,41.73684227,-87.582946629999995,41.736842269999997,Point (-87.58294662599999469 41.7368422699999968),35:19.2,7545-20160716,2465068,3856,1,S & K INC,THOMAS COFFEE SHOP,1657 E 87TH ST,CHICAGO,IL,60617,1006,Retail Food Establishment,7545,RENEW,,,6/14/16,N,7/16/16,7/15/18,6/14/16,6/15/16,AAI,,,41.736842269999997,-87.582946629999995,,"SRID=3435;POINT(1189053.55624685 1847589.32919705)",07:22.0,07:22.0,869885,Retail Sales of Perishable Foods,775
-87.62295537,41.74356768,-87.622955370000000,41.743567679999998,Point (-87.62295536599999934 41.74356767999999818),01:39.7,1800583-20150916,2415603,312829,3,MATHER LIFEWAYS COMMUNITY INITIATIVES,MATHER'S MORE THAN A CAFE,33 E 83RD ST 1ST,CHICAGO,IL,60619,1006,Retail Food Establishment,1800583,RENEW,,,7/31/15,N,9/16/15,9/15/17,8/3/15,8/4/15,AAI,,,41.743567679999998,-87.622955370000000,,"SRID=3435;POINT(1178113.64728973 1849947.33325748)",16:51.0,16:51.0,807616,Retail Sales of Perishable Foods,775
-87.62048291,41.75091157,-87.620482910000007,41.750911570000000,Point (-87.62048290699999598 41.75091157300000333),00:26.0,2298339-20151216,2431422,386503,1,"JUST JERK CAFE, INC.",JUST JERK CAFE,119 E 79TH ST 1ST,CHICAGO,IL,60619,1006,Retail Food Establishment,2298339,RENEW,,,1/7/16,N,12/16/15,12/15/17,1/7/16,1/20/16,AAI,,,41.750911570000000,-87.620482910000007,,"SRID=3435;POINT(1178766.22057404 1852628.96151263)",06:11.0,06:11.0,174987,Sale of Food Prepared Onsite With Dining Area,781
-87.74138476,41.75466012,-87.741384760000003,41.754660119999997,Point (-87.74138475899999889 41.75466012399999727),00:21.3,2432617-20151119,2432617,402266,1,MONTIVA CAFE INC.,MONTIVA CAFE,7601 S CICERO AVE 1ST 1282,CHICAGO,IL,60652,1006,Retail Food Establishment,2432617,ISSUE,,,11/6/15,N,11/19/15,12/15/17,11/18/15,11/19/15,AAI,,,41.754660119999997,-87.741384760000003,,"SRID=3435;POINT(1145766.06240404 1853744.74336622)",05:17.0,05:17.0,853376,Sale of Food Prepared Onsite With Dining Area,781
-87.56473939,41.76450917,-87.564739390000000,41.764509169999997,Point (-87.564739392000007 41.76450917300000043),00:23.6,2108057-20151016,2431717,364343,1,SARA LOUISE PHILLIPS,CHEF SARA'S CAFE,7201 S EXCHANGE AVE 1 1,CHICAGO,IL,60649,1006,Retail Food Establishment,2108057,RENEW,,,10/16/15,N,10/16/15,10/15/17,10/16/15,10/16/15,AAI,,,41.764509169999997,-87.564739390000000,,"SRID=3435;POINT(1193932.84303841 1857714.77372071)",13:22.0,13:22.0,796630,Retail Sales of Perishable Foods,775
