js-analytics-click href,photo-box-img src,user-display-name,user-location,friend-count,friend-count 2,review-count,review-count 2,photo-count,icon_svg href 3,photo-count 2,is-elite,is-elite href,arrange href,icon_svg href 4,action-link_label,arrange href 2,action-link_label 2,arrange href 3,action-link_label 3,arrange href 4,action-link_label 4,arrange href 5,action-link_label 5,arrange href 6,action-link_label 6,offscreen src,rating-qualifier,review-tags_item,icon_svg href 11,review-content,voting-intro,js-review-feedback-voter-list,js-review-feedback-voter-list href,vote-type,count,vote-type 2,vote-type 3,u-space-b3,u-space-b3 src,u-space-b2,ybtn,js-maybe-later-button,chiclet-link href,tooltip,photo-box-img src 2,biz-shim href,count 5,count 6
https://www.yelp.com/user_details?userid=8q6vJuhgs4e8jf5FkSMybA,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,Jin L.,"Manhattan, New York, NY",friends,0,review,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.yelp.com/user_details?userid=FPggU_u2Es0YOTNM_8Xucg,https://s3-media1.fl.yelpcdn.com/photo/aTWAWPuhF1r04PLzsFp8YQ/60s.jpg,Ari L.,"Chicago, IL",friends,154,reviews,491,photos,[object Object],144,Elite ’18,https://www.yelp.com/elite,https://www.yelp.com/biz_share/rYc8maCCT-zleaQdEBKweA/review/ySY-jXwyYeRHZTP8c0nktg,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=ySY-jXwyYeRHZTP8c0nktg&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgaslight-coffee-roasters-chicago%3Fosq%3DGaslight%2BCoffee%2BRoasters&user_id=FPggU_u2Es0YOTNM_8Xucg,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=FPggU_u2Es0YOTNM_8Xucg&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgaslight-coffee-roasters-chicago%3Fosq%3DGaslight%2BCoffee%2BRoasters,Send message,https://www.yelp.com/following_user/add?dst_user_id=FPggU_u2Es0YOTNM_8Xucg&previous_url=https://www.yelp.com/biz/gaslight-coffee-roasters-chicago?osq=Gaslight+Coffee+Roasters,Follow Ari L.,https://www.yelp.com/following_user/remove?dst_user_id=FPggU_u2Es0YOTNM_8Xucg&previous_url=https://www.yelp.com/biz/gaslight-coffee-roasters-chicago?osq=Gaslight+Coffee+Roasters,Stop following Ari L.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,10/21/2018,13 check-ins,[object Object],"So I live relatively close now, and an update is due.  While it's still fairly difficult to get a seat, I dig this spot.  The coffee is good, the food is good (better options then most shops), and they recently upgraded many of their tables and chairs.  Internet never seems to be an issue here, and the staff has grown on me (for the most part).  They also finally added some curtains so if you are sitting by the windows in the afternoon you aren't constantly blinded.I give them 4.5 stars (subtracting a 1/2 star for the bathrooms which could use a little updating).  Bonus for the free espresso shot when you buy one of their bags of coffee.  That should be standard everywhere.",voted for this review,Thomas G.,javascript:;,Useful,1,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=rYc8maCCT-zleaQdEBKweA&flag_id=ySY-jXwyYeRHZTP8c0nktg&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgaslight-coffee-roasters-chicago%3Fosq%3DGaslight%2BCoffee%2BRoasters,Report review,,,,
https://www.yelp.com/user_details?userid=NgX3VB3Y-9K2j_jfeoAxIQ,https://s3-media2.fl.yelpcdn.com/photo/mMCmCKyj7Ky6G1QOCMb4UA/60s.jpg,Roasted Unroasted C.,"Chicago, IL",friend,1,reviews,35,photos,[object Object],44,,,https://www.yelp.com/biz_share/rYc8maCCT-zleaQdEBKweA/review/HWt_dwp0zGKtpAFpX5yi2g,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=HWt_dwp0zGKtpAFpX5yi2g&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgaslight-coffee-roasters-chicago%3Fosq%3DGaslight%2BCoffee%2BRoasters&user_id=NgX3VB3Y-9K2j_jfeoAxIQ,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=NgX3VB3Y-9K2j_jfeoAxIQ&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgaslight-coffee-roasters-chicago%3Fosq%3DGaslight%2BCoffee%2BRoasters,Send message,https://www.yelp.com/following_user/add?dst_user_id=NgX3VB3Y-9K2j_jfeoAxIQ&previous_url=https://www.yelp.com/biz/gaslight-coffee-roasters-chicago?osq=Gaslight+Coffee+Roasters,Follow Roasted Unroasted C.,https://www.yelp.com/following_user/remove?dst_user_id=NgX3VB3Y-9K2j_jfeoAxIQ&previous_url=https://www.yelp.com/biz/gaslight-coffee-roasters-chicago?osq=Gaslight+Coffee+Roasters,Stop following Roasted Unroasted C.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,10/21/2018,,,Roasted: came here because I couldn't drink the coffee at the last place and was really hoping for a better experience. This is a quiet cafe in Logan square - kind of reminds me of a 50's diner converted into a coffee shop. They don't offer any sugar free options which is common among the third wave shops. The latte was not good. The espresso was bitter - I struggled to drink the latte and sadly didn't enjoy it. My latte art was sad - I appreciate the attempt but didn't get even a flower. Nice to have for here mugs. Has to put Splenda in my latte but that still didn't make it enjoyable. They used Guatemala for their daily espresso which could be partly why I didn't enjoy it. Unroasted:  okay let's try this again.   Walking in it looks and feels like your pops den.    The staff was friendly but counting down the minutes to get out of here.    Love the 50s diner style coffee bar.    The art was decent and appreciate the effort.    Coffee was too bitter for me had to add sugar.,voted for this review,Thomas G.,javascript:;,Useful,1,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=rYc8maCCT-zleaQdEBKweA&flag_id=HWt_dwp0zGKtpAFpX5yi2g&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgaslight-coffee-roasters-chicago%3Fosq%3DGaslight%2BCoffee%2BRoasters,Report review,https://s3-media4.fl.yelpcdn.com/bphoto/P7ogzcNu8Z7nPnnqB-dtRg/348s.jpg,https://www.yelp.com/biz_photos/gaslight-coffee-roasters-chicago?reviewid=HWt_dwp0zGKtpAFpX5yi2g&select=P7ogzcNu8Z7nPnnqB-dtRg,1,
https://www.yelp.com/user_details?userid=EnkK5TfLM8-KErN0R2gTHQ,https://s3-media4.fl.yelpcdn.com/photo/2akg3tgwUiAWVQbRtZftFA/60s.jpg,Georges B.,"Chicago, IL",friends,8,reviews,32,photos,[object Object],14,,,https://www.yelp.com/biz_share/rYc8maCCT-zleaQdEBKweA/review/AeKFn67AnLgE8SzV2tgDOw,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=AeKFn67AnLgE8SzV2tgDOw&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgaslight-coffee-roasters-chicago%3Fosq%3DGaslight%2BCoffee%2BRoasters&user_id=EnkK5TfLM8-KErN0R2gTHQ,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=EnkK5TfLM8-KErN0R2gTHQ&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgaslight-coffee-roasters-chicago%3Fosq%3DGaslight%2BCoffee%2BRoasters,Send message,https://www.yelp.com/following_user/add?dst_user_id=EnkK5TfLM8-KErN0R2gTHQ&previous_url=https://www.yelp.com/biz/gaslight-coffee-roasters-chicago?osq=Gaslight+Coffee+Roasters,Follow Georges B.,https://www.yelp.com/following_user/remove?dst_user_id=EnkK5TfLM8-KErN0R2gTHQ&previous_url=https://www.yelp.com/biz/gaslight-coffee-roasters-chicago?osq=Gaslight+Coffee+Roasters,Stop following Georges B.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,8/30/2018,,,"Gaslight - the coffee shop designed for the everyday poet! I'm not kidding, this is probably the only coffee shop in chicago where you feel like you just want to write the book you always wanted to write. That's what their coffee will do to you - it'll make you creative with tons of inspiration flowing in your brain as you slowly drink their delicious coffee.The scenery is also very inviting and the staff are very kind and helpful. If you do come here, I strongly suggest you start with their latte. I've chosen to call it: the cheerful poet! Because you always feel like writing something cheerful as you drink it. :)",voted for this review,Thomas G. and 3 others,javascript:;,Useful,2,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=rYc8maCCT-zleaQdEBKweA&flag_id=AeKFn67AnLgE8SzV2tgDOw&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgaslight-coffee-roasters-chicago%3Fosq%3DGaslight%2BCoffee%2BRoasters,Report review,https://s3-media1.fl.yelpcdn.com/bphoto/bO_qbeVvy0UtBtUpGqs4EA/348s.jpg,https://www.yelp.com/biz_photos/gaslight-coffee-roasters-chicago?reviewid=AeKFn67AnLgE8SzV2tgDOw&select=bO_qbeVvy0UtBtUpGqs4EA,2,
https://www.yelp.com/user_details?userid=9-_CPbm4FizEGsCKpMmatQ,https://s3-media2.fl.yelpcdn.com/photo/fiz3jMwWoE570rglNplMzA/60s.jpg,Caroline D.,"Brooklyn, NY",friends,653,reviews,428,photos,[object Object],26,Elite ’18,https://www.yelp.com/elite,https://www.yelp.com/biz_share/rYc8maCCT-zleaQdEBKweA/review/lv88Qfo0JGGWVnPhIBtBaA,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=lv88Qfo0JGGWVnPhIBtBaA&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgaslight-coffee-roasters-chicago%3Fosq%3DGaslight%2BCoffee%2BRoasters&user_id=9-_CPbm4FizEGsCKpMmatQ,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=9-_CPbm4FizEGsCKpMmatQ&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgaslight-coffee-roasters-chicago%3Fosq%3DGaslight%2BCoffee%2BRoasters,Send message,https://www.yelp.com/following_user/add?dst_user_id=9-_CPbm4FizEGsCKpMmatQ&previous_url=https://www.yelp.com/biz/gaslight-coffee-roasters-chicago?osq=Gaslight+Coffee+Roasters,Follow Caroline D.,https://www.yelp.com/following_user/remove?dst_user_id=9-_CPbm4FizEGsCKpMmatQ&previous_url=https://www.yelp.com/biz/gaslight-coffee-roasters-chicago?osq=Gaslight+Coffee+Roasters,Stop following Caroline D.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,8/7/2018,1 check-in,[object Object],"It's good coffee but it's a little bit overpriced. We're in Logan Square, what can I say, if ya can't beat em, join em. The coffee is just well prepared at Gaslight, right down to the soda-water accompaniment.I've had many almond milk lattes and double espressos from here, and the water is the right temperature, and the milk is perfectly frothed (almond milk is notoriously difficult to froth amiright?).Just check it out and if you don't like it you don't have to come back. But they care, and so so I.",voted for this review,Ashley L. and 1 other,javascript:;,Useful,2,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=rYc8maCCT-zleaQdEBKweA&flag_id=lv88Qfo0JGGWVnPhIBtBaA&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgaslight-coffee-roasters-chicago%3Fosq%3DGaslight%2BCoffee%2BRoasters,Report review,,,,
https://www.yelp.com/user_details?userid=6CLvB_usC7tT7fAWk2jTTA,https://s3-media3.fl.yelpcdn.com/photo/v5GJ4d5hj34uW60lGrrfEw/60s.jpg,Zach M.,"Naperville, IL",friends,7,reviews,11,photo,[object Object],1,,,https://www.yelp.com/biz_share/rYc8maCCT-zleaQdEBKweA/review/k230khfgjegq9J6tTusC9w,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=k230khfgjegq9J6tTusC9w&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgaslight-coffee-roasters-chicago%3Fosq%3DGaslight%2BCoffee%2BRoasters&user_id=6CLvB_usC7tT7fAWk2jTTA,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=6CLvB_usC7tT7fAWk2jTTA&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgaslight-coffee-roasters-chicago%3Fosq%3DGaslight%2BCoffee%2BRoasters,Send message,https://www.yelp.com/following_user/add?dst_user_id=6CLvB_usC7tT7fAWk2jTTA&previous_url=https://www.yelp.com/biz/gaslight-coffee-roasters-chicago?osq=Gaslight+Coffee+Roasters,Follow Zach M.,https://www.yelp.com/following_user/remove?dst_user_id=6CLvB_usC7tT7fAWk2jTTA&previous_url=https://www.yelp.com/biz/gaslight-coffee-roasters-chicago?osq=Gaslight+Coffee+Roasters,Stop following Zach M.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,7/15/2018,1 check-in,[object Object],"Hands down one of my favorite coffee shops, ever. The baristas know their stuff, make a good cup of coffee, and are so nice. The decor is super cool too. It's a good place to get work done, read a book, or just people watch. They have a limited food menu, but it's all good! I recommend anything on it. If you're in the area, stop in, get an Americano, and enjoy what this shop has to offer.",voted for this review,Roxy A. and 1 other,javascript:;,Useful,2,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=rYc8maCCT-zleaQdEBKweA&flag_id=k230khfgjegq9J6tTusC9w&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgaslight-coffee-roasters-chicago%3Fosq%3DGaslight%2BCoffee%2BRoasters,Report review,https://s3-media3.fl.yelpcdn.com/bphoto/OWlcmmXDEu-hiPbS_fCmvA/348s.jpg,https://www.yelp.com/biz_photos/gaslight-coffee-roasters-chicago?reviewid=k230khfgjegq9J6tTusC9w&select=OWlcmmXDEu-hiPbS_fCmvA,2,
https://www.yelp.com/user_details?userid=ufPRCExSgxFzc-kQh3Ch3Q,https://s3-media2.fl.yelpcdn.com/photo/n0ip8Kt3RbNtVjzRzByQpw/60s.jpg,Ellie D.,"Chicago, IL",friends,3,reviews,4,photo,[object Object],1,,,https://www.yelp.com/biz_share/rYc8maCCT-zleaQdEBKweA/review/4_JeUPxP-nyFKPQqHOvMqg,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=4_JeUPxP-nyFKPQqHOvMqg&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgaslight-coffee-roasters-chicago%3Fosq%3DGaslight%2BCoffee%2BRoasters&user_id=ufPRCExSgxFzc-kQh3Ch3Q,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=ufPRCExSgxFzc-kQh3Ch3Q&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgaslight-coffee-roasters-chicago%3Fosq%3DGaslight%2BCoffee%2BRoasters,Send message,https://www.yelp.com/following_user/add?dst_user_id=ufPRCExSgxFzc-kQh3Ch3Q&previous_url=https://www.yelp.com/biz/gaslight-coffee-roasters-chicago?osq=Gaslight+Coffee+Roasters,Follow Ellie D.,https://www.yelp.com/following_user/remove?dst_user_id=ufPRCExSgxFzc-kQh3Ch3Q&previous_url=https://www.yelp.com/biz/gaslight-coffee-roasters-chicago?osq=Gaslight+Coffee+Roasters,Stop following Ellie D.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,11/6/2018,,,"This is the best coffee shop in Logan Square, hands down. Great coffee, the staff is genuine and wonderful, and the kitchen is a hidden gem of delicious offerings. Anyone who shits on gaslight is either pretentious or just self consciously projecting their woes into the place. It's the best.",Was this review …?,,,Useful,,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=rYc8maCCT-zleaQdEBKweA&flag_id=4_JeUPxP-nyFKPQqHOvMqg&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgaslight-coffee-roasters-chicago%3Fosq%3DGaslight%2BCoffee%2BRoasters,Report review,,,,
https://www.yelp.com/user_details?userid=BkhqKIIQ0rVFt_2Fs8ZdDg,https://s3-media4.fl.yelpcdn.com/photo/Llo7E-IyxsDWdx9773tyvQ/60s.jpg,Rachel F.,"Chicago, IL",friends,0,reviews,5,,,,,,https://www.yelp.com/biz_share/rYc8maCCT-zleaQdEBKweA/review/He1Payfzdr7DL8Fa6P3iCg,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=He1Payfzdr7DL8Fa6P3iCg&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgaslight-coffee-roasters-chicago%3Fosq%3DGaslight%2BCoffee%2BRoasters&user_id=BkhqKIIQ0rVFt_2Fs8ZdDg,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=BkhqKIIQ0rVFt_2Fs8ZdDg&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgaslight-coffee-roasters-chicago%3Fosq%3DGaslight%2BCoffee%2BRoasters,Send message,https://www.yelp.com/following_user/add?dst_user_id=BkhqKIIQ0rVFt_2Fs8ZdDg&previous_url=https://www.yelp.com/biz/gaslight-coffee-roasters-chicago?osq=Gaslight+Coffee+Roasters,Follow Rachel F.,https://www.yelp.com/following_user/remove?dst_user_id=BkhqKIIQ0rVFt_2Fs8ZdDg&previous_url=https://www.yelp.com/biz/gaslight-coffee-roasters-chicago?osq=Gaslight+Coffee+Roasters,Stop following Rachel F.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,10/30/2018,,,"Over the years they have fine tuned a lot.  At some points their food is downright gourmet.   Sadly, they got rid of their pour-over which is one of the reasons i went there.  Also, I did have a rude an unfortunate situation with one of the owners.  Overall the place is still good, but i can't say that the people behind it are that great.",Was this review …?,,,Useful,,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=rYc8maCCT-zleaQdEBKweA&flag_id=He1Payfzdr7DL8Fa6P3iCg&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgaslight-coffee-roasters-chicago%3Fosq%3DGaslight%2BCoffee%2BRoasters,Report review,,,,
https://www.yelp.com/user_details?userid=uC-thwk0mKEpSzgjn4YBew,https://s3-media3.fl.yelpcdn.com/photo/RzApOsxIhoYd54KXW7_1NQ/60s.jpg,Alice W.,"Chicago, IL",friends,189,reviews,41,photos,[object Object],8,Elite ’18,https://www.yelp.com/elite,https://www.yelp.com/biz_share/rYc8maCCT-zleaQdEBKweA/review/ZxSgjsBtPzTyttYycDKFcg,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=ZxSgjsBtPzTyttYycDKFcg&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgaslight-coffee-roasters-chicago%3Fosq%3DGaslight%2BCoffee%2BRoasters&user_id=uC-thwk0mKEpSzgjn4YBew,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=uC-thwk0mKEpSzgjn4YBew&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgaslight-coffee-roasters-chicago%3Fosq%3DGaslight%2BCoffee%2BRoasters,Send message,https://www.yelp.com/following_user/add?dst_user_id=uC-thwk0mKEpSzgjn4YBew&previous_url=https://www.yelp.com/biz/gaslight-coffee-roasters-chicago?osq=Gaslight+Coffee+Roasters,Follow Alice W.,https://www.yelp.com/following_user/remove?dst_user_id=uC-thwk0mKEpSzgjn4YBew&previous_url=https://www.yelp.com/biz/gaslight-coffee-roasters-chicago?osq=Gaslight+Coffee+Roasters,Stop following Alice W.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,8/27/2018,1 check-in,[object Object],"Came here to get some work done after an online article recommended it. Cheap coffee, definitely hipster, and good for work if you don't need WiFi. WiFi is horrible.",voted for this review,Ari L.,javascript:;,Useful,,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=rYc8maCCT-zleaQdEBKweA&flag_id=ZxSgjsBtPzTyttYycDKFcg&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgaslight-coffee-roasters-chicago%3Fosq%3DGaslight%2BCoffee%2BRoasters,Report review,,,,1
https://www.yelp.com/user_details?userid=cx5rDT63blqGKAs-CuEOmA,https://s3-media3.fl.yelpcdn.com/photo/-ZbVEqhX2ADyT9QDOREPcA/60s.jpg,Susie Y.,"Chicago, IL",friends,247,reviews,84,photos,[object Object],48,Elite ’18,https://www.yelp.com/elite,https://www.yelp.com/biz_share/rYc8maCCT-zleaQdEBKweA/review/_wpssePSLhDnuu8uEaKOXQ,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=_wpssePSLhDnuu8uEaKOXQ&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgaslight-coffee-roasters-chicago%3Fosq%3DGaslight%2BCoffee%2BRoasters&user_id=cx5rDT63blqGKAs-CuEOmA,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=cx5rDT63blqGKAs-CuEOmA&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgaslight-coffee-roasters-chicago%3Fosq%3DGaslight%2BCoffee%2BRoasters,Send message,https://www.yelp.com/following_user/add?dst_user_id=cx5rDT63blqGKAs-CuEOmA&previous_url=https://www.yelp.com/biz/gaslight-coffee-roasters-chicago?osq=Gaslight+Coffee+Roasters,Follow Susie Y.,https://www.yelp.com/following_user/remove?dst_user_id=cx5rDT63blqGKAs-CuEOmA&previous_url=https://www.yelp.com/biz/gaslight-coffee-roasters-chicago?osq=Gaslight+Coffee+Roasters,Stop following Susie Y.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,4/9/2018,1 check-in,[object Object],"What I like about it:- Quiet atmosphere but not so quiet that if you are talking with a group of friends, you will be uncomfortable. Just be sure you're not talking super loudly and disturbing people.- Natural light (sometimes can get too bright)- OK coffee (nothing to write home about, but not bad at all)What I dislike about it:- The pastries look good, but are not actually very good. The croissant we got was not flaky but rather kind of hard and brittle. It looked like it was a little old.",voted for this review,D R. and 1 other,javascript:;,Useful,2,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=rYc8maCCT-zleaQdEBKweA&flag_id=_wpssePSLhDnuu8uEaKOXQ&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgaslight-coffee-roasters-chicago%3Fosq%3DGaslight%2BCoffee%2BRoasters,Report review,,,,
