js-analytics-click href,photo-box-img src,user-display-name,user-location,friend-count,friend-count 2,review-count,review-count 2,photo-count,icon_svg href 3,photo-count 2,arrange href,icon_svg href 4,action-link_label,arrange href 2,action-link_label 2,arrange href 3,action-link_label 3,arrange href 4,action-link_label 4,arrange href 5,action-link_label 5,arrange href 6,action-link_label 6,offscreen src,rating-qualifier,review-tags_item,icon_svg href 10,review-content,voting-intro,vote-type,vote-type 2,vote-type 3,count,u-space-b3,u-space-b3 src,u-space-b2,ybtn,js-maybe-later-button,chiclet-link href,tooltip,is-elite,is-elite href,photo-box-img src 2,count 2,count 3
https://www.yelp.com/user_details?userid=8q6vJuhgs4e8jf5FkSMybA,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,Jin L.,"Manhattan, New York, NY",friends,0,review,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.yelp.com/user_details?userid=IwvpDk2HveJtKJN5clbECA,https://s3-media2.fl.yelpcdn.com/photo/h_X0ZlAnM3bGXxzdOZeDnQ/60s.jpg,Joel S.,"Seattle, WA",friends,10,reviews,77,photos,[object Object],94,https://www.yelp.com/biz_share/juna0kp4RMJ1y6GuXcRmsA/review/8zq-1CwEEWwMHylmRVdpvw,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=8zq-1CwEEWwMHylmRVdpvw&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fintelligentsia-coffee-chicago-12&user_id=IwvpDk2HveJtKJN5clbECA,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=IwvpDk2HveJtKJN5clbECA&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fintelligentsia-coffee-chicago-12,Send message,https://www.yelp.com/following_user/add?dst_user_id=IwvpDk2HveJtKJN5clbECA&previous_url=https://www.yelp.com/biz/intelligentsia-coffee-chicago-12,Follow Joel S.,https://www.yelp.com/following_user/remove?dst_user_id=IwvpDk2HveJtKJN5clbECA&previous_url=https://www.yelp.com/biz/intelligentsia-coffee-chicago-12,Stop following Joel S.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,11/9/2018,2 check-ins,[object Object],"There's a reason why Intelligentsia is at the top of the coffee  rankings in the US, and dare I say the world. The hype is real and everyone should know it. Coffee offerings rotate depending on the season but the staples are like all the other Intelligentsia locations. Everything is freshly made, including the basic coffee. So be patient while they do a pour over. They also offer alternatives like soy and oat milk. Yes I said oat milk. The baristas are excellent now and quite friendly if you're into communicating before your caffeine. Good and quick service any time of the day. As you enter in the merch and bagged coffee is on the right before you hit the counter. The coffee offering list is posted on the wall to the right of where you place your order. Still not sure what to order? Just ask. The biggest problem about this location is seating. While there is plenty of it at the communal table and smaller tables, this location is just busy. Am I complaining? Not at all! There are outlets around the perimeter inside but sometimes snagging a seat on the wall can be difficult, especially in the mornings when everyone is going to work. Hey, we all need our fix.",voted for this review,Useful,Funny,Cool,1,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=juna0kp4RMJ1y6GuXcRmsA&flag_id=8zq-1CwEEWwMHylmRVdpvw&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fintelligentsia-coffee-chicago-12,Report review,,,,,
https://www.yelp.com/user_details?userid=kRABw7pVSMCMhCVvPz6PqA,https://s3-media2.fl.yelpcdn.com/photo/blXBDHzJn1IhWq1K357H2w/60s.jpg,Edwin V.,"Belmont Central, Chicago, IL",friends,355,reviews,47,photos,[object Object],63,https://www.yelp.com/biz_share/juna0kp4RMJ1y6GuXcRmsA/review/sDIg88Lcec2EVyqC8JCkBA,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=sDIg88Lcec2EVyqC8JCkBA&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fintelligentsia-coffee-chicago-12&user_id=kRABw7pVSMCMhCVvPz6PqA,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=kRABw7pVSMCMhCVvPz6PqA&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fintelligentsia-coffee-chicago-12,Send message,https://www.yelp.com/following_user/add?dst_user_id=kRABw7pVSMCMhCVvPz6PqA&previous_url=https://www.yelp.com/biz/intelligentsia-coffee-chicago-12,Follow Edwin V.,https://www.yelp.com/following_user/remove?dst_user_id=kRABw7pVSMCMhCVvPz6PqA&previous_url=https://www.yelp.com/biz/intelligentsia-coffee-chicago-12,Stop following Edwin V.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,10/12/2018,2 check-ins,[object Object],"Always a pleasure coming to this intelli location, it's perhaps my favorite one in the city cause it's quite spacious and love the interior.Had coffee with my friend Juan 6:30 this morning, and being here early in the morning is super chill.We both had a pour-over and I think it's worth the extra couple of bucks compared to other coffee shops. If you are a coffee connoisseour, worth every penny. Very rich and refreshing to have in the morning. Baristas were friendly, nothing to complain. Overall a great experience at one of the best coffee spots in the city!",voted for this review,Useful,Funny,Cool,,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=juna0kp4RMJ1y6GuXcRmsA&flag_id=sDIg88Lcec2EVyqC8JCkBA&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fintelligentsia-coffee-chicago-12,Report review,Elite ’18,https://www.yelp.com/elite,https://s3-media4.fl.yelpcdn.com/bphoto/uffmhfiVBrDVrCQdjcyR3w/348s.jpg,1,1
https://www.yelp.com/user_details?userid=Yj1HEd2O8koM0Bc488a23w,https://s3-media2.fl.yelpcdn.com/photo/8qBY_dKpBf43DLnQuwXnuQ/60s.jpg,Kristin S.,"Chicago, IL",friends,2,reviews,47,photos,[object Object],85,https://www.yelp.com/biz_share/juna0kp4RMJ1y6GuXcRmsA/review/Ncb5hNIg-8vGZSh6j19XVw,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=Ncb5hNIg-8vGZSh6j19XVw&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fintelligentsia-coffee-chicago-12&user_id=Yj1HEd2O8koM0Bc488a23w,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=Yj1HEd2O8koM0Bc488a23w&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fintelligentsia-coffee-chicago-12,Send message,https://www.yelp.com/following_user/add?dst_user_id=Yj1HEd2O8koM0Bc488a23w&previous_url=https://www.yelp.com/biz/intelligentsia-coffee-chicago-12,Follow Kristin S.,https://www.yelp.com/following_user/remove?dst_user_id=Yj1HEd2O8koM0Bc488a23w&previous_url=https://www.yelp.com/biz/intelligentsia-coffee-chicago-12,Stop following Kristin S.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,10/31/2018,,,"While this is a short walk from me and a cute interior, the coffee is pretty pricey and the staff is not very friendly. Gets pretty crowded during the day and minimal outlets are available.  With lots of coffee shops in the area, not my go-to spot.",Was this review …?,Useful,Funny,Cool,,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=juna0kp4RMJ1y6GuXcRmsA&flag_id=Ncb5hNIg-8vGZSh6j19XVw&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fintelligentsia-coffee-chicago-12,Report review,,,https://s3-media4.fl.yelpcdn.com/bphoto/WFV5UYH6MYh1zLgXaPD2Gg/348s.jpg,,
https://www.yelp.com/user_details?userid=dAmYq0aNl89q2EPiwy_4Qg,https://s3-media4.fl.yelpcdn.com/photo/eZ7XNa1xcKZ9KdhTJe352g/60s.jpg,Alison Y.,"Evanston, IL",friends,193,reviews,290,photos,[object Object],1101,https://www.yelp.com/biz_share/juna0kp4RMJ1y6GuXcRmsA/review/2IjWXF4yTEGTLJ7iIVuKWQ,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=2IjWXF4yTEGTLJ7iIVuKWQ&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fintelligentsia-coffee-chicago-12&user_id=dAmYq0aNl89q2EPiwy_4Qg,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=dAmYq0aNl89q2EPiwy_4Qg&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fintelligentsia-coffee-chicago-12,Send message,https://www.yelp.com/following_user/add?dst_user_id=dAmYq0aNl89q2EPiwy_4Qg&previous_url=https://www.yelp.com/biz/intelligentsia-coffee-chicago-12,Follow Alison Y.,https://www.yelp.com/following_user/remove?dst_user_id=dAmYq0aNl89q2EPiwy_4Qg&previous_url=https://www.yelp.com/biz/intelligentsia-coffee-chicago-12,Stop following Alison Y.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,9/19/2018,1 check-in,[object Object],"Good coffee, but slightly steep prices. This is definitely a coffee shop where you pay a bit more for quality and nicer ambiance. They're doing something right here because this place is continually busy and has a steady influx of customers coming in. Despite the busy atmosphere, this coffee shop is a well run ship and drinks are served quickly and tables are kept clean. You'll see a combo of studiers/people who linger here as well as people who just stop by for a quick drink. This cafe has nice big windows that lets in lot of natural light and the minimalistic table and chairs are just comfortable enough to get some work done without wanting to be here all day. There are also ample plugs all around the shop for those who need to recharge their laptops or cell phones. Again, this is set up in a great area and caters to multitude of people looking for a quick stop for coffee or looking for a busy coffee shop atmosphere to do some work. They also have a small outdoor seating area for those with pets or wanting to enjoy some fresh air with their coffee.",voted for this review,Useful,Funny,Cool,1,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=juna0kp4RMJ1y6GuXcRmsA&flag_id=2IjWXF4yTEGTLJ7iIVuKWQ&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fintelligentsia-coffee-chicago-12,Report review,Elite ’18,https://www.yelp.com/elite,,1,
https://www.yelp.com/user_details?userid=K0v1gtGag4je0e-MyX3gNQ,https://s3-media4.fl.yelpcdn.com/photo/7m7wjZL-YQgDLpztAo88Ig/60s.jpg,Venus L.,"South San Francisco, CA",friends,208,reviews,674,photos,[object Object],1329,https://www.yelp.com/biz_share/juna0kp4RMJ1y6GuXcRmsA/review/mnRNoYVKLAcTmiLxah2eFw,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=mnRNoYVKLAcTmiLxah2eFw&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fintelligentsia-coffee-chicago-12&user_id=K0v1gtGag4je0e-MyX3gNQ,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=K0v1gtGag4je0e-MyX3gNQ&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fintelligentsia-coffee-chicago-12,Send message,https://www.yelp.com/following_user/add?dst_user_id=K0v1gtGag4je0e-MyX3gNQ&previous_url=https://www.yelp.com/biz/intelligentsia-coffee-chicago-12,Follow Venus L.,https://www.yelp.com/following_user/remove?dst_user_id=K0v1gtGag4je0e-MyX3gNQ&previous_url=https://www.yelp.com/biz/intelligentsia-coffee-chicago-12,Stop following Venus L.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,9/22/2017,1 check-in,[object Object],"Ah, 7 months after my Chicago trip and I'm finally doing a review on Intelligentsia.. whoops. My boyfriend and I arrived in Chicago around noon time from what I remember, but we weren't able to check into the airbnb till 3pm so he looked up this coffee place in order to kill time. And my boyfriend is a coffee nut so Intelligentsia interested him with the good reviews. Our Lyft driver dropped us off here and luckily the place wasn't packed with people so we were able to chill off to the side of the store with all our luggage. I ended up getting their matcha latte while my boyfriend opted for their coffee and we were able to use the free wifi offered here in order to look up more places to visit in Chicago. The people working here were friendly and didn't seem annoyed that we were dragging in hella baggage which I'm grateful for because it was a cold day and if they had kicked us out... well, damn. But they didn't so yay. My latte was a bit more bitter than what I was used to so I was a bit meh on it, but my boyfriend seemed to really enjoy their coffee. He even bought a few bags of their coffee bean when we went home to California, lol.",Was this review …?,Useful,Funny,Cool,,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=juna0kp4RMJ1y6GuXcRmsA&flag_id=mnRNoYVKLAcTmiLxah2eFw&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fintelligentsia-coffee-chicago-12,Report review,Elite ’18,https://www.yelp.com/elite,,,
https://www.yelp.com/user_details?userid=FPggU_u2Es0YOTNM_8Xucg,https://s3-media1.fl.yelpcdn.com/photo/aTWAWPuhF1r04PLzsFp8YQ/60s.jpg,Ari L.,"Chicago, IL",friends,154,reviews,491,photos,[object Object],144,https://www.yelp.com/biz_share/juna0kp4RMJ1y6GuXcRmsA/review/EniGhEPWqDPKZVwPcJGTBQ,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=EniGhEPWqDPKZVwPcJGTBQ&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fintelligentsia-coffee-chicago-12&user_id=FPggU_u2Es0YOTNM_8Xucg,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=FPggU_u2Es0YOTNM_8Xucg&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fintelligentsia-coffee-chicago-12,Send message,https://www.yelp.com/following_user/add?dst_user_id=FPggU_u2Es0YOTNM_8Xucg&previous_url=https://www.yelp.com/biz/intelligentsia-coffee-chicago-12,Follow Ari L.,https://www.yelp.com/following_user/remove?dst_user_id=FPggU_u2Es0YOTNM_8Xucg&previous_url=https://www.yelp.com/biz/intelligentsia-coffee-chicago-12,Stop following Ari L.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,11/29/2017,,,"My old review needs an update.  Service speed has improved dramatically over time, which was a major gripe.  Service is usually pretty friendly, and I do like the layout of the store.  But seats aren't very kind to your tush, so don't plan to camp out too long. The outdoor space that the city plopped on Milwaukee is pretty cool and is a nice place to camp out when the weather is nice.Coffee and pastries are good.  For sure a step up from Starbucks, but coffee is definitely not in the top 3 in the city. If you are feeling decadent, have the milkshake.  Its out of this world.",voted for this review,Useful,Funny,Cool,1,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=juna0kp4RMJ1y6GuXcRmsA&flag_id=EniGhEPWqDPKZVwPcJGTBQ&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fintelligentsia-coffee-chicago-12,Report review,Elite ’18,https://www.yelp.com/elite,,1,1
https://www.yelp.com/user_details?userid=flTBzpvJPkk_8W4BJESmIg,https://s3-media1.fl.yelpcdn.com/photo/yNQC6-bRK4BuvQfhy6IT1Q/60s.jpg,Nikita S.,"Chicago, IL",friends,41,reviews,112,photos,[object Object],23,https://www.yelp.com/biz_share/juna0kp4RMJ1y6GuXcRmsA/review/Ob_w7DFnoaFyW4ymF5IyYQ,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=Ob_w7DFnoaFyW4ymF5IyYQ&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fintelligentsia-coffee-chicago-12&user_id=flTBzpvJPkk_8W4BJESmIg,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=flTBzpvJPkk_8W4BJESmIg&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fintelligentsia-coffee-chicago-12,Send message,https://www.yelp.com/following_user/add?dst_user_id=flTBzpvJPkk_8W4BJESmIg&previous_url=https://www.yelp.com/biz/intelligentsia-coffee-chicago-12,Follow Nikita S.,https://www.yelp.com/following_user/remove?dst_user_id=flTBzpvJPkk_8W4BJESmIg&previous_url=https://www.yelp.com/biz/intelligentsia-coffee-chicago-12,Stop following Nikita S.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,11/9/2017,,,"So apparently Intelligentsia is all the rage and I had no idea there was one 2 blocks from my apartment (I think paying for coffee is stupid). We were walking to the Starbucks on Division and my boyfriend stopped dead in his tracks when he saw there was an Intelligentsia. His drink: Mocha Latte with a cute heart shaped pattern thing (whatever that is called)My drink: Chi LatteVote: His was better right off the bat. I didn't care much for mine so I stuck it in the fridge and it was GREAT as a cold latte (I tend to like my caffeine cold anyway)Consensus: Maybe I'll be back but again, I have a hard time justifying paying $5 for a coffee when I have my k cups at home. This is no dig on the establishment just not really my thing. But this place is ALWAYS busy which means they are doing something right.",voted for this review,Useful,Funny,Cool,1,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=juna0kp4RMJ1y6GuXcRmsA&flag_id=Ob_w7DFnoaFyW4ymF5IyYQ&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fintelligentsia-coffee-chicago-12,Report review,Elite ’18,https://www.yelp.com/elite,,1,
https://www.yelp.com/user_details?userid=UBcycBvac-YqLFtNNvRxkA,https://s3-media2.fl.yelpcdn.com/photo/5mAzvticCxk0JGPB3dIbqA/60s.jpg,Chelsia L.,"Chicago, IL",friends,750,reviews,145,photos,[object Object],185,https://www.yelp.com/biz_share/juna0kp4RMJ1y6GuXcRmsA/review/mt7sCcAvibNZmC7xej4hZA,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=mt7sCcAvibNZmC7xej4hZA&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fintelligentsia-coffee-chicago-12&user_id=UBcycBvac-YqLFtNNvRxkA,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=UBcycBvac-YqLFtNNvRxkA&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fintelligentsia-coffee-chicago-12,Send message,https://www.yelp.com/following_user/add?dst_user_id=UBcycBvac-YqLFtNNvRxkA&previous_url=https://www.yelp.com/biz/intelligentsia-coffee-chicago-12,Follow Chelsia L.,https://www.yelp.com/following_user/remove?dst_user_id=UBcycBvac-YqLFtNNvRxkA&previous_url=https://www.yelp.com/biz/intelligentsia-coffee-chicago-12,Stop following Chelsia L.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,3/2/2017,1 check-in,[object Object],I'm not a coffee drinker so my review might be a bit skewed since it's a coffeeshop. Instead of coffee I got a match latte which was gorgeous but the flavor was a lacking. It wasn't that sweet and an almost overpowering matcha taste which gave it a bitter aftertaste. I did end up drinking it all because it cost $6.  The place itself is very cute however. Great for getting some work done with big windows that let in a lot of natural light. It's smaller and quieter like most coffee shops and despite the latte I would definitely come again!,2 people voted for this review,Useful,Funny,Cool,1,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=juna0kp4RMJ1y6GuXcRmsA&flag_id=mt7sCcAvibNZmC7xej4hZA&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fintelligentsia-coffee-chicago-12,Report review,Elite ’18,https://www.yelp.com/elite,https://s3-media2.fl.yelpcdn.com/bphoto/RKPHSlXRF6W71keluG_ZNg/348s.jpg,1,
https://www.yelp.com/user_details?userid=_cTycJnAh9vJ_l5II0hTZg,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,Hemphill C.,"Chicago, IL",friends,0,reviews,3,,,,https://www.yelp.com/biz_share/juna0kp4RMJ1y6GuXcRmsA/review/VQmkH5j7sagaNxmCpkQgMA,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=VQmkH5j7sagaNxmCpkQgMA&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fintelligentsia-coffee-chicago-12&user_id=_cTycJnAh9vJ_l5II0hTZg,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=_cTycJnAh9vJ_l5II0hTZg&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fintelligentsia-coffee-chicago-12,Send message,https://www.yelp.com/following_user/add?dst_user_id=_cTycJnAh9vJ_l5II0hTZg&previous_url=https://www.yelp.com/biz/intelligentsia-coffee-chicago-12,Follow Hemphill C.,https://www.yelp.com/following_user/remove?dst_user_id=_cTycJnAh9vJ_l5II0hTZg&previous_url=https://www.yelp.com/biz/intelligentsia-coffee-chicago-12,Stop following Hemphill C.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,7/12/2018,,,Bad customer services good coffee. Really like the decor. Bread is pretty good. Cold brew coffee is my go to,Was this review …?,Useful,Funny,Cool,,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=juna0kp4RMJ1y6GuXcRmsA&flag_id=VQmkH5j7sagaNxmCpkQgMA&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fintelligentsia-coffee-chicago-12,Report review,,,,,
