js-analytics-click href,photo-box-img src,user-display-name,user-location,friend-count,friend-count 2,review-count,review-count 2,photo-count,icon_svg href 3,photo-count 2,is-elite,is-elite href,arrange href,icon_svg href 4,action-link_label,arrange href 2,action-link_label 2,arrange href 3,action-link_label 3,arrange href 4,action-link_label 4,arrange href 5,action-link_label 5,arrange href 6,action-link_label 6,offscreen src,rating-qualifier,review-content,voting-intro,vote-type,vote-type 2,vote-type 3,u-space-b3,u-space-b3 src,u-space-b2,ybtn,js-maybe-later-button,chiclet-link href,tooltip,js-review-feedback-voter-list,js-review-feedback-voter-list href,count,count 2,count 3,review-tags_item,icon_svg href 19,photo-box-img src 2,biz-shim href
https://www.yelp.com/user_details?userid=8q6vJuhgs4e8jf5FkSMybA,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,Jin L.,"Manhattan, New York, NY",friends,0,review,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.yelp.com/user_details?userid=3EcgsnN02px4_4g1SRs2cw,https://s3-media4.fl.yelpcdn.com/photo/JVBgqTcEY6NDIDIOlsl4zQ/60s.jpg,Kelsey H.,"Chicago Loop, Chicago, IL",friends,282,reviews,39,photos,[object Object],18,Elite ’18,https://www.yelp.com/elite,https://www.yelp.com/biz_share/cLaMG2ztKxqqLhRRpP9HNg/review/bR2PGd8Vmdw745xz1eCQDg,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=bR2PGd8Vmdw745xz1eCQDg&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fipsento-606-chicago%3Fosq%3DIpsento%2B606&user_id=3EcgsnN02px4_4g1SRs2cw,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=3EcgsnN02px4_4g1SRs2cw&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fipsento-606-chicago%3Fosq%3DIpsento%2B606,Send message,https://www.yelp.com/following_user/add?dst_user_id=3EcgsnN02px4_4g1SRs2cw&previous_url=https://www.yelp.com/biz/ipsento-606-chicago?osq=Ipsento+606,Follow Kelsey H.,https://www.yelp.com/following_user/remove?dst_user_id=3EcgsnN02px4_4g1SRs2cw&previous_url=https://www.yelp.com/biz/ipsento-606-chicago?osq=Ipsento+606,Stop following Kelsey H.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,9/16/2018,"Went here on a hot day after walking the 606. The iced vanilla latte and nutella latte were exactly what we needed. They were made right in front of us and tasted delicious.The staff was quite nice, one of them talked us in to trying their mini donuts (spoiler: they were delicious). We tried the cinnamon sugar and the orange lemon. Super small, but they are called mini donuts. If you go after 4pm, they're half price as well!The atmosphere is really cool in there. Most people had their laptops out and were working by the open windows. Limited seating, but we found a place at the bar. I highly recommend.",Was this review …?,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=cLaMG2ztKxqqLhRRpP9HNg&flag_id=bR2PGd8Vmdw745xz1eCQDg&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fipsento-606-chicago%3Fosq%3DIpsento%2B606,Report review,,,,,,,,,
https://www.yelp.com/user_details?userid=iGE2lgfS61ElO8Tf7hs7iQ,https://s3-media4.fl.yelpcdn.com/photo/1SJCCayrR6UOVymzqL4xjA/60s.jpg,Mihai P.,"Los Angeles, CA",friends,8,reviews,212,photos,[object Object],68,,,https://www.yelp.com/biz_share/cLaMG2ztKxqqLhRRpP9HNg/review/RNCo3AFG8dxkairt6xlZNw,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=RNCo3AFG8dxkairt6xlZNw&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fipsento-606-chicago%3Fosq%3DIpsento%2B606&user_id=iGE2lgfS61ElO8Tf7hs7iQ,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=iGE2lgfS61ElO8Tf7hs7iQ&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fipsento-606-chicago%3Fosq%3DIpsento%2B606,Send message,https://www.yelp.com/following_user/add?dst_user_id=iGE2lgfS61ElO8Tf7hs7iQ&previous_url=https://www.yelp.com/biz/ipsento-606-chicago?osq=Ipsento+606,Follow Mihai P.,https://www.yelp.com/following_user/remove?dst_user_id=iGE2lgfS61ElO8Tf7hs7iQ&previous_url=https://www.yelp.com/biz/ipsento-606-chicago?osq=Ipsento+606,Stop following Mihai P.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,10/23/2018,"Espresso served too hot, bean quality not impressive (Wildfire Espresso). Latte art quality - fuggedaboutit.Beautiful interior, great place to work. But just had to call a spade a spade on the main offering here - the Coffee.",Was this review …?,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=cLaMG2ztKxqqLhRRpP9HNg&flag_id=RNCo3AFG8dxkairt6xlZNw&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fipsento-606-chicago%3Fosq%3DIpsento%2B606,Report review,,,,,,,,,
https://www.yelp.com/user_details?userid=ign-wXfFvXhgqYVTbxV3aA,https://s3-media2.fl.yelpcdn.com/photo/gXTQ7_gnkaUzusAB9amxKQ/60s.jpg,Mehran F.,"Chicago, IL",friends,19,reviews,570,photos,[object Object],14,Elite ’18,https://www.yelp.com/elite,https://www.yelp.com/biz_share/cLaMG2ztKxqqLhRRpP9HNg/review/I_FbV9h_x95v2Obcob_y1w,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=I_FbV9h_x95v2Obcob_y1w&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fipsento-606-chicago%3Fosq%3DIpsento%2B606&user_id=ign-wXfFvXhgqYVTbxV3aA,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=ign-wXfFvXhgqYVTbxV3aA&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fipsento-606-chicago%3Fosq%3DIpsento%2B606,Send message,https://www.yelp.com/following_user/add?dst_user_id=ign-wXfFvXhgqYVTbxV3aA&previous_url=https://www.yelp.com/biz/ipsento-606-chicago?osq=Ipsento+606,Follow Mehran F.,https://www.yelp.com/following_user/remove?dst_user_id=ign-wXfFvXhgqYVTbxV3aA&previous_url=https://www.yelp.com/biz/ipsento-606-chicago?osq=Ipsento+606,Stop following Mehran F.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,9/1/2018,"Jacking'em up to a four star because at the end of the day i like them and real happy they're in my hood.Still question their level of hygiene. Last week went there twice. Both my dog and I liked what we got (he got croissants) ...Coffees reasonably good, and done nicely.Staff, very nice.Location fabulous.",voted for this review,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=cLaMG2ztKxqqLhRRpP9HNg&flag_id=I_FbV9h_x95v2Obcob_y1w&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fipsento-606-chicago%3Fosq%3DIpsento%2B606,Report review,Amber B. and 4 others,javascript:;,3,3,3,,,,
https://www.yelp.com/user_details?userid=5k9Fcij_Y998krWR28r3pw,https://s3-media3.fl.yelpcdn.com/photo/NHoN-oXBtN3Qlv4xbWST3A/60s.jpg,Lisa D.,"Chicago, IL",friends,191,reviews,81,photos,[object Object],37,,,https://www.yelp.com/biz_share/cLaMG2ztKxqqLhRRpP9HNg/review/DMA-io4fYxF-0fdrzOEdGA,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=DMA-io4fYxF-0fdrzOEdGA&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fipsento-606-chicago%3Fosq%3DIpsento%2B606&user_id=5k9Fcij_Y998krWR28r3pw,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=5k9Fcij_Y998krWR28r3pw&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fipsento-606-chicago%3Fosq%3DIpsento%2B606,Send message,https://www.yelp.com/following_user/add?dst_user_id=5k9Fcij_Y998krWR28r3pw&previous_url=https://www.yelp.com/biz/ipsento-606-chicago?osq=Ipsento+606,Follow Lisa D.,https://www.yelp.com/following_user/remove?dst_user_id=5k9Fcij_Y998krWR28r3pw&previous_url=https://www.yelp.com/biz/ipsento-606-chicago?osq=Ipsento+606,Stop following Lisa D.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,11/13/2018,"Nice coffee shop in the area. About a 5 minute walk from some great street art such as the Chicago wall and Robin Williams wall. They have a fun selection of drinks. The Nutella latte was delicious as expected, I just wish it had a bit more in flavor. The Ispento coffee however, was my favorite and has a slight kick that really jolts you to be awake. Decent prices around 4- 5 dollars and a small slection of pastries are available.",Was this review …?,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=cLaMG2ztKxqqLhRRpP9HNg&flag_id=DMA-io4fYxF-0fdrzOEdGA&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fipsento-606-chicago%3Fosq%3DIpsento%2B606,Report review,,,,,,1 check-in,[object Object],https://s3-media2.fl.yelpcdn.com/bphoto/ByTxDUy9mgL6QgXjMUQbUg/168s.jpg,https://www.yelp.com/biz_photos/ipsento-606-chicago?reviewid=DMA-io4fYxF-0fdrzOEdGA&select=ByTxDUy9mgL6QgXjMUQbUg
https://www.yelp.com/user_details?userid=aa9xI_BuZqp6AFB-RypglA,https://s3-media4.fl.yelpcdn.com/photo/P_SmLte4U-tavEC2P0FkGg/60s.jpg,Rita S.,"Chicago, IL",friends,288,reviews,41,photos,[object Object],84,Elite ’18,https://www.yelp.com/elite,https://www.yelp.com/biz_share/cLaMG2ztKxqqLhRRpP9HNg/review/X7sI5_r3oWymT0rCjAUPcg,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=X7sI5_r3oWymT0rCjAUPcg&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fipsento-606-chicago%3Fosq%3DIpsento%2B606&user_id=aa9xI_BuZqp6AFB-RypglA,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=aa9xI_BuZqp6AFB-RypglA&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fipsento-606-chicago%3Fosq%3DIpsento%2B606,Send message,https://www.yelp.com/following_user/add?dst_user_id=aa9xI_BuZqp6AFB-RypglA&previous_url=https://www.yelp.com/biz/ipsento-606-chicago?osq=Ipsento+606,Follow Rita S.,https://www.yelp.com/following_user/remove?dst_user_id=aa9xI_BuZqp6AFB-RypglA&previous_url=https://www.yelp.com/biz/ipsento-606-chicago?osq=Ipsento+606,Stop following Rita S.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,8/24/2018,"Really great vibes here! It's a great space with warm dark wooden finishes and lots of natural light- great for getting work done. The only thing to keep in mind is that it gets loud! They blast the music so it was a little hard for me to hear myself think, even though I usually love doing work at coffee shops. Aside from that, the coffee is great! I had an herbal-tasting latte with almond milk which was very good. They also have mini donuts! I usually don't like donuts at all but these were made from sweet potato and I had to try. I think the one I tried was orange with cardamom and it was super soft and a perfect texture. What's cool about ipsento is that it has a bar too! It's a great place to come hang or catch up with friends, but when it comes to working, only come if you're able to drown out loud sounds!",voted for this review,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=cLaMG2ztKxqqLhRRpP9HNg&flag_id=X7sI5_r3oWymT0rCjAUPcg&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fipsento-606-chicago%3Fosq%3DIpsento%2B606,Report review,Monique A. and 1 other,javascript:;,1,1,2,1 check-in,[object Object],https://s3-media4.fl.yelpcdn.com/bphoto/bPuWjSjr5zoS8jS9IAPbnQ/348s.jpg,https://www.yelp.com/biz_photos/ipsento-606-chicago?reviewid=X7sI5_r3oWymT0rCjAUPcg&select=bPuWjSjr5zoS8jS9IAPbnQ
https://www.yelp.com/user_details?userid=So0b-rnP1cuj7kJWQD6nIA,https://s3-media2.fl.yelpcdn.com/photo/Vk_Gefk_1Rds0BwjNCAW5Q/60s.jpg,Eddie U.,"Chicago, IL",friends,265,reviews,103,photos,[object Object],124,Elite ’18,https://www.yelp.com/elite,https://www.yelp.com/biz_share/cLaMG2ztKxqqLhRRpP9HNg/review/uAwR2byfxLev6cf-C6kY2A,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=uAwR2byfxLev6cf-C6kY2A&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fipsento-606-chicago%3Fosq%3DIpsento%2B606&user_id=So0b-rnP1cuj7kJWQD6nIA,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=So0b-rnP1cuj7kJWQD6nIA&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fipsento-606-chicago%3Fosq%3DIpsento%2B606,Send message,https://www.yelp.com/following_user/add?dst_user_id=So0b-rnP1cuj7kJWQD6nIA&previous_url=https://www.yelp.com/biz/ipsento-606-chicago?osq=Ipsento+606,Follow Eddie U.,https://www.yelp.com/following_user/remove?dst_user_id=So0b-rnP1cuj7kJWQD6nIA&previous_url=https://www.yelp.com/biz/ipsento-606-chicago?osq=Ipsento+606,Stop following Eddie U.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,10/26/2018,"You know that you have some of the most special beans and brews in The City of Chicago when I have to stop for one of your signature lattes just because it makes my day so so special. I wish I didn't live on the other side of the 606 trail, but that's my way of saying bring your coffee north of Lawrence Ave.",Was this review …?,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=cLaMG2ztKxqqLhRRpP9HNg&flag_id=uAwR2byfxLev6cf-C6kY2A&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fipsento-606-chicago%3Fosq%3DIpsento%2B606,Report review,,,,,,,,https://s3-media1.fl.yelpcdn.com/bphoto/p_HTHoA85BN7zOr_XF69WA/348s.jpg,https://www.yelp.com/biz_photos/ipsento-606-chicago?reviewid=uAwR2byfxLev6cf-C6kY2A&select=p_HTHoA85BN7zOr_XF69WA
https://www.yelp.com/user_details?userid=jlRiZ-GeKHxN_VTm1M1e6w,https://s3-media1.fl.yelpcdn.com/photo/ZDQn2MhXUjfGaM6ozmDI9w/60s.jpg,Mimi L.,"Chicago, IL",friends,775,reviews,170,photos,[object Object],740,Elite ’18,https://www.yelp.com/elite,https://www.yelp.com/biz_share/cLaMG2ztKxqqLhRRpP9HNg/review/yiKC0582fAFxD2Yr4VMppQ,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=yiKC0582fAFxD2Yr4VMppQ&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fipsento-606-chicago%3Fosq%3DIpsento%2B606&user_id=jlRiZ-GeKHxN_VTm1M1e6w,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=jlRiZ-GeKHxN_VTm1M1e6w&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fipsento-606-chicago%3Fosq%3DIpsento%2B606,Send message,https://www.yelp.com/following_user/add?dst_user_id=jlRiZ-GeKHxN_VTm1M1e6w&previous_url=https://www.yelp.com/biz/ipsento-606-chicago?osq=Ipsento+606,Follow Mimi L.,https://www.yelp.com/following_user/remove?dst_user_id=jlRiZ-GeKHxN_VTm1M1e6w&previous_url=https://www.yelp.com/biz/ipsento-606-chicago?osq=Ipsento+606,Stop following Mimi L.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,4/24/2018,"Ipsento has great coffee with creative latte options and AMAZING mini donuts. The staff was really nice and it has a chill atmosphere. I brought my laptop to do some work on a Sunday afternoon where it was really packed. There is limited seating where I had to wait a little bit before I was able to sit at a table.I ordered the rose cardamom latte and half a dozen mini donuts. I want to be able to tell you what my favorite flavor donut was but each one was just so good. The latte? So good. A part of me wants to be fancy and be able to describe the amazing aroma/delicious flavors but you know what? Unnecessary because it was just so. very. good. You just need to try it for yourself. I highly, highly recommend this coffee shop and I am definitely coming back.",voted for this review,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=cLaMG2ztKxqqLhRRpP9HNg&flag_id=yiKC0582fAFxD2Yr4VMppQ&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fipsento-606-chicago%3Fosq%3DIpsento%2B606,Report review,Monique A. and 1 other,javascript:;,2,1,2,1 check-in,[object Object],,
https://www.yelp.com/user_details?userid=0TChX8JPK8erwAAlI5OIMQ,https://s3-media2.fl.yelpcdn.com/photo/fKyUJi_pk4Np-I1f7phw6A/60s.jpg,Priscilla M.,"Chicago, IL",friends,157,reviews,38,photos,[object Object],18,Elite ’18,https://www.yelp.com/elite,https://www.yelp.com/biz_share/cLaMG2ztKxqqLhRRpP9HNg/review/8Q4XBpkneEUi11J9lSdk7Q,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=8Q4XBpkneEUi11J9lSdk7Q&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fipsento-606-chicago%3Fosq%3DIpsento%2B606&user_id=0TChX8JPK8erwAAlI5OIMQ,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=0TChX8JPK8erwAAlI5OIMQ&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fipsento-606-chicago%3Fosq%3DIpsento%2B606,Send message,https://www.yelp.com/following_user/add?dst_user_id=0TChX8JPK8erwAAlI5OIMQ&previous_url=https://www.yelp.com/biz/ipsento-606-chicago?osq=Ipsento+606,Follow Priscilla M.,https://www.yelp.com/following_user/remove?dst_user_id=0TChX8JPK8erwAAlI5OIMQ&previous_url=https://www.yelp.com/biz/ipsento-606-chicago?osq=Ipsento+606,Stop following Priscilla M.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,1/26/2018,"Being a fresh meat in chi city, I was the classic hipster looking for the best coffee in the city. I was so happy to found Ipsento 606.Amazing selection of coffee - each cup stands up for itself and there is a wide variety of good coffee.*) The nutella latte had the perfect amount of nutella sweetness without overpowering the taste of coffee.*) The ipsento latte is no standard latte. I love that they spiked it with spices for a unique kick.*) Cold brew is my go to work coffee and Ipsento's did not disappoint. It's refreshing with the perfect amount of acidity - just perfect for my taste.I have to give honorable mention to their donuts. They are in adorable mini size, with the perfect amount of sweetness. My favorites are the earl grey and maple donuts.I live on the opposite side of Ipsento, but because they are the kind of coffee shop that are equipped with both the love of coffee and the passion for community, I can't help but to find an excuse to swing by.",voted for this review,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=cLaMG2ztKxqqLhRRpP9HNg&flag_id=8Q4XBpkneEUi11J9lSdk7Q&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fipsento-606-chicago%3Fosq%3DIpsento%2B606,Report review,Michael H. and 2 others,javascript:;,2,2,,,,https://s3-media4.fl.yelpcdn.com/bphoto/96apuB0pHZSHPNl_mGyIgg/348s.jpg,https://www.yelp.com/biz_photos/ipsento-606-chicago?reviewid=8Q4XBpkneEUi11J9lSdk7Q&select=96apuB0pHZSHPNl_mGyIgg
https://www.yelp.com/user_details?userid=UlMSXqii_FFL_18aSzPtaw,https://s3-media3.fl.yelpcdn.com/photo/-CdJOWpemPXetoVJdHTuuA/60s.jpg,Tarren Y.,"Chicago, IL",friends,252,reviews,12,photos,[object Object],3,,,https://www.yelp.com/biz_share/cLaMG2ztKxqqLhRRpP9HNg/review/fJlNWVWVV0Bx0oYQe0Jfjw,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=fJlNWVWVV0Bx0oYQe0Jfjw&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fipsento-606-chicago%3Fosq%3DIpsento%2B606&user_id=UlMSXqii_FFL_18aSzPtaw,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=UlMSXqii_FFL_18aSzPtaw&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fipsento-606-chicago%3Fosq%3DIpsento%2B606,Send message,https://www.yelp.com/following_user/add?dst_user_id=UlMSXqii_FFL_18aSzPtaw&previous_url=https://www.yelp.com/biz/ipsento-606-chicago?osq=Ipsento+606,Follow Tarren Y.,https://www.yelp.com/following_user/remove?dst_user_id=UlMSXqii_FFL_18aSzPtaw&previous_url=https://www.yelp.com/biz/ipsento-606-chicago?osq=Ipsento+606,Stop following Tarren Y.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,10/21/2018,"My boyfriend and I come here just about every weekend for the Chai latte. For those used to drinking chai from places that use concentrate, like Starbucks, you'll notice this chai tastes much fresher and original. It doesn't have quite as much spice as chai usually does, but you can always add extra spice. I enjoy the freshness and unique taste this chai offers, I would definitely recommend trying it if you are looking for a real chai latte.",voted for this review,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=cLaMG2ztKxqqLhRRpP9HNg&flag_id=fJlNWVWVV0Bx0oYQe0Jfjw&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fipsento-606-chicago%3Fosq%3DIpsento%2B606,Report review,Michael H. and 1 other,javascript:;,2,1,,,,,
