js-analytics-click href,photo-box-img src,user-display-name,user-location,friend-count,friend-count 2,review-count,review-count 2,photo-count,icon_svg href 3,photo-count 2,arrange href,icon_svg href 4,action-link_label,arrange href 2,action-link_label 2,arrange href 3,action-link_label 3,arrange href 4,action-link_label 4,arrange href 5,action-link_label 5,arrange href 6,action-link_label 6,offscreen src,rating-qualifier,review-content,voting-intro,js-review-feedback-voter-list,js-review-feedback-voter-list href,vote-type,count,vote-type 2,vote-type 3,u-space-b3,u-space-b3 src,u-space-b2,ybtn,js-maybe-later-button,chiclet-link href,tooltip,is-elite,is-elite href,review-tags_item,icon_svg href 14,photo-box-img src 2,biz-shim href,count 3
https://www.yelp.com/user_details?userid=8q6vJuhgs4e8jf5FkSMybA,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,Jin L.,"Manhattan, New York, NY",friends,0,review,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.yelp.com/user_details?userid=_cxMSEiEG6aTlve-ZpZ95A,https://s3-media3.fl.yelpcdn.com/photo/qmAYt9DqUXVtVZK6108G2Q/60s.jpg,Lauren M.,"Chicago, IL",friends,180,reviews,49,photos,[object Object],5,https://www.yelp.com/biz_share/0sp7zjPiP3V-ojIF38g-1w/review/LTPtVE7HiMweU29hEbrMzg,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=LTPtVE7HiMweU29hEbrMzg&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fvolumes-bookcafe-chicago%3Fosq%3Dvolumes%2Bbook%2Bcafe&user_id=_cxMSEiEG6aTlve-ZpZ95A,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=_cxMSEiEG6aTlve-ZpZ95A&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fvolumes-bookcafe-chicago%3Fosq%3Dvolumes%2Bbook%2Bcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=_cxMSEiEG6aTlve-ZpZ95A&previous_url=https://www.yelp.com/biz/volumes-bookcafe-chicago?osq=volumes+book+cafe,Follow Lauren M.,https://www.yelp.com/following_user/remove?dst_user_id=_cxMSEiEG6aTlve-ZpZ95A&previous_url=https://www.yelp.com/biz/volumes-bookcafe-chicago?osq=volumes+book+cafe,Stop following Lauren M.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,9/21/2018,"It's about time I write a review for this place. I go here almost every day to work and get tea. My to go is the Matcha Latte with Oat Milk for the morning, and the Molly Weasly (this awesome chamomille/honey tea drink) for night. The book selection is really good and they have cute little nick nacks. They sell some pastries and the staff is super friendly. Good wifi, comfy blue chairs in the corner, and great coffee and books. That's pretty much all you need to know.",voted for this review,Casilda H.,javascript:;,Useful,1,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=0sp7zjPiP3V-ojIF38g-1w&flag_id=LTPtVE7HiMweU29hEbrMzg&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fvolumes-bookcafe-chicago%3Fosq%3Dvolumes%2Bbook%2Bcafe,Report review,,,,,,,
https://www.yelp.com/user_details?userid=uJxT42ybvM2lDoZ5W03PTQ,https://s3-media3.fl.yelpcdn.com/photo/KV3_Lcmj_lS0DTjvU30R_A/60s.jpg,Raven J.,"Schaumburg, IL",friends,30,reviews,31,photos,[object Object],3,https://www.yelp.com/biz_share/0sp7zjPiP3V-ojIF38g-1w/review/S76x-8n85qHs_-87jGPoew,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=S76x-8n85qHs_-87jGPoew&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fvolumes-bookcafe-chicago%3Fosq%3Dvolumes%2Bbook%2Bcafe&user_id=uJxT42ybvM2lDoZ5W03PTQ,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=uJxT42ybvM2lDoZ5W03PTQ&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fvolumes-bookcafe-chicago%3Fosq%3Dvolumes%2Bbook%2Bcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=uJxT42ybvM2lDoZ5W03PTQ&previous_url=https://www.yelp.com/biz/volumes-bookcafe-chicago?osq=volumes+book+cafe,Follow Raven J.,https://www.yelp.com/following_user/remove?dst_user_id=uJxT42ybvM2lDoZ5W03PTQ&previous_url=https://www.yelp.com/biz/volumes-bookcafe-chicago?osq=volumes+book+cafe,Stop following Raven J.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,10/1/2018,"Regardless of the SJW crap all over their windows, these owners purposely contribute to increasing homelessness!In addition to and in direct contradiction to the extremist signs on their windows, claiming that ""billions of women"" have ""no voice"" in America which is EXTREMELY obviously untrue, this business DIRECTLY propagates, promotes, and participates in the disenfranchisement of a HUGE group that actually IS oppressed...   homeless people.  This sign claiming that all human beings are not human beings, and therefore are not allowed to even pee according to this business, causes huge problems to and discrimination against not only homeless people, but, in the case of any such business in many areas of Chicago including Wicket Park, this also disenfranchises, dehumanizes, and heavily discriminates against, anyone who is from regular suburbs and in fact even anyone who lives in a slightly different area of Chicago, such as say, downtown, since for them as well it is also impossible for them to go home just to pee.  This business has several other antagonistic signs up to hurt and harm people.  It is obvious that this business should not be patronized.",voted for this review,Karina L.,javascript:;,Useful,,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=0sp7zjPiP3V-ojIF38g-1w&flag_id=S76x-8n85qHs_-87jGPoew&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fvolumes-bookcafe-chicago%3Fosq%3Dvolumes%2Bbook%2Bcafe,Report review,,,,,,,
https://www.yelp.com/user_details?userid=1Rje5K4U-pIk3X3k_k4B_g,https://s3-media4.fl.yelpcdn.com/photo/20mDpZHribLqmcAlRbaASQ/60s.jpg,Michelle S.,"Chicago, IL",friends,43,reviews,59,photos,[object Object],349,https://www.yelp.com/biz_share/0sp7zjPiP3V-ojIF38g-1w/review/nTGcJO1zLiD3w-o8LJJ-aA,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=nTGcJO1zLiD3w-o8LJJ-aA&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fvolumes-bookcafe-chicago%3Fosq%3Dvolumes%2Bbook%2Bcafe&user_id=1Rje5K4U-pIk3X3k_k4B_g,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=1Rje5K4U-pIk3X3k_k4B_g&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fvolumes-bookcafe-chicago%3Fosq%3Dvolumes%2Bbook%2Bcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=1Rje5K4U-pIk3X3k_k4B_g&previous_url=https://www.yelp.com/biz/volumes-bookcafe-chicago?osq=volumes+book+cafe,Follow Michelle S.,https://www.yelp.com/following_user/remove?dst_user_id=1Rje5K4U-pIk3X3k_k4B_g&previous_url=https://www.yelp.com/biz/volumes-bookcafe-chicago?osq=volumes+book+cafe,Stop following Michelle S.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,9/3/2018,"I first heard about Volumes from a friend, then another friend, then another friend, and knew I had to go. It's a great bookstore/cafe, which really enhances the study vibe I was hoping for. They also have a whole section of Harry Potter themed drinks - I had the Molly Weasley which is AMAZING. The barista was super nice and patient as I spent 10 min trying to figure out the Ritual app (where you can pre-order items from different places around the city and get points) too.The space itself is also incredible. It's nice to be able to walk around and get inspired by all the books, plus the tables on the wall are high enough to do some standing work when you need to stretch. I will 100% be back! To try all of the other menu items as well as go to one of their many book-related/fun events!",voted for this review,Christine B. and 1 other,javascript:;,Useful,2,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=0sp7zjPiP3V-ojIF38g-1w&flag_id=nTGcJO1zLiD3w-o8LJJ-aA&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fvolumes-bookcafe-chicago%3Fosq%3Dvolumes%2Bbook%2Bcafe,Report review,Elite ’18,https://www.yelp.com/elite,1 check-in,[object Object],https://s3-media1.fl.yelpcdn.com/bphoto/93WefAyrZ_A4cxYr4ffY8g/348s.jpg,https://www.yelp.com/biz_photos/volumes-bookcafe-chicago?reviewid=nTGcJO1zLiD3w-o8LJJ-aA&select=93WefAyrZ_A4cxYr4ffY8g,2
https://www.yelp.com/user_details?userid=uXXsNx7y15CG1YfXDDt0gw,https://s3-media1.fl.yelpcdn.com/photo/l_JyX_rzh8u31Ebysnau1A/60s.jpg,Siobhan D.,"Oak Park, IL",friends,7,reviews,200,photos,[object Object],100,https://www.yelp.com/biz_share/0sp7zjPiP3V-ojIF38g-1w/review/GnTj1Irt4dd4mNtKItPnhw,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=GnTj1Irt4dd4mNtKItPnhw&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fvolumes-bookcafe-chicago%3Fosq%3Dvolumes%2Bbook%2Bcafe&user_id=uXXsNx7y15CG1YfXDDt0gw,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=uXXsNx7y15CG1YfXDDt0gw&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fvolumes-bookcafe-chicago%3Fosq%3Dvolumes%2Bbook%2Bcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=uXXsNx7y15CG1YfXDDt0gw&previous_url=https://www.yelp.com/biz/volumes-bookcafe-chicago?osq=volumes+book+cafe,Follow Siobhan D.,https://www.yelp.com/following_user/remove?dst_user_id=uXXsNx7y15CG1YfXDDt0gw&previous_url=https://www.yelp.com/biz/volumes-bookcafe-chicago?osq=volumes+book+cafe,Stop following Siobhan D.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,10/20/2018,"Super cute and modern neighborhood cafe & bookstore offering gifts and children's items too! The children's section is very well curated and offers a thoughtful selection of high-quality and unique books for all ages. I bought a beautiful children's art-collage book inspired by the work of Friedrich Nietzsche, ""Nietzsche in Shapes and Colors."" The blank journal and magazine selections were also impressive. Bright, tidy, warm and welcoming space.",voted for this review,Michael H.,javascript:;,Useful,1,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=0sp7zjPiP3V-ojIF38g-1w&flag_id=GnTj1Irt4dd4mNtKItPnhw&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fvolumes-bookcafe-chicago%3Fosq%3Dvolumes%2Bbook%2Bcafe,Report review,Elite ’18,https://www.yelp.com/elite,,,,,
https://www.yelp.com/user_details?userid=NWjOxPJuTuz7oWGBk-Q6ZA,https://s3-media3.fl.yelpcdn.com/photo/gaWP8rh0u-Wo3npHz8ujww/60s.jpg,Jillian M.,"Chicago, IL",friends,65,reviews,365,photos,[object Object],159,https://www.yelp.com/biz_share/0sp7zjPiP3V-ojIF38g-1w/review/0k6UTmkp0wjEEgvbatO9Mw,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=0k6UTmkp0wjEEgvbatO9Mw&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fvolumes-bookcafe-chicago%3Fosq%3Dvolumes%2Bbook%2Bcafe&user_id=NWjOxPJuTuz7oWGBk-Q6ZA,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=NWjOxPJuTuz7oWGBk-Q6ZA&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fvolumes-bookcafe-chicago%3Fosq%3Dvolumes%2Bbook%2Bcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=NWjOxPJuTuz7oWGBk-Q6ZA&previous_url=https://www.yelp.com/biz/volumes-bookcafe-chicago?osq=volumes+book+cafe,Follow Jillian M.,https://www.yelp.com/following_user/remove?dst_user_id=NWjOxPJuTuz7oWGBk-Q6ZA&previous_url=https://www.yelp.com/biz/volumes-bookcafe-chicago?osq=volumes+book+cafe,Stop following Jillian M.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,8/15/2018,"Volumes has easily become one of my favorite Chicago spots. They have both coffee AND books - two of my favorite things. The bookstore is not huge, but they have always had the books that I want and if they don't, they will order whatever book you'd like for you to pick up. At night, they have weekly and monthly events, including book clubs. Monday: Weekly Trivia @ 7:301st Wednesday: Open Mic @ 72nd Wednesday: Storytelling Series @ 7Last Wednesday: Ladies' Comedy Night @ 7:30Book Club categories include Book of the Month, Sci Fi, Feminist, and Trans & Gay and you can just show up for themThey also make good coffee - the oat milk honey latte that I had recently was to die for. There are usually tables and plugs available to work on your computer or read. Highly recommend this spot!",voted for this review,Meredith C. and 2 others,javascript:;,Useful,3,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=0sp7zjPiP3V-ojIF38g-1w&flag_id=0k6UTmkp0wjEEgvbatO9Mw&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fvolumes-bookcafe-chicago%3Fosq%3Dvolumes%2Bbook%2Bcafe,Report review,Elite ’18,https://www.yelp.com/elite,1 check-in,[object Object],,,1
https://www.yelp.com/user_details?userid=aMcbZQ1F8VH1msiNdR8TcA,https://s3-media1.fl.yelpcdn.com/photo/oVCg7gJR5AqwUFM0pnDVSA/60s.jpg,Eric K.,"Palos Heights, IL",friends,13,reviews,78,photos,[object Object],141,https://www.yelp.com/biz_share/0sp7zjPiP3V-ojIF38g-1w/review/JSvC9sIBkbCNup57R68dDQ,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=JSvC9sIBkbCNup57R68dDQ&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fvolumes-bookcafe-chicago%3Fosq%3Dvolumes%2Bbook%2Bcafe&user_id=aMcbZQ1F8VH1msiNdR8TcA,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=aMcbZQ1F8VH1msiNdR8TcA&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fvolumes-bookcafe-chicago%3Fosq%3Dvolumes%2Bbook%2Bcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=aMcbZQ1F8VH1msiNdR8TcA&previous_url=https://www.yelp.com/biz/volumes-bookcafe-chicago?osq=volumes+book+cafe,Follow Eric K.,https://www.yelp.com/following_user/remove?dst_user_id=aMcbZQ1F8VH1msiNdR8TcA&previous_url=https://www.yelp.com/biz/volumes-bookcafe-chicago?osq=volumes+book+cafe,Stop following Eric K.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,6/7/2018,"My bookstore/cafe in Wicker Park. Love this place. Staff is always friendly and helpful. Cafe items are great! Wish they had more sales or a discount program better than save 10 when you spend 100, but 10% off is better than nothing. And as a graphic novel guy, I wish their selection was a bit bigger, but still...very cool place in a great neighborhood.Free WiFi.",voted for this review,Christine B.,javascript:;,Useful,,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=0sp7zjPiP3V-ojIF38g-1w&flag_id=JSvC9sIBkbCNup57R68dDQ&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fvolumes-bookcafe-chicago%3Fosq%3Dvolumes%2Bbook%2Bcafe,Report review,Elite ’18,https://www.yelp.com/elite,1 check-in,[object Object],https://s3-media1.fl.yelpcdn.com/bphoto/WByQKT7YvtRP6ODtP5G46A/348s.jpg,https://www.yelp.com/biz_photos/volumes-bookcafe-chicago?reviewid=JSvC9sIBkbCNup57R68dDQ&select=WByQKT7YvtRP6ODtP5G46A,1
https://www.yelp.com/user_details?userid=4Xyc8txRj-vejwcPY6rooQ,https://s3-media4.fl.yelpcdn.com/photo/smdNkZDu3eVW1KOljkFYwg/60s.jpg,MacKenzie F.,"Chicago, IL",friends,198,reviews,74,photos,[object Object],81,https://www.yelp.com/biz_share/0sp7zjPiP3V-ojIF38g-1w/review/cjQc3dinMjIfUqO95UVckA,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=cjQc3dinMjIfUqO95UVckA&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fvolumes-bookcafe-chicago%3Fosq%3Dvolumes%2Bbook%2Bcafe&user_id=4Xyc8txRj-vejwcPY6rooQ,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=4Xyc8txRj-vejwcPY6rooQ&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fvolumes-bookcafe-chicago%3Fosq%3Dvolumes%2Bbook%2Bcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=4Xyc8txRj-vejwcPY6rooQ&previous_url=https://www.yelp.com/biz/volumes-bookcafe-chicago?osq=volumes+book+cafe,Follow MacKenzie F.,https://www.yelp.com/following_user/remove?dst_user_id=4Xyc8txRj-vejwcPY6rooQ&previous_url=https://www.yelp.com/biz/volumes-bookcafe-chicago?osq=volumes+book+cafe,Stop following MacKenzie F.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,8/18/2018,Came here to do some work on a weekday and was happy with my choice. Cool bookstore to browse through with unique books and gifts available. The vanilla latte was delicious and the chocolate with peanuts muffin went well despite it being a bit dry. Such a great find; definitely planning to return,voted for this review,Christine B. and 1 other,javascript:;,Useful,,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=0sp7zjPiP3V-ojIF38g-1w&flag_id=cjQc3dinMjIfUqO95UVckA&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fvolumes-bookcafe-chicago%3Fosq%3Dvolumes%2Bbook%2Bcafe,Report review,Elite ’18,https://www.yelp.com/elite,,,https://s3-media2.fl.yelpcdn.com/bphoto/3KH9SnbkMp80gU_qfcja8Q/348s.jpg,https://www.yelp.com/biz_photos/volumes-bookcafe-chicago?reviewid=cjQc3dinMjIfUqO95UVckA&select=3KH9SnbkMp80gU_qfcja8Q,2
https://www.yelp.com/user_details?userid=dSgsY-CB8jCzXXh2Gd3sYw,https://s3-media4.fl.yelpcdn.com/photo/th7vS5K6m5iU3mMF5Z-sOg/60s.jpg,Deborah C.,"Chicago, IL",friends,122,reviews,107,photos,[object Object],54,https://www.yelp.com/biz_share/0sp7zjPiP3V-ojIF38g-1w/review/9dCicHdy2AQu-mttUVzwZA,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=9dCicHdy2AQu-mttUVzwZA&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fvolumes-bookcafe-chicago%3Fosq%3Dvolumes%2Bbook%2Bcafe&user_id=dSgsY-CB8jCzXXh2Gd3sYw,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=dSgsY-CB8jCzXXh2Gd3sYw&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fvolumes-bookcafe-chicago%3Fosq%3Dvolumes%2Bbook%2Bcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=dSgsY-CB8jCzXXh2Gd3sYw&previous_url=https://www.yelp.com/biz/volumes-bookcafe-chicago?osq=volumes+book+cafe,Follow Deborah C.,https://www.yelp.com/following_user/remove?dst_user_id=dSgsY-CB8jCzXXh2Gd3sYw&previous_url=https://www.yelp.com/biz/volumes-bookcafe-chicago?osq=volumes+book+cafe,Stop following Deborah C.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,8/14/2018,Raspberry mocha coffee drink with a ton of beautiful books around me. Love this place and the service is so nice!,Was this review …?,,,Useful,,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=0sp7zjPiP3V-ojIF38g-1w&flag_id=9dCicHdy2AQu-mttUVzwZA&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fvolumes-bookcafe-chicago%3Fosq%3Dvolumes%2Bbook%2Bcafe,Report review,Elite ’18,https://www.yelp.com/elite,,,https://s3-media4.fl.yelpcdn.com/bphoto/lK5qv5NZdGSZmW75oArU3g/348s.jpg,https://www.yelp.com/biz_photos/volumes-bookcafe-chicago?reviewid=9dCicHdy2AQu-mttUVzwZA&select=lK5qv5NZdGSZmW75oArU3g,
https://www.yelp.com/user_details?userid=mxLRPRl6TzdzFeO_uScm9w,https://s3-media1.fl.yelpcdn.com/photo/gLPBdiBxo0fmhvNQ9vRVZg/60s.jpg,Ronald Y.,"Oak Park, IL",friends,6,reviews,90,photos,[object Object],60,https://www.yelp.com/biz_share/0sp7zjPiP3V-ojIF38g-1w/review/EHQeaYgxiwvtCPpD_Jxwmw,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=EHQeaYgxiwvtCPpD_Jxwmw&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fvolumes-bookcafe-chicago%3Fosq%3Dvolumes%2Bbook%2Bcafe&user_id=mxLRPRl6TzdzFeO_uScm9w,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=mxLRPRl6TzdzFeO_uScm9w&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fvolumes-bookcafe-chicago%3Fosq%3Dvolumes%2Bbook%2Bcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=mxLRPRl6TzdzFeO_uScm9w&previous_url=https://www.yelp.com/biz/volumes-bookcafe-chicago?osq=volumes+book+cafe,Follow Ronald Y.,https://www.yelp.com/following_user/remove?dst_user_id=mxLRPRl6TzdzFeO_uScm9w&previous_url=https://www.yelp.com/biz/volumes-bookcafe-chicago?osq=volumes+book+cafe,Stop following Ronald Y.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,2/4/2018,"Volumes has a great atmosphere and because of it, it's an awesome place to sit and read (hence ""book cafe""). Nonetheless, it's a good choice to have some quiet time for a few hours.And now, the coffee. It's relatively cheap for an upscale-ish place. The serve metropolis coffee if that means anything to you. Their special beverages and pastries are quality too. I enjoyed a chai latte. It was (how you say) aesthetically pleasing and tasted great. They also have a wide selection of books to choose from. I, myself am not much of a reader so I can't say much about the selection. However, I would come back for some of their open mics and other events!",voted for this review,Christine B. and 3 others,javascript:;,Useful,2,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=0sp7zjPiP3V-ojIF38g-1w&flag_id=EHQeaYgxiwvtCPpD_Jxwmw&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fvolumes-bookcafe-chicago%3Fosq%3Dvolumes%2Bbook%2Bcafe,Report review,Elite ’18,https://www.yelp.com/elite,2 check-ins,[object Object],https://s3-media2.fl.yelpcdn.com/bphoto/Wr8n89ohoYstIfbLlqMjEg/348s.jpg,https://www.yelp.com/biz_photos/volumes-bookcafe-chicago?reviewid=EHQeaYgxiwvtCPpD_Jxwmw&select=Wr8n89ohoYstIfbLlqMjEg,2
