js-analytics-click href,photo-box-img src,user-display-name,user-location,friend-count,friend-count 2,review-count,review-count 2,arrange href,icon_svg href 3,action-link_label,arrange href 2,action-link_label 2,arrange href 3,action-link_label 3,arrange href 4,action-link_label 4,arrange href 5,action-link_label 5,arrange href 6,action-link_label 6,offscreen src,rating-qualifier,review-content,voting-intro,vote-type,vote-type 2,vote-type 3,u-space-b3,u-space-b3 src,u-space-b2,ybtn,js-maybe-later-button,chiclet-link href,tooltip,photo-count,icon_svg href 13,photo-count 2,is-elite,is-elite href,js-review-feedback-voter-list,js-review-feedback-voter-list href,count,count 2,count 3,icon_svg href 14
https://www.yelp.com/user_details?userid=8q6vJuhgs4e8jf5FkSMybA,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,Jin L.,"Manhattan, New York, NY",friends,0,review,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.yelp.com/user_details?userid=RXYInSDaP1Kcp3pSOXYBJA,https://s3-media4.fl.yelpcdn.com/photo/DN6rq6kI4uH68z5Cri7wTw/60s.jpg,Allison D.,"Chicago, IL",friend,1,reviews,6,https://www.yelp.com/biz_share/ISkVsSLvprNwiZHfku6F_A/review/W9AQkuveTnXbZu9PnKb5bw,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=W9AQkuveTnXbZu9PnKb5bw&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdollop-coffee-chicago-4%3Fosq%3DDollop&user_id=RXYInSDaP1Kcp3pSOXYBJA,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=RXYInSDaP1Kcp3pSOXYBJA&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdollop-coffee-chicago-4%3Fosq%3DDollop,Send message,https://www.yelp.com/following_user/add?dst_user_id=RXYInSDaP1Kcp3pSOXYBJA&previous_url=https://www.yelp.com/biz/dollop-coffee-chicago-4?osq=Dollop,Follow Allison D.,https://www.yelp.com/following_user/remove?dst_user_id=RXYInSDaP1Kcp3pSOXYBJA&previous_url=https://www.yelp.com/biz/dollop-coffee-chicago-4?osq=Dollop,Stop following Allison D.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,10/31/2018,"This location is very busy and there is a wait, but it is apparent that they try. There are many people working in the morning and it is nice that they say ""Thank you for waiting"" when they know it is on the longer side. Sometimes when people say that, it helps. I work nearby and go to this location because the baristas are friendly and describe their menu. (its busy and line is long for a reason folks!) Thanks Dollop for my honey cinnamon latte with soy milk! I tried one of their fall drinks (babe on the rocks? I think) and  it was good but with the weather getting cold, I'll stick to my regular. My only complaint is that sometimes a lot they run out of oat milk, but they explain that this happens to many places because of the demand/production issue. So okay, not their fault.",Was this review …?,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=ISkVsSLvprNwiZHfku6F_A&flag_id=W9AQkuveTnXbZu9PnKb5bw&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdollop-coffee-chicago-4%3Fosq%3DDollop,Report review,,,,,,,,,,,
https://www.yelp.com/user_details?userid=0Ahio65TGP6qh8IjZl-Vvg,https://s3-media2.fl.yelpcdn.com/photo/6Udi0BjbtD5EvvGd87H5Bg/60s.jpg,K B.,"Oak Park, IL",friends,0,reviews,21,https://www.yelp.com/biz_share/ISkVsSLvprNwiZHfku6F_A/review/I6M_9TfiVXDSN5pTZpQ4yQ,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=I6M_9TfiVXDSN5pTZpQ4yQ&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdollop-coffee-chicago-4%3Fosq%3DDollop&user_id=0Ahio65TGP6qh8IjZl-Vvg,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=0Ahio65TGP6qh8IjZl-Vvg&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdollop-coffee-chicago-4%3Fosq%3DDollop,Send message,https://www.yelp.com/following_user/add?dst_user_id=0Ahio65TGP6qh8IjZl-Vvg&previous_url=https://www.yelp.com/biz/dollop-coffee-chicago-4?osq=Dollop,Follow K B.,https://www.yelp.com/following_user/remove?dst_user_id=0Ahio65TGP6qh8IjZl-Vvg&previous_url=https://www.yelp.com/biz/dollop-coffee-chicago-4?osq=Dollop,Stop following K B.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,9/20/2018,"This place has a lot of mosquitos inside, strangely enough.Not kidding, during the day in the summer there are dozens of mosquitos swarming around inside around the tables where customers sit. You can see smashed mosquitos on the wall, and other mosquitos trapped(?) somehow hanging out. It's disturbing and disgusting. I've been here half a dozen times in the summer, and it's always the same. Never would have thought that MOSQUITOS would keep me from going to a coffee place.",Was this review …?,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=ISkVsSLvprNwiZHfku6F_A&flag_id=I6M_9TfiVXDSN5pTZpQ4yQ&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdollop-coffee-chicago-4%3Fosq%3DDollop,Report review,,,,,,,,,,,
https://www.yelp.com/user_details?userid=8cGHHShgDZOPAouyp3Tw6g,https://s3-media4.fl.yelpcdn.com/photo/1Xkdw_mz4oqlQ8AkTaeETA/60s.jpg,Annie K.,"Chicago, IL",friends,7,reviews,19,https://www.yelp.com/biz_share/ISkVsSLvprNwiZHfku6F_A/review/GGeUGgQ_kf5fWMI0YUet9A,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=GGeUGgQ_kf5fWMI0YUet9A&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdollop-coffee-chicago-4%3Fosq%3DDollop&user_id=8cGHHShgDZOPAouyp3Tw6g,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=8cGHHShgDZOPAouyp3Tw6g&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdollop-coffee-chicago-4%3Fosq%3DDollop,Send message,https://www.yelp.com/following_user/add?dst_user_id=8cGHHShgDZOPAouyp3Tw6g&previous_url=https://www.yelp.com/biz/dollop-coffee-chicago-4?osq=Dollop,Follow Annie K.,https://www.yelp.com/following_user/remove?dst_user_id=8cGHHShgDZOPAouyp3Tw6g&previous_url=https://www.yelp.com/biz/dollop-coffee-chicago-4?osq=Dollop,Stop following Annie K.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,8/8/2018,"Ok super annoyed with this place. Their coffee is fine not amazing not terrible.I'm giving them 2 stars because of their stale ass bread.  I gave them a free pass the first time it happened. I got a sandwich and the bread was clearly toasted in an attempt to hide the staleness of the bread.  Today I got a bagel and again it was hard and stale and absolutely disgusting.  Went straight to the trash.Thanks for ruining breakfast, Dollop.",Was this review …?,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=ISkVsSLvprNwiZHfku6F_A&flag_id=GGeUGgQ_kf5fWMI0YUet9A&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdollop-coffee-chicago-4%3Fosq%3DDollop,Report review,photo,[object Object],1,,,,,,,,
https://www.yelp.com/user_details?userid=_gIEB_Oz0OotU8X5aXr4tg,https://s3-media4.fl.yelpcdn.com/photo/RaU5QYGiQJ9VWyMmGE8rfw/60s.jpg,Megan C.,"Chicago, IL",friends,203,reviews,241,https://www.yelp.com/biz_share/ISkVsSLvprNwiZHfku6F_A/review/0AEmQpkv3WqKNpgm5q_WOw,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=0AEmQpkv3WqKNpgm5q_WOw&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdollop-coffee-chicago-4%3Fosq%3DDollop&user_id=_gIEB_Oz0OotU8X5aXr4tg,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=_gIEB_Oz0OotU8X5aXr4tg&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdollop-coffee-chicago-4%3Fosq%3DDollop,Send message,https://www.yelp.com/following_user/add?dst_user_id=_gIEB_Oz0OotU8X5aXr4tg&previous_url=https://www.yelp.com/biz/dollop-coffee-chicago-4?osq=Dollop,Follow Megan C.,https://www.yelp.com/following_user/remove?dst_user_id=_gIEB_Oz0OotU8X5aXr4tg&previous_url=https://www.yelp.com/biz/dollop-coffee-chicago-4?osq=Dollop,Stop following Megan C.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,11/5/2018,"I had a very nice cortado here this morning, and the service was very friendly. I would definitely come back as it's a great location close to the theater district, and the space is very open and inviting - there is awesome natural light if you are into that :)",voted for this review,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=ISkVsSLvprNwiZHfku6F_A&flag_id=0AEmQpkv3WqKNpgm5q_WOw&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdollop-coffee-chicago-4%3Fosq%3DDollop,Report review,photos,[object Object],140,Elite ’18,https://www.yelp.com/elite,Jack G. and 4 others,javascript:;,4,1,3,
https://www.yelp.com/user_details?userid=j3jaM4FyZPlDZy0m17stlw,https://s3-media2.fl.yelpcdn.com/photo/xFtHu0ckKrlfM_J9wnmcsA/60s.jpg,Jonna N.,"Chicago, IL",friends,227,reviews,271,https://www.yelp.com/biz_share/ISkVsSLvprNwiZHfku6F_A/review/caQ2d6WbEU8r58R_wFO-7Q,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=caQ2d6WbEU8r58R_wFO-7Q&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdollop-coffee-chicago-4%3Fosq%3DDollop&user_id=j3jaM4FyZPlDZy0m17stlw,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=j3jaM4FyZPlDZy0m17stlw&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdollop-coffee-chicago-4%3Fosq%3DDollop,Send message,https://www.yelp.com/following_user/add?dst_user_id=j3jaM4FyZPlDZy0m17stlw&previous_url=https://www.yelp.com/biz/dollop-coffee-chicago-4?osq=Dollop,Follow Jonna N.,https://www.yelp.com/following_user/remove?dst_user_id=j3jaM4FyZPlDZy0m17stlw&previous_url=https://www.yelp.com/biz/dollop-coffee-chicago-4?osq=Dollop,Stop following Jonna N.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,7/2/2018,"I work right in the building but I'm always here when there's a super long line so once I saw there wasn't a line then I went right in!I know of the design studio (Firebelly Design) who branded this shop so I was already in love with the aesthetic. I'm always on the search for coffee shops that offer great matcha. This one I can add to the list! They told me straight up that their matcha is unsweetened, but they have flavors that can sweeten the drink. There's a list by the cashier. I got ended up getting hazelnut. It was tasty.It's nice that there's unsweetened matcha so if I am not feeling like sugar then I can get it without sugar. There's tons of places whose matcha is too sweet and I need to drink some water after to clear the sweet taste from my mouth. I didn't get that here! So bonus!Overall, definitely worth going to!",voted for this review,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=ISkVsSLvprNwiZHfku6F_A&flag_id=caQ2d6WbEU8r58R_wFO-7Q&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdollop-coffee-chicago-4%3Fosq%3DDollop,Report review,photos,[object Object],1310,Elite ’18,https://www.yelp.com/elite,Doug T. and 2 others,javascript:;,2,2,3,[object Object]
https://www.yelp.com/user_details?userid=76TqU4dweJciWy1WvoW-rA,https://s3-media2.fl.yelpcdn.com/photo/FqjBh_7thPO_D1w8r0DTVA/60s.jpg,Rick L.,"CA, CA",friends,778,reviews,209,https://www.yelp.com/biz_share/ISkVsSLvprNwiZHfku6F_A/review/UQJw0V1uWjpE3FNDpY_wWg,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=UQJw0V1uWjpE3FNDpY_wWg&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdollop-coffee-chicago-4%3Fosq%3DDollop&user_id=76TqU4dweJciWy1WvoW-rA,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=76TqU4dweJciWy1WvoW-rA&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdollop-coffee-chicago-4%3Fosq%3DDollop,Send message,https://www.yelp.com/following_user/add?dst_user_id=76TqU4dweJciWy1WvoW-rA&previous_url=https://www.yelp.com/biz/dollop-coffee-chicago-4?osq=Dollop,Follow Rick L.,https://www.yelp.com/following_user/remove?dst_user_id=76TqU4dweJciWy1WvoW-rA&previous_url=https://www.yelp.com/biz/dollop-coffee-chicago-4?osq=Dollop,Stop following Rick L.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,7/17/2018,"Dollop is an order at the counter coffee-shop with multiple locations south of the river in downtown Chicago. There are many coffee options including drips, pour-overs and an Impressive tea collection as well.I had a drip coffee which was bold enough, though I still haven't had my fantasy dark, bold, non-acidic, not too bright coffee in Chicago.My wife had the green jasmine tea which compared to the one she had yesterday which had a more jasmine/floral presence, this one was heavy on the green and not so much on the jasmine / floral. She remarked she could have just ordered a ""green tea"".They have Vegetarian quiche available (which excite me) along with a veggie dandwich, and a Brie Sandwich with fig jam (also enticing to me a s vegetarian), but with biscuits on the menu, that's automatically the direction I default to. I had the egg and cheddar biscuit. I asked if they could make it with egg whites and they said ""no"", they get the eggs this way so it was a bit disappointing to me to learn the food was essentially not made to order. It also tasted a bit-reheated which is kind of obvious to tell with biscuits. It was also too hot when I received it...the cheddar cheese on it was over-melted and didn't have much of a taste. It tasted like I was getting biscuit and egg. Cheddar on a biscuit should be not quite so melted so the cheddar flavor shines through.I'd give the place another try if I'm back in Chicago...but with so many options downtown it wouldn't be top on the go-to list.",Was this review …?,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=ISkVsSLvprNwiZHfku6F_A&flag_id=UQJw0V1uWjpE3FNDpY_wWg&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdollop-coffee-chicago-4%3Fosq%3DDollop,Report review,photos,[object Object],452,Elite ’18,https://www.yelp.com/elite,,,,,,
https://www.yelp.com/user_details?userid=EgjT_MWgYORvznhOFebIGw,https://s3-media4.fl.yelpcdn.com/photo/aufX9EeedZQpbNBHeZssCA/60s.jpg,John Rhys T.,"Chicago Loop, Chicago, IL",friends,0,review,1,https://www.yelp.com/biz_share/ISkVsSLvprNwiZHfku6F_A/review/a86_AcwNkWd7InbgSPe6CA,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=a86_AcwNkWd7InbgSPe6CA&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdollop-coffee-chicago-4%3Fosq%3DDollop&user_id=EgjT_MWgYORvznhOFebIGw,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=EgjT_MWgYORvznhOFebIGw&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdollop-coffee-chicago-4%3Fosq%3DDollop,Send message,https://www.yelp.com/following_user/add?dst_user_id=EgjT_MWgYORvznhOFebIGw&previous_url=https://www.yelp.com/biz/dollop-coffee-chicago-4?osq=Dollop,Follow John Rhys T.,https://www.yelp.com/following_user/remove?dst_user_id=EgjT_MWgYORvznhOFebIGw&previous_url=https://www.yelp.com/biz/dollop-coffee-chicago-4?osq=Dollop,Stop following John Rhys T.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,11/9/2018,"The cold brew is amazing! Service is friendly with a smile and the sandwiches are fast, tasty and on fleek. It gets very crowded but is totally expected for this area. I seen the staff handle crowded situations in which I would have died. Excellent job all around! The coffee comes out faster than this Yelp review is posting ATM haha",Was this review …?,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=ISkVsSLvprNwiZHfku6F_A&flag_id=a86_AcwNkWd7InbgSPe6CA&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdollop-coffee-chicago-4%3Fosq%3DDollop,Report review,,,,,,,,,,,
https://www.yelp.com/user_details?userid=jQ3y8_wBvQvBHYZcPGxZTg,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,Hali H.,"Seattle, WA",friends,0,reviews,17,https://www.yelp.com/biz_share/ISkVsSLvprNwiZHfku6F_A/review/kc3PcgNgi-5-9JGTGOhLqA,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=kc3PcgNgi-5-9JGTGOhLqA&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdollop-coffee-chicago-4%3Fosq%3DDollop&user_id=jQ3y8_wBvQvBHYZcPGxZTg,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=jQ3y8_wBvQvBHYZcPGxZTg&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdollop-coffee-chicago-4%3Fosq%3DDollop,Send message,https://www.yelp.com/following_user/add?dst_user_id=jQ3y8_wBvQvBHYZcPGxZTg&previous_url=https://www.yelp.com/biz/dollop-coffee-chicago-4?osq=Dollop,Follow Hali H.,https://www.yelp.com/following_user/remove?dst_user_id=jQ3y8_wBvQvBHYZcPGxZTg&previous_url=https://www.yelp.com/biz/dollop-coffee-chicago-4?osq=Dollop,Stop following Hali H.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,11/10/2018,Great coffee. Loved that I could have an almond milk latte! But no bathroom!? In a coffee place?,Was this review …?,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=ISkVsSLvprNwiZHfku6F_A&flag_id=kc3PcgNgi-5-9JGTGOhLqA&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdollop-coffee-chicago-4%3Fosq%3DDollop,Report review,,,,,,,,,,,
https://www.yelp.com/user_details?userid=kW2dk1CWihmh3g7k9N2G8A,https://s3-media3.fl.yelpcdn.com/photo/FYABbsozhVIn1VZjqcH8hA/60s.jpg,Shradha A.,"Chicago, IL",friends,696,reviews,2165,https://www.yelp.com/biz_share/ISkVsSLvprNwiZHfku6F_A/review/DDGYSNeYz7zMuczWHMhK8w,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=DDGYSNeYz7zMuczWHMhK8w&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdollop-coffee-chicago-4%3Fosq%3DDollop&user_id=kW2dk1CWihmh3g7k9N2G8A,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=kW2dk1CWihmh3g7k9N2G8A&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdollop-coffee-chicago-4%3Fosq%3DDollop,Send message,https://www.yelp.com/following_user/add?dst_user_id=kW2dk1CWihmh3g7k9N2G8A&previous_url=https://www.yelp.com/biz/dollop-coffee-chicago-4?osq=Dollop,Follow Shradha A.,https://www.yelp.com/following_user/remove?dst_user_id=kW2dk1CWihmh3g7k9N2G8A&previous_url=https://www.yelp.com/biz/dollop-coffee-chicago-4?osq=Dollop,Stop following Shradha A.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,8/19/2018,"I like the two Dollop locations in Streeterville and Gold Coast. This location was very disappointing - coffee was bitter, service was super slow, seating was minimal and uncomfortable. One of our drinks was handed over to us while leaking from the bottom and the barista could not be bothered to change the cup.",voted for this review,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=ISkVsSLvprNwiZHfku6F_A&flag_id=DDGYSNeYz7zMuczWHMhK8w&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdollop-coffee-chicago-4%3Fosq%3DDollop,Report review,photos,[object Object],188,Elite ’18,https://www.yelp.com/elite,Scott N. and 1 other,javascript:;,2,,,[object Object]
