js-analytics-click href,photo-box-img src,user-display-name,user-location,friend-count,friend-count 2,review-count,review-count 2,photo-count,icon_svg href 3,photo-count 2,arrange href,icon_svg href 4,action-link_label,arrange href 2,action-link_label 2,arrange href 3,action-link_label 3,arrange href 4,action-link_label 4,arrange href 5,action-link_label 5,arrange href 6,action-link_label 6,offscreen src,rating-qualifier,review-tags_item,review-content,photo-box-img src 2,biz-shim href,photo-box-img src 3,voting-intro,vote-type,vote-type 2,vote-type 3,u-space-b3,u-space-b3 src,u-space-b2,ybtn,js-maybe-later-button,chiclet-link href,tooltip
https://www.yelp.com/user_details?userid=8q6vJuhgs4e8jf5FkSMybA,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,Jin L.,"Manhattan, New York, NY",friends,0,review,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.yelp.com/user_details?userid=dPG1cOGb7ZnyaUl8M7h4bQ,https://s3-media3.fl.yelpcdn.com/photo/DcWEQ0nD_i3qAIHYXerr8w/60s.jpg,Rou M.,"Irvine, CA",friends,143,reviews,410,photos,[object Object],358,https://www.yelp.com/biz_share/DgUhZRv8r9lzJK2lo60ogw/review/i8L15TGDU7JsP3rI2SWwkg,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=i8L15TGDU7JsP3rI2SWwkg&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fnilly-cafe-chicago-2%3Fosq%3Dcafe&user_id=dPG1cOGb7ZnyaUl8M7h4bQ,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=dPG1cOGb7ZnyaUl8M7h4bQ&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fnilly-cafe-chicago-2%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=dPG1cOGb7ZnyaUl8M7h4bQ&previous_url=https://www.yelp.com/biz/nilly-cafe-chicago-2?osq=cafe,Follow Rou M.,https://www.yelp.com/following_user/remove?dst_user_id=dPG1cOGb7ZnyaUl8M7h4bQ&previous_url=https://www.yelp.com/biz/nilly-cafe-chicago-2?osq=cafe,Stop following Rou M.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,9/11/2018,1 check-in,What a little gem right in front of the art institute. I'm so glad I convinced my boyfriend to make the 2 minute walk across the street instead of eating in the cafeteria.The people working there were so very friendly and attentive. The beautiful cashier (an exchange student from Greece) took her time to chat with us. They gave us suggestions and even let us sample the Gelato. Let me not forget to mention that the place is very clean and the ambiance is very cozy as well. We ordered the gyro and the meatball sub.  They both came with a little side salad and were both very delicious (we couldn't have found anything close to this at the cafeteria at the art institute for sure). Our food was ready fast and the chef even stopped by later to ask us how our food was.We decided to get some espresso and Gelato for dessert. We had the pistachio and hazelnut flavors and they were both very tasty and thick.We had some spanakopita and apple pastry to go which we devoured later. They were both so good and fluffy. I like that their pastry and their Gelato is not too sweet and of course that they're all made in house! So very impressed with the service and the hospitality. I recommend this Cafe highly!,https://s3-media1.fl.yelpcdn.com/bphoto/n41dxcvDnoxwLtrpnc3cPA/348s.jpg,https://www.yelp.com/biz_photos/nilly-cafe-chicago-2?reviewid=i8L15TGDU7JsP3rI2SWwkg&select=n41dxcvDnoxwLtrpnc3cPA,https://s3-media3.fl.yelpcdn.com/bphoto/mDbZO6A4c8RIFPIN0JDy4g/168s.jpg,Was this review …?,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=DgUhZRv8r9lzJK2lo60ogw&flag_id=i8L15TGDU7JsP3rI2SWwkg&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fnilly-cafe-chicago-2%3Fosq%3Dcafe,Report review
https://www.yelp.com/user_details?userid=0Te5NIAvtl2oz0cg8lfoww,https://s3-media2.fl.yelpcdn.com/photo/thPP2sgMQsUbyE3Fly5Ekg/60s.jpg,Matt C.,"Sausalito, CA",friends,6,reviews,135,photos,[object Object],3,https://www.yelp.com/biz_share/DgUhZRv8r9lzJK2lo60ogw/review/0h0cq3zeaof76wwngdDZUA,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=0h0cq3zeaof76wwngdDZUA&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fnilly-cafe-chicago-2%3Fosq%3Dcafe&user_id=0Te5NIAvtl2oz0cg8lfoww,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=0Te5NIAvtl2oz0cg8lfoww&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fnilly-cafe-chicago-2%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=0Te5NIAvtl2oz0cg8lfoww&previous_url=https://www.yelp.com/biz/nilly-cafe-chicago-2?osq=cafe,Follow Matt C.,https://www.yelp.com/following_user/remove?dst_user_id=0Te5NIAvtl2oz0cg8lfoww&previous_url=https://www.yelp.com/biz/nilly-cafe-chicago-2?osq=cafe,Stop following Matt C.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,12/17/2018,,"I was really pleased to find this place within nearly a block of the hotel I was staying at. I ended up dropping in two mornings in a row. I visited at about 8 a.m. on a Monday and a Tuesday. I had a couple of egg/bagel sandwiches, and I ordered a bagel with cream cheese and a tomato to-go. Very quick, nice service. It was not busy either time I visited; it was warm inside, and there was a comfortable sitting area with books. Very pleasant.",,,,Was this review …?,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=DgUhZRv8r9lzJK2lo60ogw&flag_id=0h0cq3zeaof76wwngdDZUA&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fnilly-cafe-chicago-2%3Fosq%3Dcafe,Report review
https://www.yelp.com/user_details?userid=LwwVXz8wnuaG2y-BJZ6ouw,https://s3-media3.fl.yelpcdn.com/photo/OYu7ROvGm2Xd1KbKuHKWkA/60s.jpg,Matthew M.,"Chicago, IL",friends,65,reviews,44,,[object Object],,https://www.yelp.com/biz_share/DgUhZRv8r9lzJK2lo60ogw/review/0VYUHPXW8SFjr3IFU2JUdg,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=0VYUHPXW8SFjr3IFU2JUdg&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fnilly-cafe-chicago-2%3Fosq%3Dcafe&user_id=LwwVXz8wnuaG2y-BJZ6ouw,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=LwwVXz8wnuaG2y-BJZ6ouw&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fnilly-cafe-chicago-2%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=LwwVXz8wnuaG2y-BJZ6ouw&previous_url=https://www.yelp.com/biz/nilly-cafe-chicago-2?osq=cafe,Follow Matthew M.,https://www.yelp.com/following_user/remove?dst_user_id=LwwVXz8wnuaG2y-BJZ6ouw&previous_url=https://www.yelp.com/biz/nilly-cafe-chicago-2?osq=cafe,Stop following Matthew M.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,11/29/2018,Ordered Online with Yelp,"Service is decently friendly but the entire rest of the experience was marred by ineptitude. Ordered pickup for breakfast today, and they had no bacon for the breakfast sandwiches, and no cinnamon rolls. Should've been my first clue.Replaced the cinnamon roll with monkey bread and the bacon with ham. Food was ready early, which would've been a nice touch, but we weren't notified, so the food sat on the counter and got cold.Arrived home to find they'd put Swiss on both sandwiches (I had ordered one with cheddar) and cold food. Upon reheating it in the toaster oven, discovered mediocre food with really no redeeming qualities.Didn't get what I wanted, waited a long time for the wrong food, and it wasn't even good. Won't be back.",,,,Was this review …?,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=DgUhZRv8r9lzJK2lo60ogw&flag_id=0VYUHPXW8SFjr3IFU2JUdg&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fnilly-cafe-chicago-2%3Fosq%3Dcafe,Report review
https://www.yelp.com/user_details?userid=31N3UJj6j8D7zKxFaSVyXw,https://s3-media4.fl.yelpcdn.com/photo/03K3wkQRrGmO3V_Kgtb1YA/60s.jpg,Michael S.,"O'Fallon, MO",friends,4,reviews,201,photos,[object Object],223,https://www.yelp.com/biz_share/DgUhZRv8r9lzJK2lo60ogw/review/HKabRQcgMw04HF6T_AXDbA,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=HKabRQcgMw04HF6T_AXDbA&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fnilly-cafe-chicago-2%3Fosq%3Dcafe&user_id=31N3UJj6j8D7zKxFaSVyXw,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=31N3UJj6j8D7zKxFaSVyXw&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fnilly-cafe-chicago-2%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=31N3UJj6j8D7zKxFaSVyXw&previous_url=https://www.yelp.com/biz/nilly-cafe-chicago-2?osq=cafe,Follow Michael S.,https://www.yelp.com/following_user/remove?dst_user_id=31N3UJj6j8D7zKxFaSVyXw&previous_url=https://www.yelp.com/biz/nilly-cafe-chicago-2?osq=cafe,Stop following Michael S.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,11/27/2018,1 check-in,"Small comfortable place with a sandwich, pasta, soup, salad menu. Terrific buffet value at less than $9 for soup, pasta, pizza choices. A vegetarian pizza was so tasty I might have sworn off meat... if not for the equally satisfying pepperoni pizza. Soup was described as a gumbo but unrecognizable as the Cajun staple. More like a bland veggie soup with some rice. Things just didn't quite work out this visit as much as I hoped. Besides the bland soup and lack of salt on the tables a bathroom visit discovered the men's was out of order and the women's was short on TP, soap and paper towels. Staff was pleasant and tried to please. Worth a future try.",https://s3-media3.fl.yelpcdn.com/bphoto/mVhNAN2q-b9DcH-w9FM0IA/168s.jpg,https://www.yelp.com/biz_photos/nilly-cafe-chicago-2?reviewid=HKabRQcgMw04HF6T_AXDbA&select=mVhNAN2q-b9DcH-w9FM0IA,https://s3-media4.fl.yelpcdn.com/bphoto/IkzlNCYIG0y71Xy8f-URrw/168s.jpg,voted for this review,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=DgUhZRv8r9lzJK2lo60ogw&flag_id=HKabRQcgMw04HF6T_AXDbA&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fnilly-cafe-chicago-2%3Fosq%3Dcafe,Report review
https://www.yelp.com/user_details?userid=vTTd3ZT34-7pkxpW1zmVIw,https://s3-media4.fl.yelpcdn.com/photo/kFz9PP2MVkdVn65tX-JzYA/60s.jpg,Anna K.,"Chicago, IL",friends,2432,reviews,383,photos,[object Object],2547,https://www.yelp.com/biz_share/DgUhZRv8r9lzJK2lo60ogw/review/ip3WtctqMDw8OCKi5QeePA,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=ip3WtctqMDw8OCKi5QeePA&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fnilly-cafe-chicago-2%3Fosq%3Dcafe&user_id=vTTd3ZT34-7pkxpW1zmVIw,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=vTTd3ZT34-7pkxpW1zmVIw&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fnilly-cafe-chicago-2%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=vTTd3ZT34-7pkxpW1zmVIw&previous_url=https://www.yelp.com/biz/nilly-cafe-chicago-2?osq=cafe,Follow Anna K.,https://www.yelp.com/following_user/remove?dst_user_id=vTTd3ZT34-7pkxpW1zmVIw&previous_url=https://www.yelp.com/biz/nilly-cafe-chicago-2?osq=cafe,Stop following Anna K.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,5/30/2018,1 check-in,"Nilly Cafe's motto is ""create a little magic every day,"" which is definitely fitting, because it's a magical little spot in Chicago.First of all, the cafe was adorable even before I walked in. I noticed their logo contained a cartoon witch, which is a mascot I personally think more businesses should feature on their branding year-round! There was also plenty of outdoor seating, which is always a plus during these warm months. I was pleasantly surprised at how large the inside of the coffee shop was, especially since it was in the Loop near Michigan Avenue. There were plenty of open tables and couches, even though it was mid-morning in such a bustling area. The staff behind the counter was warm and welcoming, and I immediately noticed a giant spinning ice cream wheel behind the counter. I later learned that it was actually a GELATO wheel. Even better. I was there for a meeting and was pretty tired, so coffee was my go-to on this particular morning, BUT now I know that this is a great hidden gelato spot as well. Their coffee was great, though admittedly I'm rarely one to complain about a classic medium brew. They sell Lavazza, because Nilly is focused on Italian fare. Their coffee was a little pricier than some other smaller shops I've visited, BUT they're independent and in the Loop, so it kind of makes sense! Nilly Cafe was another impressive stop on my seemingly never-ending tour of Chicago coffee shops, and I'll definitely keep it on my radar to suggest to others looking for unique coffee spots in the city!",https://s3-media2.fl.yelpcdn.com/buphoto/Im12MvtKw87eT9dZ9SKkEw/30s.jpg,,,voted for this review,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=DgUhZRv8r9lzJK2lo60ogw&flag_id=ip3WtctqMDw8OCKi5QeePA&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fnilly-cafe-chicago-2%3Fosq%3Dcafe,Report review
https://www.yelp.com/user_details?userid=mLSGxzKslN_wtjWeHQ6BcA,https://s3-media2.fl.yelpcdn.com/photo/VtKLA-cR3F37T-J-7PHYZg/60s.jpg,Elizabeth K.,"New York, NY",friends,301,reviews,159,photos,[object Object],69,https://www.yelp.com/biz_share/DgUhZRv8r9lzJK2lo60ogw/review/_dq8ZPoYN_Gd10hhd8_wgg,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=_dq8ZPoYN_Gd10hhd8_wgg&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fnilly-cafe-chicago-2%3Fosq%3Dcafe&user_id=mLSGxzKslN_wtjWeHQ6BcA,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=mLSGxzKslN_wtjWeHQ6BcA&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fnilly-cafe-chicago-2%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=mLSGxzKslN_wtjWeHQ6BcA&previous_url=https://www.yelp.com/biz/nilly-cafe-chicago-2?osq=cafe,Follow Elizabeth K.,https://www.yelp.com/following_user/remove?dst_user_id=mLSGxzKslN_wtjWeHQ6BcA&previous_url=https://www.yelp.com/biz/nilly-cafe-chicago-2?osq=cafe,Stop following Elizabeth K.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,6/6/2018,1 check-in,"Definitely a solid lunch in Downtown Chicago. Not sure it warrants 5 stars because my sandwich was a bit greasy but it was delicious. Got the summer sandwich which was mozz and tomato on delicious bread. Came with this side dish that was lovely (had no idea what was in it) but I enjoyed it. 1 dollar drink if you buy a meal.They had WiFi, cute place with a couple comfy chairs and plenty of tables. They also had gelato and coffee.",,,,voted for this review,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=DgUhZRv8r9lzJK2lo60ogw&flag_id=_dq8ZPoYN_Gd10hhd8_wgg&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fnilly-cafe-chicago-2%3Fosq%3Dcafe,Report review
https://www.yelp.com/user_details?userid=1Mw-A4h9yWqd-a5IRvN5yQ,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,Roy M.,"Chicago Loop, Chicago, IL",friends,266,reviews,5,,,,https://www.yelp.com/biz_share/DgUhZRv8r9lzJK2lo60ogw/review/G5KcWv_DWGJ-VH98xDD5Dw,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=G5KcWv_DWGJ-VH98xDD5Dw&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fnilly-cafe-chicago-2%3Fosq%3Dcafe&user_id=1Mw-A4h9yWqd-a5IRvN5yQ,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=1Mw-A4h9yWqd-a5IRvN5yQ&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fnilly-cafe-chicago-2%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=1Mw-A4h9yWqd-a5IRvN5yQ&previous_url=https://www.yelp.com/biz/nilly-cafe-chicago-2?osq=cafe,Follow Roy M.,https://www.yelp.com/following_user/remove?dst_user_id=1Mw-A4h9yWqd-a5IRvN5yQ&previous_url=https://www.yelp.com/biz/nilly-cafe-chicago-2?osq=cafe,Stop following Roy M.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,12/18/2018,,Amazing food! Great service! Great latte and monkey bread! Come here! Wayyyy better thank Starbucks,,,,Was this review …?,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=DgUhZRv8r9lzJK2lo60ogw&flag_id=G5KcWv_DWGJ-VH98xDD5Dw&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fnilly-cafe-chicago-2%3Fosq%3Dcafe,Report review
https://www.yelp.com/user_details?userid=lyX8w3I1v_PM0VcoRwUs-Q,https://s3-media3.fl.yelpcdn.com/photo/W5O_Ze16H6x1WLqC0o5ccA/60s.jpg,Christopher B.,"Bakersfield, CA",friends,21,reviews,79,photos,[object Object],16,https://www.yelp.com/biz_share/DgUhZRv8r9lzJK2lo60ogw/review/TuSqQxKuBF4AjzUYnbJzSA,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=TuSqQxKuBF4AjzUYnbJzSA&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fnilly-cafe-chicago-2%3Fosq%3Dcafe&user_id=lyX8w3I1v_PM0VcoRwUs-Q,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=lyX8w3I1v_PM0VcoRwUs-Q&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fnilly-cafe-chicago-2%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=lyX8w3I1v_PM0VcoRwUs-Q&previous_url=https://www.yelp.com/biz/nilly-cafe-chicago-2?osq=cafe,Follow Christopher B.,https://www.yelp.com/following_user/remove?dst_user_id=lyX8w3I1v_PM0VcoRwUs-Q&previous_url=https://www.yelp.com/biz/nilly-cafe-chicago-2?osq=cafe,Stop following Christopher B.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,6/13/2018,1 check-in,"This place was #1 in Chicago? Yeah, no. It wasn't bad, but it was nothing special. Had what was basically an egg and ham McMuffin--oh, with some ugly spinach on the side as ??? A salad?? But no dressing. To put on the muffin? I guess. Anyway, there are certainly better options in the area, just look for them, unless you just need a quick bite. The menu is very basic.",https://s3-media3.fl.yelpcdn.com/bphoto/8gxufdUKKzGn9UgzGiX0TA/168s.jpg,https://www.yelp.com/biz_photos/nilly-cafe-chicago-2?reviewid=TuSqQxKuBF4AjzUYnbJzSA&select=8gxufdUKKzGn9UgzGiX0TA,https://s3-media3.fl.yelpcdn.com/bphoto/1BtyLYHCkDEI2r1r_oGsug/168s.jpg,voted for this review,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=DgUhZRv8r9lzJK2lo60ogw&flag_id=TuSqQxKuBF4AjzUYnbJzSA&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fnilly-cafe-chicago-2%3Fosq%3Dcafe,Report review
https://www.yelp.com/user_details?userid=rglDu4ZtyuGmhXZqieRuVA,https://s3-media4.fl.yelpcdn.com/photo/QikFVLuija7pZDc4kNltvA/60s.jpg,Valeria V.,"Chicago, IL",friends,21,reviews,21,photos,[object Object],36,https://www.yelp.com/biz_share/DgUhZRv8r9lzJK2lo60ogw/review/4V1s03LXlRn_FM6OcFsvbw,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=4V1s03LXlRn_FM6OcFsvbw&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fnilly-cafe-chicago-2%3Fosq%3Dcafe&user_id=rglDu4ZtyuGmhXZqieRuVA,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=rglDu4ZtyuGmhXZqieRuVA&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fnilly-cafe-chicago-2%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=rglDu4ZtyuGmhXZqieRuVA&previous_url=https://www.yelp.com/biz/nilly-cafe-chicago-2?osq=cafe,Follow Valeria V.,https://www.yelp.com/following_user/remove?dst_user_id=rglDu4ZtyuGmhXZqieRuVA&previous_url=https://www.yelp.com/biz/nilly-cafe-chicago-2?osq=cafe,Stop following Valeria V.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,8/16/2018,2 check-ins,"They have a big sign saying they don't accept cash. Like a true customer, I didn't read it. I was focused looking for smoked salmon on their menu. I ordered a smoked salmon bagel and it was delicious. The lady who was taking my order was very accommodating and found some change for me and accepted my cash. This place was already my favorite breakfast place in the Loop area when it was Ge Pa de Caffe. Now, I like it even more! They have more food options, good service and the prices are still very affordable.",,,,1 person voted for this review,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=DgUhZRv8r9lzJK2lo60ogw&flag_id=4V1s03LXlRn_FM6OcFsvbw&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fnilly-cafe-chicago-2%3Fosq%3Dcafe,Report review
