js-analytics-click href,photo-box-img src,user-display-name,user-location,friend-count,friend-count 2,review-count,review-count 2,photo-count,icon_svg href 3,photo-count 2,arrange href,icon_svg href 4,action-link_label,arrange href 2,action-link_label 2,arrange href 3,action-link_label 3,arrange href 4,action-link_label 4,arrange href 5,action-link_label 5,arrange href 6,action-link_label 6,offscreen src,rating-qualifier,review-content,photo-box-img src 2,biz-shim href,voting-intro,vote-type,vote-type 2,vote-type 3,u-space-b3,u-space-b3 src,u-space-b2,ybtn,js-maybe-later-button,chiclet-link href,tooltip,count,count 2,review-tags_item,icon_svg href 14,count 3
https://www.yelp.com/user_details?userid=8q6vJuhgs4e8jf5FkSMybA,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,Jin L.,"Manhattan, New York, NY",friends,0,review,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.yelp.com/user_details?userid=736L4n1OxLVYVl4aSeryXg,https://s3-media1.fl.yelpcdn.com/photo/8hxK6DavOQs9qqDuhUnhlA/60s.jpg,Jr. C.,"Rogers Park, Chicago, IL",friends,3,reviews,11,photos,[object Object],9,https://www.yelp.com/biz_share/GwQ88sbGm7K1Dnx_qgmt8Q/review/g6oSGxgF7zgADshTJ886Ow,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=g6oSGxgF7zgADshTJ886Ow&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fcharmers-cafe-chicago-4%3Fosq%3Dcafe&user_id=736L4n1OxLVYVl4aSeryXg,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=736L4n1OxLVYVl4aSeryXg&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fcharmers-cafe-chicago-4%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=736L4n1OxLVYVl4aSeryXg&previous_url=https://www.yelp.com/biz/charmers-cafe-chicago-4?osq=cafe,Follow Jr. C.,https://www.yelp.com/following_user/remove?dst_user_id=736L4n1OxLVYVl4aSeryXg&previous_url=https://www.yelp.com/biz/charmers-cafe-chicago-4?osq=cafe,Stop following Jr. C.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,4/6/2018,"Very friendly comfortable place to relax. Coffee, espresso, light food and great soups. Don't forget the Homers Ice Cream. Jarvis steps away from the CTA redline. Free WI-FI and printing available. Take a friend and relax",https://s3-media3.fl.yelpcdn.com/bphoto/uAVx5d-JzwzZT2sXhyG-pQ/348s.jpg,https://www.yelp.com/biz_photos/charmers-cafe-chicago-4?reviewid=g6oSGxgF7zgADshTJ886Ow&select=uAVx5d-JzwzZT2sXhyG-pQ,Was this review …?,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=GwQ88sbGm7K1Dnx_qgmt8Q&flag_id=g6oSGxgF7zgADshTJ886Ow&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fcharmers-cafe-chicago-4%3Fosq%3Dcafe,Report review,,,,,
https://www.yelp.com/user_details?userid=rDl6JCSqb_36zm964jfvdQ,https://s3-media3.fl.yelpcdn.com/photo/W8I3Ub2IWHeKUW6ZynxuTQ/60s.jpg,Katie Y.,"Evanston, IL",friends,44,reviews,140,photos,[object Object],117,https://www.yelp.com/biz_share/GwQ88sbGm7K1Dnx_qgmt8Q/review/hxpCfLSN6x_iYOwI5w0OpQ,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=hxpCfLSN6x_iYOwI5w0OpQ&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fcharmers-cafe-chicago-4%3Fosq%3Dcafe&user_id=rDl6JCSqb_36zm964jfvdQ,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=rDl6JCSqb_36zm964jfvdQ&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fcharmers-cafe-chicago-4%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=rDl6JCSqb_36zm964jfvdQ&previous_url=https://www.yelp.com/biz/charmers-cafe-chicago-4?osq=cafe,Follow Katie Y.,https://www.yelp.com/following_user/remove?dst_user_id=rDl6JCSqb_36zm964jfvdQ&previous_url=https://www.yelp.com/biz/charmers-cafe-chicago-4?osq=cafe,Stop following Katie Y.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,10/13/2018,"I ordered breakfast from here through grubhub this morning for the first time. So, while I can't speak on the restaurant itself I can say my breakfast was delicious. I got the lox breakfast sandwich. Which consists of an everything bagel with lox, cream cheese, tomatoes, and red onion. The toppings were fresh and plentiful, the bagel still reasonably warm and fresh, everything tasted flavorful and satisfying. I am reserving the final star till I can check out the actual restaurant",,,voted for this review,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=GwQ88sbGm7K1Dnx_qgmt8Q&flag_id=hxpCfLSN6x_iYOwI5w0OpQ&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fcharmers-cafe-chicago-4%3Fosq%3Dcafe,Report review,1,2,,,
https://www.yelp.com/user_details?userid=3MpDvy5gEdsbZh9-p92dHg,https://s3-media2.fl.yelpcdn.com/photo/h7Lr8LSH5C74ydz61xMvGA/60s.jpg,Cassie S.,"Deerfield, IL",friends,223,reviews,550,photos,[object Object],18,https://www.yelp.com/biz_share/GwQ88sbGm7K1Dnx_qgmt8Q/review/fMlZGSG1b3BbyMYWeDJ-zA,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=fMlZGSG1b3BbyMYWeDJ-zA&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fcharmers-cafe-chicago-4%3Fosq%3Dcafe&user_id=3MpDvy5gEdsbZh9-p92dHg,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=3MpDvy5gEdsbZh9-p92dHg&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fcharmers-cafe-chicago-4%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=3MpDvy5gEdsbZh9-p92dHg&previous_url=https://www.yelp.com/biz/charmers-cafe-chicago-4?osq=cafe,Follow Cassie S.,https://www.yelp.com/following_user/remove?dst_user_id=3MpDvy5gEdsbZh9-p92dHg&previous_url=https://www.yelp.com/biz/charmers-cafe-chicago-4?osq=cafe,Stop following Cassie S.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,3/19/2018,"The first 60 degree sunny day in a Chicago spring pretty much requires that you find somewhere to eat outside.  Having a dog with you also requires this.  Luckily, Charmers has plenty of outdoor tables and they even have a bowl of water for the dogs!  Aside from the dog, I'm glad we were able to eat outside - the inside would have been tricky to navigate with the stroller. We had lunch here on a Sunday.  It wasn't very crowded.  The menu has been significantly reduced since the last time we were here; from reading other reviews, they seemed to have transitioned away from being a restaurant to being more of a coffee shop.  Which is fine - the small menu was still sufficient for our needs.  I had the Rogers Pork sandwich and it was delicious.  Whoever had the idea to put bbq sauce on a ham sandwich deserves a medal.  Seriously. Other important details: free wi-fi. Baked goods looked yummy.  Homer's Ice Cream.  Extensive coffee menu.We're not in the area often, but when we are, I'm sure we'll be back.",,,voted for this review,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=GwQ88sbGm7K1Dnx_qgmt8Q&flag_id=fMlZGSG1b3BbyMYWeDJ-zA&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fcharmers-cafe-chicago-4%3Fosq%3Dcafe,Report review,2,1,,,
https://www.yelp.com/user_details?userid=5hbs6TwGyT2YQKeN3xef_A,https://s3-media4.fl.yelpcdn.com/photo/gYAP2sYIoKQ_NUfjjJ_w2A/60s.jpg,Lauren K.,"Lake Forest, IL",friends,517,reviews,612,photos,[object Object],2818,https://www.yelp.com/biz_share/GwQ88sbGm7K1Dnx_qgmt8Q/review/t1shQ-_JdGs-N6YtwA8J7A,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=t1shQ-_JdGs-N6YtwA8J7A&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fcharmers-cafe-chicago-4%3Fosq%3Dcafe&user_id=5hbs6TwGyT2YQKeN3xef_A,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=5hbs6TwGyT2YQKeN3xef_A&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fcharmers-cafe-chicago-4%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=5hbs6TwGyT2YQKeN3xef_A&previous_url=https://www.yelp.com/biz/charmers-cafe-chicago-4?osq=cafe,Follow Lauren K.,https://www.yelp.com/following_user/remove?dst_user_id=5hbs6TwGyT2YQKeN3xef_A&previous_url=https://www.yelp.com/biz/charmers-cafe-chicago-4?osq=cafe,Stop following Lauren K.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,7/10/2017,"Upon first glance, I thought that the sign hanging above the door was of a picturesque, wonderful Sagittarius such as myself but then I realized that the sign to Chamers Café was simply of a beautiful woman with killer curves...I figured that still describes me, hence my decision to have a work-date at this café.  We, Sagittarii (is that the plural form of Sagittarius??) are so easily charmed after all...Continuing with the theme of constellations and horoscopes - a Sagittarius is supposedly a huge explorer and loves trying new things (which I do!), so why was it that I hadn't come across this fantastic little café in all of my travels through this Rogers Park neighborhood?  I am ashamed of my failure to commit to my Sagittarius ways, especially as I am in this neighborhood at least 3 times a week.  I can see how I perhaps did not find it right away - it is nestled deeper within the neighborhood than are several other cafes in the area.  This is, indeed, one of my favorite things about Charmers Café - it's hidden, waiting for its most fervent and passionate suitors to find it and claim it for their own.My second favorite thing about this café?  The fact that they have actual swings in the coffee shop!  I was a complete idiot when coming here - I neglected to sit on the swings and fulfill every ounce of joy that my inner child was screaming for.  Instead I sat in a straight-backed chair like the adult I should be, while enviously glancing at the swings - I'm coming in again soon just to sip coffee while sitting on a swing here at Charmers Café.  The swings are definitely the focal point in the shop, but everything is laid of spaciously; this is one shop that I could sit in for a long time...when I think of an ideal coffee shop - this is it.No coffee shop would be complete without its drinks and tidings of food.  On this particular day, I was trying to cheat without cheating too badly (if that's possible) so I decided to only get a cookie from their shelf of treats.  However, this oatmeal raisin cookie was pretty big...and moist...and delicious.  Did I feel guilty for cheating on my diet with this voluptuous cookie?  You'd think yea, but no I didn't.  Neither did I feel guilty for drinking a huge cup of an almond latte.  I've been on quite the almond-flavored-anything craving, so this latte hit the spot!  The price of everything was fair, the food and drink was excellent, the atmosphere was wonderful and the service was great!  I'm not sure if it was the owner or manager of the cafe but she welcomed me as if she had known me forever...it was a very pleasant environment, and I wouldn't mind going back time after time!",https://s3-media2.fl.yelpcdn.com/bphoto/7bA127QP6OABPr6GF4X_QA/348s.jpg,https://www.yelp.com/biz_photos/charmers-cafe-chicago-4?reviewid=t1shQ-_JdGs-N6YtwA8J7A&select=7bA127QP6OABPr6GF4X_QA,voted for this review,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=GwQ88sbGm7K1Dnx_qgmt8Q&flag_id=t1shQ-_JdGs-N6YtwA8J7A&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fcharmers-cafe-chicago-4%3Fosq%3Dcafe,Report review,5,5,1 check-in,[object Object],5
https://www.yelp.com/user_details?userid=zdnLFHxaVvEOyXXit8aGmw,https://s3-media4.fl.yelpcdn.com/photo/tIq8JUbAByO0oRTXZL1hmw/60s.jpg,Jocelyn A.,"Orlando, FL",friends,96,reviews,8,photos,[object Object],7,https://www.yelp.com/biz_share/GwQ88sbGm7K1Dnx_qgmt8Q/review/mpRISmI7LcOqwTbL3PiHDw,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=mpRISmI7LcOqwTbL3PiHDw&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fcharmers-cafe-chicago-4%3Fosq%3Dcafe&user_id=zdnLFHxaVvEOyXXit8aGmw,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=zdnLFHxaVvEOyXXit8aGmw&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fcharmers-cafe-chicago-4%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=zdnLFHxaVvEOyXXit8aGmw&previous_url=https://www.yelp.com/biz/charmers-cafe-chicago-4?osq=cafe,Follow Jocelyn A.,https://www.yelp.com/following_user/remove?dst_user_id=zdnLFHxaVvEOyXXit8aGmw&previous_url=https://www.yelp.com/biz/charmers-cafe-chicago-4?osq=cafe,Stop following Jocelyn A.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,5/23/2018,"This is a cute and charming local cafe that my husband and I like to visit in the mornings. Their staff is wonderful and friendly and their smoothies are very fresh. My favorite is the berry smoothie and their summer lemon shake. The also make an excellent turkey club! My only critisicm is their menu is pretty small. They only offer three different sandwiches and a few shake flavors. Their pastry spread is pretty generic consisting of crossants, bagels, cookies, and brownies. Definitely worth a visit if you need an early morning pick me up near the Jarvis stop!",,,voted for this review,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=GwQ88sbGm7K1Dnx_qgmt8Q&flag_id=mpRISmI7LcOqwTbL3PiHDw&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fcharmers-cafe-chicago-4%3Fosq%3Dcafe,Report review,1,,,,
https://www.yelp.com/user_details?userid=ntYGirRdKr5N_Um8Nj-4ug,https://s3-media1.fl.yelpcdn.com/photo/affLPu6AMaEhwzTD5tsaPA/60s.jpg,April W.,"Chicago, IL",friends,91,reviews,319,photos,[object Object],477,https://www.yelp.com/biz_share/GwQ88sbGm7K1Dnx_qgmt8Q/review/kPxTaO0BNbZH9B0W8A9UCg,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=kPxTaO0BNbZH9B0W8A9UCg&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fcharmers-cafe-chicago-4%3Fosq%3Dcafe&user_id=ntYGirRdKr5N_Um8Nj-4ug,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=ntYGirRdKr5N_Um8Nj-4ug&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fcharmers-cafe-chicago-4%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=ntYGirRdKr5N_Um8Nj-4ug&previous_url=https://www.yelp.com/biz/charmers-cafe-chicago-4?osq=cafe,Follow April W.,https://www.yelp.com/following_user/remove?dst_user_id=ntYGirRdKr5N_Um8Nj-4ug&previous_url=https://www.yelp.com/biz/charmers-cafe-chicago-4?osq=cafe,Stop following April W.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,4/22/2017,"Love the area and the fact that I can walk here. Years ago it was a coffee shop and then switched over to a restaurant.  I never visited when it was the restaurant but I love the way they reconfigured the inside back to the coffee shop. Love the look of the place.  Was excited to see they had donuts, was not excited to hear they were from Bennisons. I had an iced coffee and it was a decent cup of coffee. I ended up getting a glazed donut cause I needed a donut for the instagram picture I wanted to take. And I was actually surprised that it was fresh and delicious.  I was intrigued by the menu items and I will be back. I've been stuck in a longTime Starbucks rut so I'mGlad I've been exploring other coffee options in the area like this place and sol cafe.",https://s3-media3.fl.yelpcdn.com/bphoto/1_zRmJ2xKe7-0UOoT8icQg/168s.jpg,https://www.yelp.com/biz_photos/charmers-cafe-chicago-4?reviewid=kPxTaO0BNbZH9B0W8A9UCg&select=1_zRmJ2xKe7-0UOoT8icQg,Was this review …?,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=GwQ88sbGm7K1Dnx_qgmt8Q&flag_id=kPxTaO0BNbZH9B0W8A9UCg&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fcharmers-cafe-chicago-4%3Fosq%3Dcafe,Report review,,,,,
https://www.yelp.com/user_details?userid=uiK-UJQUnEc-icRmudvWoA,https://s3-media4.fl.yelpcdn.com/photo/IcpY1S3CBdj86aHXqvDPrg/60s.jpg,Victoria K.,"Chicago, IL",friends,597,reviews,248,photos,[object Object],688,https://www.yelp.com/biz_share/GwQ88sbGm7K1Dnx_qgmt8Q/review/HDe-CoDdBx_mIaNd6G9BiA,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=HDe-CoDdBx_mIaNd6G9BiA&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fcharmers-cafe-chicago-4%3Fosq%3Dcafe&user_id=uiK-UJQUnEc-icRmudvWoA,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=uiK-UJQUnEc-icRmudvWoA&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fcharmers-cafe-chicago-4%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=uiK-UJQUnEc-icRmudvWoA&previous_url=https://www.yelp.com/biz/charmers-cafe-chicago-4?osq=cafe,Follow Victoria K.,https://www.yelp.com/following_user/remove?dst_user_id=uiK-UJQUnEc-icRmudvWoA&previous_url=https://www.yelp.com/biz/charmers-cafe-chicago-4?osq=cafe,Stop following Victoria K.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,7/18/2016,"Really enjoyed the chocolate scone and drink beverages here as well as the cute interior and friendly service!Ordered the Matcha Latte 12oz with soy milk, Cappuccino 12oz with almond milk, and a chocolate scone!The Matcha Latte was perfectly sweetened and there was no overpowering bitterness from an excessive use of the matcha powder either. There was no a pool of matcha powder at the end of my drink either which was nice. The Cappuccino was different than the ones I've had, as the foam on top was not a thick layer but inside a light bubbly cloud almost like a dollop. The drink overall was very delicious and the almond milk made it was nutty. The chocolate scone was not overly sweet and there was a plentiful amount of chocolate chips used inside and the chocolate glaze on top was phenomenal! I really enjoyed my time here and the swing seats are great! The wifi they have set up for customers makes me want to spend a lifetime in there and I would have no complaints! If they started serving more savory food items there, that would be fantastic!",https://s3-media1.fl.yelpcdn.com/bphoto/E5tTUazv7JyG_af0WdrlOg/348s.jpg,https://www.yelp.com/biz_photos/charmers-cafe-chicago-4?reviewid=HDe-CoDdBx_mIaNd6G9BiA&select=E5tTUazv7JyG_af0WdrlOg,3 people voted for this review,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=GwQ88sbGm7K1Dnx_qgmt8Q&flag_id=HDe-CoDdBx_mIaNd6G9BiA&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fcharmers-cafe-chicago-4%3Fosq%3Dcafe,Report review,2,2,,,
https://www.yelp.com/user_details?userid=pEPpAYo79ETbZy465SON4g,https://s3-media3.fl.yelpcdn.com/photo/kNPYLv_4QeU1cMmCm_u2vQ/60s.jpg,Whitney B.,"Chicago, IL",friends,26,reviews,4,photos,[object Object],3,https://www.yelp.com/biz_share/GwQ88sbGm7K1Dnx_qgmt8Q/review/VAg_8HA-aWohE7QgaeMkdA,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=VAg_8HA-aWohE7QgaeMkdA&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fcharmers-cafe-chicago-4%3Fosq%3Dcafe&user_id=pEPpAYo79ETbZy465SON4g,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=pEPpAYo79ETbZy465SON4g&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fcharmers-cafe-chicago-4%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=pEPpAYo79ETbZy465SON4g&previous_url=https://www.yelp.com/biz/charmers-cafe-chicago-4?osq=cafe,Follow Whitney B.,https://www.yelp.com/following_user/remove?dst_user_id=pEPpAYo79ETbZy465SON4g&previous_url=https://www.yelp.com/biz/charmers-cafe-chicago-4?osq=cafe,Stop following Whitney B.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,3/15/2018,"Great staff, delicious food and really laid back atmosphere.",,,voted for this review,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=GwQ88sbGm7K1Dnx_qgmt8Q&flag_id=VAg_8HA-aWohE7QgaeMkdA&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fcharmers-cafe-chicago-4%3Fosq%3Dcafe,Report review,1,,,,
https://www.yelp.com/user_details?userid=yAIwM1CMdUc1mxka-KFsew,https://s3-media2.fl.yelpcdn.com/photo/x8Qv75i_wqFHQGCq-GUSlw/60s.jpg,Roseann M.,"Chicago, IL",friends,143,reviews,509,photos,[object Object],117,https://www.yelp.com/biz_share/GwQ88sbGm7K1Dnx_qgmt8Q/review/QeyG4C6CYQ0_sCCbIfkdAQ,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=QeyG4C6CYQ0_sCCbIfkdAQ&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fcharmers-cafe-chicago-4%3Fosq%3Dcafe&user_id=yAIwM1CMdUc1mxka-KFsew,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=yAIwM1CMdUc1mxka-KFsew&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fcharmers-cafe-chicago-4%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=yAIwM1CMdUc1mxka-KFsew&previous_url=https://www.yelp.com/biz/charmers-cafe-chicago-4?osq=cafe,Follow Roseann M.,https://www.yelp.com/following_user/remove?dst_user_id=yAIwM1CMdUc1mxka-KFsew&previous_url=https://www.yelp.com/biz/charmers-cafe-chicago-4?osq=cafe,Stop following Roseann M.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,1/4/2017,"Charmers definitely is a charming place, with comfortable, well-spaced-out seating indoors, and a few tables on the sidewalk. Although the El runs nearby, it's surprisingly peaceful and relaxing to sit outdoors. As with all Rogers Park establishments, parking is not bad during the day, but next to impossible evenings and weekends. I usually visit mid-day; at that time, the crowds are small, and parking is pretty easy.The coffee is good. The treats are good. The Wi-Fi connection is strong. The staff is friendly and efficient. The other customers are either working on their electronic devices or conducting quiet conversations. Many of the Rogers Parkers I know count Charmers as a favorite destination for conversation, work, snacks, or whatever other socially acceptable thing people do in neighborhood coffeehouses.You do see a few marginal people passing by when you sit outdoors, but that is also typical of Rogers Park. Sorry, citizens of Rogers Park, but there are some strange people in your neighborhood, who are out wandering aimlessly, pissing, begging, and conducting conversations with the invisible people who live in their heads. It's a little unnerving. That's why I typically sit indoors at Charmers, even on nice summer days.I saw recently that Charmers was selling hot dogs. Please, Charmers, include veggie dogs with your selection, and consider getting some vegan treats. Then you'd be as busy daytimes as you are on weekends.Charmers also has the advantage of location. It's only a few blocks from the lakefront. That's a nice walk after you've eaten a scone the size of your head.I recommend Charmers. Go there - now.",,,voted for this review,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=GwQ88sbGm7K1Dnx_qgmt8Q&flag_id=QeyG4C6CYQ0_sCCbIfkdAQ&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fcharmers-cafe-chicago-4%3Fosq%3Dcafe,Report review,2,2,1 check-in,[object Object],2
