js-analytics-click href,photo-box-img src,user-display-name,user-location,friend-count,friend-count 2,review-count,review-count 2,photo-count,icon_svg href 3,photo-count 2,arrange href,icon_svg href 4,action-link_label,arrange href 2,action-link_label 2,arrange href 3,action-link_label 3,arrange href 4,action-link_label 4,arrange href 5,action-link_label 5,arrange href 6,action-link_label 6,offscreen src,rating-qualifier,review-content,voting-intro,vote-type,vote-type 2,vote-type 3,u-space-b3,u-space-b3 src,u-space-b2,ybtn,js-maybe-later-button,chiclet-link href,tooltip,count,count 2
https://www.yelp.com/user_details?userid=8q6vJuhgs4e8jf5FkSMybA,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,Jin L.,"Manhattan, New York, NY",friends,0,review,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.yelp.com/user_details?userid=izgwg7F5qStiylWelY4ryw,https://s3-media3.fl.yelpcdn.com/photo/EDPu09EtmOAFf-AF3tb2zg/60s.jpg,Matt R.,"Los Angeles, CA",friends,103,reviews,9,photo,[object Object],1,https://www.yelp.com/biz_share/kmTa3vsoc9TskIJXUaq9Sg/review/1uMBfWkufs7jGI16N8X-Jw,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=1uMBfWkufs7jGI16N8X-Jw&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsmack-dab-chicago-11%3Fosq%3Dcafe&user_id=izgwg7F5qStiylWelY4ryw,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=izgwg7F5qStiylWelY4ryw&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsmack-dab-chicago-11%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=izgwg7F5qStiylWelY4ryw&previous_url=https://www.yelp.com/biz/smack-dab-chicago-11?osq=cafe,Follow Matt R.,https://www.yelp.com/following_user/remove?dst_user_id=izgwg7F5qStiylWelY4ryw&previous_url=https://www.yelp.com/biz/smack-dab-chicago-11?osq=cafe,Stop following Matt R.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,10/27/2018,First time and was blown away by the customer service! Was visiting from out of town and was greeted by a nice lady who welcomed us and offered us a free donut since it was our first visit. The food was also amazing! If I lived in the area this would be my 2nd home.,Was this review …?,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=kmTa3vsoc9TskIJXUaq9Sg&flag_id=1uMBfWkufs7jGI16N8X-Jw&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsmack-dab-chicago-11%3Fosq%3Dcafe,Report review,,
https://www.yelp.com/user_details?userid=HzcqOHVzHjb1ijr3KSYR2Q,https://s3-media4.fl.yelpcdn.com/photo/FXs7SV7-syjq6qlSwjFYSA/60s.jpg,Victoria B.,"Aurora, IL",friends,99,reviews,313,photos,[object Object],2884,https://www.yelp.com/biz_share/kmTa3vsoc9TskIJXUaq9Sg/review/9qiAXzRL7Dq5PSGN6ibrGQ,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=9qiAXzRL7Dq5PSGN6ibrGQ&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsmack-dab-chicago-11%3Fosq%3Dcafe&user_id=HzcqOHVzHjb1ijr3KSYR2Q,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=HzcqOHVzHjb1ijr3KSYR2Q&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsmack-dab-chicago-11%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=HzcqOHVzHjb1ijr3KSYR2Q&previous_url=https://www.yelp.com/biz/smack-dab-chicago-11?osq=cafe,Follow Victoria B.,https://www.yelp.com/following_user/remove?dst_user_id=HzcqOHVzHjb1ijr3KSYR2Q&previous_url=https://www.yelp.com/biz/smack-dab-chicago-11?osq=cafe,Stop following Victoria B.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,9/10/2018,Pop up Smack Dab.. breakfast sandwiches on the go with a vegan red velvet donut and a side of cold brew coffee. Just awesome.  I heart the best seller with ham bacon jam made it delicious. Although its kinda pricey but after tiring it worth it while in Rogers Park. The red velvet donut not bad at all tasty. Not much of a sweets person but good overall.  Definitely worth the come back when I'm in Rogers Park again.,voted for this review,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=kmTa3vsoc9TskIJXUaq9Sg&flag_id=9qiAXzRL7Dq5PSGN6ibrGQ&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsmack-dab-chicago-11%3Fosq%3Dcafe,Report review,1,2
https://www.yelp.com/user_details?userid=lKFxqBwYVMXIBbaWIZwcRA,https://s3-media2.fl.yelpcdn.com/photo/ehqIfpMBlrfnp8Gwv5TQoQ/60s.jpg,Haena Y.,"Palatine, IL",friends,9,reviews,32,photos,[object Object],48,https://www.yelp.com/biz_share/kmTa3vsoc9TskIJXUaq9Sg/review/Yv8CMYFSimlg95Eaye-euw,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=Yv8CMYFSimlg95Eaye-euw&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsmack-dab-chicago-11%3Fosq%3Dcafe&user_id=lKFxqBwYVMXIBbaWIZwcRA,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=lKFxqBwYVMXIBbaWIZwcRA&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsmack-dab-chicago-11%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=lKFxqBwYVMXIBbaWIZwcRA&previous_url=https://www.yelp.com/biz/smack-dab-chicago-11?osq=cafe,Follow Haena Y.,https://www.yelp.com/following_user/remove?dst_user_id=lKFxqBwYVMXIBbaWIZwcRA&previous_url=https://www.yelp.com/biz/smack-dab-chicago-11?osq=cafe,Stop following Haena Y.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,5/8/2018,"The bacon ham and chive mayo combo was amazing! Biscuits are super butter and soft. BEST. BISCUIT. SANDWICH. EVER. The mango glazed donut was ok, kinda tasted fruity, had a homemade feel to it The Glenwood location had an outside seating area as well as a parking lot! Great casual brunch place!!!!",voted for this review,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=kmTa3vsoc9TskIJXUaq9Sg&flag_id=Yv8CMYFSimlg95Eaye-euw&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsmack-dab-chicago-11%3Fosq%3Dcafe,Report review,1,
https://www.yelp.com/user_details?userid=89CUy9NWIQMaRbmbzbAkvw,https://s3-media2.fl.yelpcdn.com/photo/ecsNz2EwLecrIEp1RPdrUQ/60s.jpg,Rich S.,"Los Angeles, CA",friends,0,reviews,2,,,,https://www.yelp.com/biz_share/kmTa3vsoc9TskIJXUaq9Sg/review/-ZLjqRkwzFYWi2PvthFYsw,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=-ZLjqRkwzFYWi2PvthFYsw&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsmack-dab-chicago-11%3Fosq%3Dcafe&user_id=89CUy9NWIQMaRbmbzbAkvw,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=89CUy9NWIQMaRbmbzbAkvw&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsmack-dab-chicago-11%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=89CUy9NWIQMaRbmbzbAkvw&previous_url=https://www.yelp.com/biz/smack-dab-chicago-11?osq=cafe,Follow Rich S.,https://www.yelp.com/following_user/remove?dst_user_id=89CUy9NWIQMaRbmbzbAkvw&previous_url=https://www.yelp.com/biz/smack-dab-chicago-11?osq=cafe,Stop following Rich S.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,9/16/2018,"The food was over priced, bland and took a long time to come out of the kitchen incorrect. On our table there was a croissant (soft and boring); a Greens Scramble and a Denver Scramble (the eggs tasted old or something); and  a side of sweet potatoes (actually pretty good).This is boring food for gentrifiers.",voted for this review,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=kmTa3vsoc9TskIJXUaq9Sg&flag_id=-ZLjqRkwzFYWi2PvthFYsw&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsmack-dab-chicago-11%3Fosq%3Dcafe,Report review,1,
https://www.yelp.com/user_details?userid=h56izfpoJm5iP_N6qWMJ8A,https://s3-media2.fl.yelpcdn.com/photo/xjckx2jwu9-WQ6ONe5iHEg/60s.jpg,Yaeko M.,"Chicago, IL",friends,47,reviews,348,photos,[object Object],18,https://www.yelp.com/biz_share/kmTa3vsoc9TskIJXUaq9Sg/review/C-8GOzZ6TkrWclyMDGAAOQ,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=C-8GOzZ6TkrWclyMDGAAOQ&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsmack-dab-chicago-11%3Fosq%3Dcafe&user_id=h56izfpoJm5iP_N6qWMJ8A,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=h56izfpoJm5iP_N6qWMJ8A&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsmack-dab-chicago-11%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=h56izfpoJm5iP_N6qWMJ8A&previous_url=https://www.yelp.com/biz/smack-dab-chicago-11?osq=cafe,Follow Yaeko M.,https://www.yelp.com/following_user/remove?dst_user_id=h56izfpoJm5iP_N6qWMJ8A&previous_url=https://www.yelp.com/biz/smack-dab-chicago-11?osq=cafe,Stop following Yaeko M.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,3/27/2018,I love their donuts. Yummy.  The coffee is good. I will go back for the donuts and the coffee.Sure the egg sandwich was very good as many of reviewers commented.I had a basic - the best seller egg sandwich and it's $9.00.  Donuts 3 for $4.5 and coffee 16oz is $3.I thought the price range is higher side for the volume even organic ingredients are used. Ambiance: Good Service: GoodFood: GoodPrice: High,voted for this review,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=kmTa3vsoc9TskIJXUaq9Sg&flag_id=C-8GOzZ6TkrWclyMDGAAOQ&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsmack-dab-chicago-11%3Fosq%3Dcafe,Report review,4,
https://www.yelp.com/user_details?userid=68DCZQ1od2mi7ZGPzYhW0Q,https://s3-media3.fl.yelpcdn.com/photo/apMvhv_sIMjBRpcP-HB3gQ/60s.jpg,Willie W.,"Medford, MA",friends,11,reviews,4,,,,https://www.yelp.com/biz_share/kmTa3vsoc9TskIJXUaq9Sg/review/Ng0_zmiuVQioDwTpR0u5bA,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=Ng0_zmiuVQioDwTpR0u5bA&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsmack-dab-chicago-11%3Fosq%3Dcafe&user_id=68DCZQ1od2mi7ZGPzYhW0Q,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=68DCZQ1od2mi7ZGPzYhW0Q&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsmack-dab-chicago-11%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=68DCZQ1od2mi7ZGPzYhW0Q&previous_url=https://www.yelp.com/biz/smack-dab-chicago-11?osq=cafe,Follow Willie W.,https://www.yelp.com/following_user/remove?dst_user_id=68DCZQ1od2mi7ZGPzYhW0Q&previous_url=https://www.yelp.com/biz/smack-dab-chicago-11?osq=cafe,Stop following Willie W.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,9/15/2018,"Food is amazing, though not a single $, as it is labeled.My main disappointment is that it is ridiculous for an egg sandwich to take 25 minutes to make.",Was this review …?,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=kmTa3vsoc9TskIJXUaq9Sg&flag_id=Ng0_zmiuVQioDwTpR0u5bA&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsmack-dab-chicago-11%3Fosq%3Dcafe,Report review,,
https://www.yelp.com/user_details?userid=mnf6Xsjr9rLTmr1pUy-T2g,https://s3-media1.fl.yelpcdn.com/photo/-WvFdcIvLRegbw7O3Om0HQ/60s.jpg,Amy M.,"Waterford Township, MI",friends,134,reviews,24,photos,[object Object],4,https://www.yelp.com/biz_share/kmTa3vsoc9TskIJXUaq9Sg/review/tdDuK6HhtPjwzGm96EJRQQ,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=tdDuK6HhtPjwzGm96EJRQQ&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsmack-dab-chicago-11%3Fosq%3Dcafe&user_id=mnf6Xsjr9rLTmr1pUy-T2g,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=mnf6Xsjr9rLTmr1pUy-T2g&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsmack-dab-chicago-11%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=mnf6Xsjr9rLTmr1pUy-T2g&previous_url=https://www.yelp.com/biz/smack-dab-chicago-11?osq=cafe,Follow Amy M.,https://www.yelp.com/following_user/remove?dst_user_id=mnf6Xsjr9rLTmr1pUy-T2g&previous_url=https://www.yelp.com/biz/smack-dab-chicago-11?osq=cafe,Stop following Amy M.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,2/18/2018,"Um what? AMAZING. Check out this egg sandwich with tomato jam on a cheesy herb biscuit. Great music. Local art on the wall. Women with dogs in the corner. Delish coffee. (You'll wash down nicely my hot sandwich from heaven.)I'll be back for you, bacon jam. Parking is a little limited. Hope your parallel parking skills are on point. What does that have to do with this amazing little gem, Smack Dab? Nothing.",voted for this review,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=kmTa3vsoc9TskIJXUaq9Sg&flag_id=tdDuK6HhtPjwzGm96EJRQQ&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsmack-dab-chicago-11%3Fosq%3Dcafe,Report review,1,
https://www.yelp.com/user_details?userid=UFnL-OicPYCTMWsXOOEBkA,https://s3-media1.fl.yelpcdn.com/photo/8zZI2rSNVdE1xnHvfWwkOw/60s.jpg,Tiara W.,"San Diego, CA",friends,40,reviews,207,photos,[object Object],187,https://www.yelp.com/biz_share/kmTa3vsoc9TskIJXUaq9Sg/review/bXs5fLTsmwoqnF3AzreAbQ,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=bXs5fLTsmwoqnF3AzreAbQ&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsmack-dab-chicago-11%3Fosq%3Dcafe&user_id=UFnL-OicPYCTMWsXOOEBkA,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=UFnL-OicPYCTMWsXOOEBkA&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsmack-dab-chicago-11%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=UFnL-OicPYCTMWsXOOEBkA&previous_url=https://www.yelp.com/biz/smack-dab-chicago-11?osq=cafe,Follow Tiara W.,https://www.yelp.com/following_user/remove?dst_user_id=UFnL-OicPYCTMWsXOOEBkA&previous_url=https://www.yelp.com/biz/smack-dab-chicago-11?osq=cafe,Stop following Tiara W.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,6/18/2017,First of all they are a super gay friendly supportive shop!! I had the bacon jam biscuit! Delicious!!! Great friendly staff and a nice little comfortable setting!,voted for this review,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=kmTa3vsoc9TskIJXUaq9Sg&flag_id=bXs5fLTsmwoqnF3AzreAbQ&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsmack-dab-chicago-11%3Fosq%3Dcafe,Report review,2,2
https://www.yelp.com/user_details?userid=bFi37GG8-vKj-hkSRmo0lw,https://s3-media4.fl.yelpcdn.com/photo/1w8OrQb_2GA4fXKeBuYIuA/60s.jpg,Andrew K.,"Chicago, IL",friends,267,reviews,9,photos,[object Object],9,https://www.yelp.com/biz_share/kmTa3vsoc9TskIJXUaq9Sg/review/UodQv1dfAP1D4rj8u7k3nQ,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=UodQv1dfAP1D4rj8u7k3nQ&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsmack-dab-chicago-11%3Fosq%3Dcafe&user_id=bFi37GG8-vKj-hkSRmo0lw,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=bFi37GG8-vKj-hkSRmo0lw&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsmack-dab-chicago-11%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=bFi37GG8-vKj-hkSRmo0lw&previous_url=https://www.yelp.com/biz/smack-dab-chicago-11?osq=cafe,Follow Andrew K.,https://www.yelp.com/following_user/remove?dst_user_id=bFi37GG8-vKj-hkSRmo0lw&previous_url=https://www.yelp.com/biz/smack-dab-chicago-11?osq=cafe,Stop following Andrew K.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,8/13/2018,"Same in for breakfast, stayed for the atmosphere. The service was very nice and accommodating. We were in the neighborhood to look for a potential neighborhood to move too, and after brunch here my girlfriend was sold.",Was this review …?,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=kmTa3vsoc9TskIJXUaq9Sg&flag_id=UodQv1dfAP1D4rj8u7k3nQ&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsmack-dab-chicago-11%3Fosq%3Dcafe,Report review,,
