js-analytics-click href,photo-box-img src,user-display-name,user-location,friend-count,friend-count 2,review-count,review-count 2,photo-count,icon_svg href 3,photo-count 2,arrange href,icon_svg href 4,action-link_label,arrange href 2,action-link_label 2,arrange href 3,action-link_label 3,arrange href 4,action-link_label 4,arrange href 5,action-link_label 5,arrange href 6,action-link_label 6,offscreen src,rating-qualifier,review-tags_item,icon_svg href 10,review-content,voting-intro,vote-type,count,vote-type 2,vote-type 3,count 3,u-space-b3,u-space-b3 src,u-space-b2,ybtn,js-maybe-later-button,chiclet-link href,tooltip
https://www.yelp.com/user_details?userid=8q6vJuhgs4e8jf5FkSMybA,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,Jin L.,"Manhattan, New York, NY",friends,0,review,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.yelp.com/user_details?userid=2AcvaCn0btmAHSDcCKMdZg,https://s3-media4.fl.yelpcdn.com/photo/LqX16Lba273NuP1BEsGJGQ/60s.jpg,Alice H.,"Syracuse, NY",friends,370,reviews,466,photos,[object Object],321,https://www.yelp.com/biz_share/fisvNtPsL4wTOt88Hu_cpQ/review/9kHe6YNb77ssAe-Xf0wJ8w,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=9kHe6YNb77ssAe-Xf0wJ8w&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsol-cafe-chicago%3Fosq%3Dcafe&user_id=2AcvaCn0btmAHSDcCKMdZg,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=2AcvaCn0btmAHSDcCKMdZg&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsol-cafe-chicago%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=2AcvaCn0btmAHSDcCKMdZg&previous_url=https://www.yelp.com/biz/sol-cafe-chicago?osq=cafe,Follow Alice H.,https://www.yelp.com/following_user/remove?dst_user_id=2AcvaCn0btmAHSDcCKMdZg&previous_url=https://www.yelp.com/biz/sol-cafe-chicago?osq=cafe,Stop following Alice H.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,10/26/2018,1 check-in,[object Object],"~$3 for donuts. Delicious!Shots come in doubles, so if you buy an extra shot you actually get 2!Great space, lots of different tables and seats. Plugs under the booth seats.Street parking is $2 an hour right outside. Right next to the Howard red line stop.Gaslight coffee roasters. $3 for a small latte. 0.55 for an extra espresso shot.Food served from 9-4pm.",voted for this review,Useful,2,Funny,Cool,1,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=fisvNtPsL4wTOt88Hu_cpQ&flag_id=9kHe6YNb77ssAe-Xf0wJ8w&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsol-cafe-chicago%3Fosq%3Dcafe,Report review
https://www.yelp.com/user_details?userid=7e-BVVmXaiySztF8qlf0Aw,https://s3-media3.fl.yelpcdn.com/photo/NrXKjZl3QG7wcXc1fTEGig/60s.jpg,Taylor R.,"Rogers Park, Chicago, IL",friends,119,reviews,4,,,,https://www.yelp.com/biz_share/fisvNtPsL4wTOt88Hu_cpQ/review/7Sg21PWkt8pkN_uzhHkERQ,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=7Sg21PWkt8pkN_uzhHkERQ&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsol-cafe-chicago%3Fosq%3Dcafe&user_id=7e-BVVmXaiySztF8qlf0Aw,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=7e-BVVmXaiySztF8qlf0Aw&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsol-cafe-chicago%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=7e-BVVmXaiySztF8qlf0Aw&previous_url=https://www.yelp.com/biz/sol-cafe-chicago?osq=cafe,Follow Taylor R.,https://www.yelp.com/following_user/remove?dst_user_id=7e-BVVmXaiySztF8qlf0Aw&previous_url=https://www.yelp.com/biz/sol-cafe-chicago?osq=cafe,Stop following Taylor R.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,10/4/2018,,,"Whether it be a sunny or stormy day, Sol is such a solid place to exist. The interior is almost as charming as the employees. The playlists are always perfect (combine this with all of the natural light pouring in and you have a perfect place to get some work done-wifi and pay to print printer.) There is a small shop in the back featuring local artist (Smudge sticks, trinkets, prints ect.)Oh yeah! Coffe&FoodReally intersting seasonal blends (Good kind of interesting.)I really appreciate the creativity and boldness Sol puts into their drinks and dishes. There are always vegan options- today I picked up a lemon Vegan donut & it rules. Anyway.. Go to Sol.Like right now!",voted for this review,Useful,1,Funny,Cool,,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=fisvNtPsL4wTOt88Hu_cpQ&flag_id=7Sg21PWkt8pkN_uzhHkERQ&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsol-cafe-chicago%3Fosq%3Dcafe,Report review
https://www.yelp.com/user_details?userid=LNzV91TA4csV5oCfQke6IQ,https://s3-media2.fl.yelpcdn.com/photo/6E9wA0oz0bnEVpJzea5BnQ/60s.jpg,Claire H.,"Berwyn, IL",friends,122,reviews,50,photos,[object Object],11,https://www.yelp.com/biz_share/fisvNtPsL4wTOt88Hu_cpQ/review/08lX1jmsci0yjSCW3fb6vQ,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=08lX1jmsci0yjSCW3fb6vQ&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsol-cafe-chicago%3Fosq%3Dcafe&user_id=LNzV91TA4csV5oCfQke6IQ,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=LNzV91TA4csV5oCfQke6IQ&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsol-cafe-chicago%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=LNzV91TA4csV5oCfQke6IQ&previous_url=https://www.yelp.com/biz/sol-cafe-chicago?osq=cafe,Follow Claire H.,https://www.yelp.com/following_user/remove?dst_user_id=LNzV91TA4csV5oCfQke6IQ&previous_url=https://www.yelp.com/biz/sol-cafe-chicago?osq=cafe,Stop following Claire H.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,8/27/2018,1 check-in,[object Object],"Really enjoy the chai and oat milk lattes here. The interior is beautiful with lots of plants. The staff is very nice. The only complaint is that the wait can be really long. Once I waited about 10 minutes for a latte, and there wasn't anyone else waiting. Sometimes I don't stop if I'm on the way to the train because I'm worried it will take a long time again. Overall, really like this place! Quality coffee and calm/beautiful interior.",Was this review …?,Useful,,Funny,Cool,,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=fisvNtPsL4wTOt88Hu_cpQ&flag_id=08lX1jmsci0yjSCW3fb6vQ&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsol-cafe-chicago%3Fosq%3Dcafe,Report review
https://www.yelp.com/user_details?userid=J1n2QKYAWvWTAEGWBKg8Bg,https://s3-media1.fl.yelpcdn.com/photo/n9oo-30PdNxq2P84acDC7w/60s.jpg,J. Aces L.,"Chicago, IL",friends,617,reviews,19,photos,[object Object],81,https://www.yelp.com/biz_share/fisvNtPsL4wTOt88Hu_cpQ/review/eSMOvOAfC1NTjePONLNBUA,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=eSMOvOAfC1NTjePONLNBUA&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsol-cafe-chicago%3Fosq%3Dcafe&user_id=J1n2QKYAWvWTAEGWBKg8Bg,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=J1n2QKYAWvWTAEGWBKg8Bg&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsol-cafe-chicago%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=J1n2QKYAWvWTAEGWBKg8Bg&previous_url=https://www.yelp.com/biz/sol-cafe-chicago?osq=cafe,Follow J. Aces L.,https://www.yelp.com/following_user/remove?dst_user_id=J1n2QKYAWvWTAEGWBKg8Bg&previous_url=https://www.yelp.com/biz/sol-cafe-chicago?osq=cafe,Stop following J. Aces L.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,8/6/2018,1 check-in,[object Object],"Truly a vibe to sip on a matcha green tea at this cafe. The feel good vibe is matched with their comfy armchairs, great music selection, decoration, and the menu options. And for the smaller details, the photo collage in the restroom gives it a homie feel. Would make a great study spot during the day. Unfortunately, as a night study person, this shop closes a bit earlier than I would hope. But finding an outlet at this spot is easy and the complimentary wi-fi is a big plus. The barista, was welcoming and super great with the drink suggestions. Gave me the recommendation for the seasonal matcha latte. Try it if you're a fan of green tea!",Was this review …?,Useful,,Funny,Cool,,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=fisvNtPsL4wTOt88Hu_cpQ&flag_id=eSMOvOAfC1NTjePONLNBUA&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsol-cafe-chicago%3Fosq%3Dcafe,Report review
https://www.yelp.com/user_details?userid=B0HexfN1tarLKbIcxvh4dA,https://s3-media3.fl.yelpcdn.com/photo/1fHdK79wNhvgYL9BjhtVTQ/60s.jpg,Charisse B.,"Skokie, IL",friends,433,reviews,118,photos,[object Object],344,https://www.yelp.com/biz_share/fisvNtPsL4wTOt88Hu_cpQ/review/2FOg4W2T0ddriNebOClu2A,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=2FOg4W2T0ddriNebOClu2A&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsol-cafe-chicago%3Fosq%3Dcafe&user_id=B0HexfN1tarLKbIcxvh4dA,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=B0HexfN1tarLKbIcxvh4dA&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsol-cafe-chicago%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=B0HexfN1tarLKbIcxvh4dA&previous_url=https://www.yelp.com/biz/sol-cafe-chicago?osq=cafe,Follow Charisse B.,https://www.yelp.com/following_user/remove?dst_user_id=B0HexfN1tarLKbIcxvh4dA&previous_url=https://www.yelp.com/biz/sol-cafe-chicago?osq=cafe,Stop following Charisse B.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,11/9/2017,,,"One of my new faves. Love the vibe here - from the indoor plants and exposed vents/pipes to the dope light fixtures and local artwork on the walls - it's my kind of coffee shop. I'm a sucker for well-designed spaces.. and this place nailed it. There's ample seating (currently typing this on a velvety couch), natural light coming from the floor-to-ceiling windows, and unique drinks. I tried the So Fresh and So Green (matcha latte) and the Apple Butter Jeans (their version of apple cider; has homemade apple butter!!). I appreciate their twist on both drinks. I would definitely come back to try their other drinks as well as their food. They serve bowls and sandwiches in addition to pastries from Glazed & Infused and Bang Bang Pie & Biscuits. It's a stone's throw away from the Howard Red Line stop, and perfect for commuters looking for a quick bite, pick-me-up, or a place to do work. Also, there's a couple of free parking spaces in the back for customers! Always a plus in Chicago. Just go through the alley :)",voted for this review,Useful,4,Funny,Cool,1,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=fisvNtPsL4wTOt88Hu_cpQ&flag_id=2FOg4W2T0ddriNebOClu2A&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsol-cafe-chicago%3Fosq%3Dcafe,Report review
https://www.yelp.com/user_details?userid=gD40-PMJHCAK52bmuTBp3w,https://s3-media4.fl.yelpcdn.com/photo/ujzxvp5__zrlnnhM3GNKSA/60s.jpg,Stephanie C.,"San Francisco, CA",friends,104,reviews,130,photos,[object Object],97,https://www.yelp.com/biz_share/fisvNtPsL4wTOt88Hu_cpQ/review/YXFjK61W3C4QADjtjTZHPQ,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=YXFjK61W3C4QADjtjTZHPQ&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsol-cafe-chicago%3Fosq%3Dcafe&user_id=gD40-PMJHCAK52bmuTBp3w,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=gD40-PMJHCAK52bmuTBp3w&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsol-cafe-chicago%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=gD40-PMJHCAK52bmuTBp3w&previous_url=https://www.yelp.com/biz/sol-cafe-chicago?osq=cafe,Follow Stephanie C.,https://www.yelp.com/following_user/remove?dst_user_id=gD40-PMJHCAK52bmuTBp3w&previous_url=https://www.yelp.com/biz/sol-cafe-chicago?osq=cafe,Stop following Stephanie C.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,11/16/2017,1 check-in,[object Object],"Wow. The ""So Fresh So Green"" totally blew me away. It tastes a little different than other matcha's that I have had, and I think it is due to the herb syrup. The fennel seeds were a nice touch of aromatics. About 2/3's of the tables were taken on a Wednesday late afternoon, and I settled in to work until almost closing time. There were a lot of students studying together towards the front of the coffee shop because of the sofas and large tables, but it wasn't too noisy in the middle of the shop.Pro tip: There are designated parking spots for Sol Cafe customers behind the building, which is awesome!",voted for this review,Useful,2,Funny,Cool,,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=fisvNtPsL4wTOt88Hu_cpQ&flag_id=YXFjK61W3C4QADjtjTZHPQ&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsol-cafe-chicago%3Fosq%3Dcafe,Report review
https://www.yelp.com/user_details?userid=93nplV3SmvyC7MUyZELVrA,https://s3-media4.fl.yelpcdn.com/photo/S0SlqqRjN-gl8BRSpd7Qrw/60s.jpg,Eloy W.,"Rio Rancho, NM",friends,180,reviews,252,photos,[object Object],512,https://www.yelp.com/biz_share/fisvNtPsL4wTOt88Hu_cpQ/review/jeLwi6yGofmrA-WDV1dkRg,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=jeLwi6yGofmrA-WDV1dkRg&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsol-cafe-chicago%3Fosq%3Dcafe&user_id=93nplV3SmvyC7MUyZELVrA,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=93nplV3SmvyC7MUyZELVrA&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsol-cafe-chicago%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=93nplV3SmvyC7MUyZELVrA&previous_url=https://www.yelp.com/biz/sol-cafe-chicago?osq=cafe,Follow Eloy W.,https://www.yelp.com/following_user/remove?dst_user_id=93nplV3SmvyC7MUyZELVrA&previous_url=https://www.yelp.com/biz/sol-cafe-chicago?osq=cafe,Stop following Eloy W.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,12/6/2017,1 check-in,[object Object],"We woke up, yearning for a walk and cup of joe -- for me a london fog. Walking in here, it was bright, neat, a bit of hipster music playing and warmth.I know I thought, this is a place I want to spend more than a quick 5 minutes to pick up my drink and go, which is what we did.  We sat there talking, standing up and checking their swag and browsing their specialty drinks.You can chill on their comfy couches, play chess or seems like a nice spot to read the news and plan your day.",voted for this review,Useful,1,Funny,Cool,,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=fisvNtPsL4wTOt88Hu_cpQ&flag_id=jeLwi6yGofmrA-WDV1dkRg&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsol-cafe-chicago%3Fosq%3Dcafe,Report review
https://www.yelp.com/user_details?userid=I3lzG3C_wyzqcsxHG-ErqQ,https://s3-media2.fl.yelpcdn.com/photo/kwQmeWIVVSHcXHa4O6K7fg/60s.jpg,Emily D.,"Chicago, IL",friends,316,reviews,184,photos,[object Object],30,https://www.yelp.com/biz_share/fisvNtPsL4wTOt88Hu_cpQ/review/p_5KG2Fz2InrhMqqHHo2Tg,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=p_5KG2Fz2InrhMqqHHo2Tg&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsol-cafe-chicago%3Fosq%3Dcafe&user_id=I3lzG3C_wyzqcsxHG-ErqQ,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=I3lzG3C_wyzqcsxHG-ErqQ&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsol-cafe-chicago%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=I3lzG3C_wyzqcsxHG-ErqQ&previous_url=https://www.yelp.com/biz/sol-cafe-chicago?osq=cafe,Follow Emily D.,https://www.yelp.com/following_user/remove?dst_user_id=I3lzG3C_wyzqcsxHG-ErqQ&previous_url=https://www.yelp.com/biz/sol-cafe-chicago?osq=cafe,Stop following Emily D.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,4/9/2018,,,"I've been wanting to try this place for a long time, and it was definitely worth the wait!! First, I love the atmosphere! It's super aesthetic and also was a great place to study for a few hours. I started off by getting a latte and a vegan blueberry muffin. I loved the coffee - it was a perfect medium roast (I think they brew Gaslight). I also really liked the muffin. It was super fresh and had an orange glaze which was really unique. For lunch later on, I had the jerk tofu bowl which was also great. I loved the seasoning on the tofu and the roasted yams were great too. It also had toasted coconut on top which was really unique and fun. Overall, I really appreciated the super creative and fresh vegan options on their menu. Would definitely come back and can't wait to try some more delicious vegan food!",voted for this review,Useful,1,Funny,Cool,1,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=fisvNtPsL4wTOt88Hu_cpQ&flag_id=p_5KG2Fz2InrhMqqHHo2Tg&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsol-cafe-chicago%3Fosq%3Dcafe,Report review
https://www.yelp.com/user_details?userid=h_sM6nJx5rsQIl1_BrCalg,https://s3-media3.fl.yelpcdn.com/photo/gY2VpdimNRNqQBpENWVt2w/60s.jpg,Devyn H T.,"Chicago, IL",friends,156,reviews,253,photos,[object Object],403,https://www.yelp.com/biz_share/fisvNtPsL4wTOt88Hu_cpQ/review/z0O2Un44og7ayY_XwRp2CQ,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=z0O2Un44og7ayY_XwRp2CQ&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsol-cafe-chicago%3Fosq%3Dcafe&user_id=h_sM6nJx5rsQIl1_BrCalg,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=h_sM6nJx5rsQIl1_BrCalg&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsol-cafe-chicago%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=h_sM6nJx5rsQIl1_BrCalg&previous_url=https://www.yelp.com/biz/sol-cafe-chicago?osq=cafe,Follow Devyn H T.,https://www.yelp.com/following_user/remove?dst_user_id=h_sM6nJx5rsQIl1_BrCalg&previous_url=https://www.yelp.com/biz/sol-cafe-chicago?osq=cafe,Stop following Devyn H T.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,8/21/2017,1 check-in,[object Object],"FOOD: I ordered the Hash here and it was incredible, the coffee-braised bacon was yummmmmy. I dream of it even to this day. After this visit, I went to the store and bought sweet potatoes and potatoes in order to recreate this hash. Couldn't. But not the point. Whatever Herb oil is on the bowl was very good. Give up your secrets Sol Cafe. ATMOSPHERE: This place is a super cute spot, with fresh, colorful decorations and a lot of natural light.SERVICE: Everyone who works here seems to be familiar with the menu and isn't shy about offering suggestions when asked. I can appreciate that.",voted for this review,Useful,4,Funny,Cool,2,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=fisvNtPsL4wTOt88Hu_cpQ&flag_id=z0O2Un44og7ayY_XwRp2CQ&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsol-cafe-chicago%3Fosq%3Dcafe,Report review
