js-analytics-click href,photo-box-img src,user-display-name,user-location,friend-count,friend-count 2,review-count,review-count 2,photo-count,icon_svg href 3,photo-count 2,is-elite,is-elite href,arrange href,icon_svg href 4,action-link_label,arrange href 2,action-link_label 2,arrange href 3,action-link_label 3,arrange href 4,action-link_label 4,arrange href 5,action-link_label 5,arrange href 6,action-link_label 6,offscreen src,rating-qualifier,review-content,photo-box-img src 2,voting-intro,vote-type,count,vote-type 2,count 2,vote-type 3,u-space-b3,u-space-b3 src,u-space-b2,ybtn,js-maybe-later-button,chiclet-link href,tooltip,review-tags_item,icon_svg href 14
https://www.yelp.com/user_details?userid=8q6vJuhgs4e8jf5FkSMybA,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,Jin L.,"Manhattan, New York, NY",friends,0,review,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.yelp.com/user_details?userid=V2LzSKgfyzY07U1DRGzfmw,https://s3-media4.fl.yelpcdn.com/photo/luU3m6ggOB5gl2Di28hfAg/60s.jpg,Kateryna G.,"Chicago, IL",friends,98,reviews,502,photos,[object Object],605,Elite ’18,https://www.yelp.com/elite,https://www.yelp.com/biz_share/hB7yORLU0e6yEcpzA75cUw/review/6brvxeM0bubrLVtogiVbBQ,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=6brvxeM0bubrLVtogiVbBQ&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fplein-air-cafe-and-eatery-chicago-2%3Fosq%3Dcafe&user_id=V2LzSKgfyzY07U1DRGzfmw,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=V2LzSKgfyzY07U1DRGzfmw&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fplein-air-cafe-and-eatery-chicago-2%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=V2LzSKgfyzY07U1DRGzfmw&previous_url=https://www.yelp.com/biz/plein-air-cafe-and-eatery-chicago-2?osq=cafe,Follow Kateryna G.,https://www.yelp.com/following_user/remove?dst_user_id=V2LzSKgfyzY07U1DRGzfmw&previous_url=https://www.yelp.com/biz/plein-air-cafe-and-eatery-chicago-2?osq=cafe,Stop following Kateryna G.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,11/21/2018,"The food: 5/5. Great breakfast food and coffee. I tried chorizo burrito which was amazing. Generally not a fan of chorizo, I was surprised how non greasy and light it was, adding cucumber definitely elevated the flavors. Veggie quiche of the day was also great, as well as my cappuccino.The service: 3/5. Not as good as the food. They forgot to put one of orders on the receipt, and also forgot to bring out the pastries I ordered. Overall: 4/5. I'd go back next time I'm in Hyde Park.",https://s3-media2.fl.yelpcdn.com/bphoto/pHRmrtGnd6KXC_90XJ-qHA/168s.jpg,voted for this review,Useful,1,Funny,1,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=hB7yORLU0e6yEcpzA75cUw&flag_id=6brvxeM0bubrLVtogiVbBQ&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fplein-air-cafe-and-eatery-chicago-2%3Fosq%3Dcafe,Report review,,
https://www.yelp.com/user_details?userid=PA4sKEXpXxWb5NXGZ7JTtg,https://s3-media4.fl.yelpcdn.com/photo/zXSsl6hLFfKHXMzipaGA9g/60s.jpg,Rosy L.,"Chicago, IL",friends,289,reviews,97,photos,[object Object],250,Elite ’18,https://www.yelp.com/elite,https://www.yelp.com/biz_share/hB7yORLU0e6yEcpzA75cUw/review/p2HfFrdRsI7uTzS4AOU_Jg,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=p2HfFrdRsI7uTzS4AOU_Jg&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fplein-air-cafe-and-eatery-chicago-2%3Fosq%3Dcafe&user_id=PA4sKEXpXxWb5NXGZ7JTtg,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=PA4sKEXpXxWb5NXGZ7JTtg&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fplein-air-cafe-and-eatery-chicago-2%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=PA4sKEXpXxWb5NXGZ7JTtg&previous_url=https://www.yelp.com/biz/plein-air-cafe-and-eatery-chicago-2?osq=cafe,Follow Rosy L.,https://www.yelp.com/following_user/remove?dst_user_id=PA4sKEXpXxWb5NXGZ7JTtg&previous_url=https://www.yelp.com/biz/plein-air-cafe-and-eatery-chicago-2?osq=cafe,Stop following Rosy L.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,10/29/2018,"This is probably one of my favorite places to do work on campus. They have such a good selection of drinks and food. Their hot chocolate is amazing! My fiancé got an espresso which he liked as well. They also have a wide range of pastries as well as separate breakfast and lunch menus. The prices here may seem expensive for Hyde park but they're nothing compared to the prices we have downtown! I loved the mascarpone stuffed French toast! It was such a good mix of creamy mascarpone and blueberry sauce. Absolutely delightful! The biscuit breakfast sandwich was also good but paled in comparison to the French toast. There is seating indoors and outdoors, although it was a bit crowded (Sunday morning). It was quite chilly when I was there but some people had to sit outside due to lack of seating inside. There are outlets through the seating area. I love the large windows that give plenty of natural light to the space. I'll have to go at lunch time next time to try out their lunch menu!",https://s3-media4.fl.yelpcdn.com/bphoto/SGC9UY3pVVmpHhsJ-twgpA/168s.jpg,Was this review …?,Useful,,Funny,,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=hB7yORLU0e6yEcpzA75cUw&flag_id=p2HfFrdRsI7uTzS4AOU_Jg&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fplein-air-cafe-and-eatery-chicago-2%3Fosq%3Dcafe,Report review,1 check-in,[object Object]
https://www.yelp.com/user_details?userid=HbhdGlszm44yHj5sRMfFlw,https://s3-media2.fl.yelpcdn.com/photo/gCrnNj0OS3ojKVHgOtc7Lg/60s.jpg,Miranda L.,"Diamond Bar, CA",friends,116,reviews,19,photos,[object Object],66,,,https://www.yelp.com/biz_share/hB7yORLU0e6yEcpzA75cUw/review/LDN1tEZIrkEF4Szkgr5ilQ,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=LDN1tEZIrkEF4Szkgr5ilQ&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fplein-air-cafe-and-eatery-chicago-2%3Fosq%3Dcafe&user_id=HbhdGlszm44yHj5sRMfFlw,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=HbhdGlszm44yHj5sRMfFlw&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fplein-air-cafe-and-eatery-chicago-2%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=HbhdGlszm44yHj5sRMfFlw&previous_url=https://www.yelp.com/biz/plein-air-cafe-and-eatery-chicago-2?osq=cafe,Follow Miranda L.,https://www.yelp.com/following_user/remove?dst_user_id=HbhdGlszm44yHj5sRMfFlw&previous_url=https://www.yelp.com/biz/plein-air-cafe-and-eatery-chicago-2?osq=cafe,Stop following Miranda L.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,10/6/2018,"The mascarpone stuffed French toast was amazing!  To be honest, I wasn't a big fan of French toast. but I fell in love with their blueberry mascarpone stuffed brioche French toast!  the refreshing blueberry sauce and the delicious mascarpone taste like a perfect harmony. It took awhile for them to make the French toast. I was almost late waiting for it, since I woke up kind of late that day. But it was totally worth the wait! I'm craving for their French toast right now! I'm back in LA right now. really miss UChicago! Enjoy while you can ! I also loved the environment! I really like the seats both inside and outside with little green plants! The sunshine and plants makes a perfect start of a day! Taking away all me stress and replacing it with dangerous positive energy! Plein air cafe motivated me to get up to study there, before I go to class, while enjoying a cup of latte. The raspberry beignet was delightful and refreshing, when I don't feel like too much sweet or cheesy things.",https://s3-media3.fl.yelpcdn.com/bphoto/JOVJ-lVr9lvaUyPtNXpABw/348s.jpg,Was this review …?,Useful,,Funny,,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=hB7yORLU0e6yEcpzA75cUw&flag_id=LDN1tEZIrkEF4Szkgr5ilQ&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fplein-air-cafe-and-eatery-chicago-2%3Fosq%3Dcafe,Report review,,
https://www.yelp.com/user_details?userid=NN1J9V7oIzxYhgK6jzvl8g,https://s3-media2.fl.yelpcdn.com/photo/SKBcUQ0vBmDxkh0A8SrbfQ/60s.jpg,Nini K.,"Chicago, IL",friends,206,reviews,105,photos,[object Object],947,Elite ’18,https://www.yelp.com/elite,https://www.yelp.com/biz_share/hB7yORLU0e6yEcpzA75cUw/review/4j1hVZBaIJpP7-mfvAv5Kw,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=4j1hVZBaIJpP7-mfvAv5Kw&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fplein-air-cafe-and-eatery-chicago-2%3Fosq%3Dcafe&user_id=NN1J9V7oIzxYhgK6jzvl8g,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=NN1J9V7oIzxYhgK6jzvl8g&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fplein-air-cafe-and-eatery-chicago-2%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=NN1J9V7oIzxYhgK6jzvl8g&previous_url=https://www.yelp.com/biz/plein-air-cafe-and-eatery-chicago-2?osq=cafe,Follow Nini K.,https://www.yelp.com/following_user/remove?dst_user_id=NN1J9V7oIzxYhgK6jzvl8g&previous_url=https://www.yelp.com/biz/plein-air-cafe-and-eatery-chicago-2?osq=cafe,Stop following Nini K.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,8/23/2018,Food: 4Service: 4Cleanliness: 4Noise Level: QuietHidden within UofC campus you'll find this cozy cafe offering bowls and sandwiches. Perfect place for a quick stop in or study sesh at individual or communal tables. You get a rustic meets European vibe by the decor. There is also a patio on warm mornings! Being here definitely takes you away from the city life.Tuna Salad Sandwich: all sandwiches come with a side of simple salad tossed in a balsalmic vinegrette. The sandwich itself was super filling. Tuna Salad tasted homemade and not doused in mayonnaise. Very light ! Street Parking out front.Wifi works great.Outlets along walls.Would I come back? Yes,https://s3-media2.fl.yelpcdn.com/bphoto/X2El_3CBuR_cfuq-J5M3OQ/168s.jpg,voted for this review,Useful,1,Funny,,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=hB7yORLU0e6yEcpzA75cUw&flag_id=4j1hVZBaIJpP7-mfvAv5Kw&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fplein-air-cafe-and-eatery-chicago-2%3Fosq%3Dcafe,Report review,1 check-in,[object Object]
https://www.yelp.com/user_details?userid=ok7yjQ5Bcz2R55J-SwQGuQ,https://s3-media1.fl.yelpcdn.com/photo/IRFIF_h6v89z9_ebeDAezA/60s.jpg,Cassandra A.,"Chicago, IL",friends,69,reviews,243,photos,[object Object],342,Elite ’18,https://www.yelp.com/elite,https://www.yelp.com/biz_share/hB7yORLU0e6yEcpzA75cUw/review/ysbZxEhUVmhf2m7wror23w,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=ysbZxEhUVmhf2m7wror23w&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fplein-air-cafe-and-eatery-chicago-2%3Fosq%3Dcafe&user_id=ok7yjQ5Bcz2R55J-SwQGuQ,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=ok7yjQ5Bcz2R55J-SwQGuQ&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fplein-air-cafe-and-eatery-chicago-2%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=ok7yjQ5Bcz2R55J-SwQGuQ&previous_url=https://www.yelp.com/biz/plein-air-cafe-and-eatery-chicago-2?osq=cafe,Follow Cassandra A.,https://www.yelp.com/following_user/remove?dst_user_id=ok7yjQ5Bcz2R55J-SwQGuQ&previous_url=https://www.yelp.com/biz/plein-air-cafe-and-eatery-chicago-2?osq=cafe,Stop following Cassandra A.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,11/18/2018,Came with my husband here on a beautiful fall day to explore U Chicago and was really happy with the grain bowl I got. The facility is a little small/packed but that just means it's very popular! It was a little hard to get a seat but worth the wait. the coffee is good too. I didnt try a pastry but they also looked really yummy. Lots of students just hang out there to study so that's part of the issue with getting a seat. good vibe,,Was this review …?,Useful,,Funny,,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=hB7yORLU0e6yEcpzA75cUw&flag_id=ysbZxEhUVmhf2m7wror23w&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fplein-air-cafe-and-eatery-chicago-2%3Fosq%3Dcafe,Report review,,
https://www.yelp.com/user_details?userid=rmZCqkmxcQHXPvqvUNjJgA,https://s3-media4.fl.yelpcdn.com/photo/-KF7sCOX_dYQgmb8z8UHkw/60s.jpg,Aisha H.,"DuPont, WA",friends,136,reviews,169,photos,[object Object],454,Elite ’18,https://www.yelp.com/elite,https://www.yelp.com/biz_share/hB7yORLU0e6yEcpzA75cUw/review/w5HRK4N1a9_VonImj_vGww,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=w5HRK4N1a9_VonImj_vGww&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fplein-air-cafe-and-eatery-chicago-2%3Fosq%3Dcafe&user_id=rmZCqkmxcQHXPvqvUNjJgA,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=rmZCqkmxcQHXPvqvUNjJgA&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fplein-air-cafe-and-eatery-chicago-2%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=rmZCqkmxcQHXPvqvUNjJgA&previous_url=https://www.yelp.com/biz/plein-air-cafe-and-eatery-chicago-2?osq=cafe,Follow Aisha H.,https://www.yelp.com/following_user/remove?dst_user_id=rmZCqkmxcQHXPvqvUNjJgA&previous_url=https://www.yelp.com/biz/plein-air-cafe-and-eatery-chicago-2?osq=cafe,Stop following Aisha H.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,5/31/2018,"Two cafes in one morning, my goodness! But after finding  a good tea for myself we were on a quest to find a coffee worth it's wait for the coffee lovers in our family. This place was another yelp find and the yelp gods did not disappoint. Plein Air Cafe & Eatery had so much character and their menu of not just drinks but food were to die for. They had everything from croissants and danishes to fresh salads and sandwiches, everybody was able to find something to cater to their tastebuds here.I don't know if being close to a university helps but service here too was immaculate. And the croissants were out of this world.",,voted for this review,Useful,2,Funny,1,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=hB7yORLU0e6yEcpzA75cUw&flag_id=w5HRK4N1a9_VonImj_vGww&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fplein-air-cafe-and-eatery-chicago-2%3Fosq%3Dcafe,Report review,1 check-in,[object Object]
https://www.yelp.com/user_details?userid=0TChX8JPK8erwAAlI5OIMQ,https://s3-media2.fl.yelpcdn.com/photo/fKyUJi_pk4Np-I1f7phw6A/60s.jpg,Priscilla M.,"Chicago, IL",friends,163,reviews,49,photos,[object Object],18,Elite ’18,https://www.yelp.com/elite,https://www.yelp.com/biz_share/hB7yORLU0e6yEcpzA75cUw/review/O_nvHqM-IPK65TCCoyL4_Q,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=O_nvHqM-IPK65TCCoyL4_Q&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fplein-air-cafe-and-eatery-chicago-2%3Fosq%3Dcafe&user_id=0TChX8JPK8erwAAlI5OIMQ,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=0TChX8JPK8erwAAlI5OIMQ&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fplein-air-cafe-and-eatery-chicago-2%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=0TChX8JPK8erwAAlI5OIMQ&previous_url=https://www.yelp.com/biz/plein-air-cafe-and-eatery-chicago-2?osq=cafe,Follow Priscilla M.,https://www.yelp.com/following_user/remove?dst_user_id=0TChX8JPK8erwAAlI5OIMQ&previous_url=https://www.yelp.com/biz/plein-air-cafe-and-eatery-chicago-2?osq=cafe,Stop following Priscilla M.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,8/30/2018,"*** Workspace ***Being a cafe in a university compound, there is plenty of seats with equal amount of outlets. However, this also means that it's quite crowded and stays bustling through the week.*** Coffee ***Solid selection of coffee that can be brewed in several methods. I always go for the cold brew or the drip.*** Food ***Snag a hazelnut beignet when you can! You won't regret it. I also love the pie here and for lunch option, the prosciutto with sweet balsamic sandwich is my go-to.*** Ambiance ***Adorably quaint! From the white interior to the outdoor seating surrounding a beautiful flower bed. If your Scandinavian grandmother decided to open a modernize yet charming cafe, it'll come out resembling Plen Air Cafe.",,voted for this review,Useful,1,Funny,1,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=hB7yORLU0e6yEcpzA75cUw&flag_id=O_nvHqM-IPK65TCCoyL4_Q&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fplein-air-cafe-and-eatery-chicago-2%3Fosq%3Dcafe,Report review,,
https://www.yelp.com/user_details?userid=vreJUIPIImmddaYC6N9Rbg,https://s3-media4.fl.yelpcdn.com/photo/35Jv-jncIvDA6fKVV4ZpXQ/60s.jpg,Andrés S.,"Chicago, IL",friends,97,reviews,14,photos,[object Object],17,,,https://www.yelp.com/biz_share/hB7yORLU0e6yEcpzA75cUw/review/vYLOjLpb4kPh96FVevoixA,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=vYLOjLpb4kPh96FVevoixA&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fplein-air-cafe-and-eatery-chicago-2%3Fosq%3Dcafe&user_id=vreJUIPIImmddaYC6N9Rbg,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=vreJUIPIImmddaYC6N9Rbg&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fplein-air-cafe-and-eatery-chicago-2%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=vreJUIPIImmddaYC6N9Rbg&previous_url=https://www.yelp.com/biz/plein-air-cafe-and-eatery-chicago-2?osq=cafe,Follow Andrés S.,https://www.yelp.com/following_user/remove?dst_user_id=vreJUIPIImmddaYC6N9Rbg&previous_url=https://www.yelp.com/biz/plein-air-cafe-and-eatery-chicago-2?osq=cafe,Stop following Andrés S.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,11/18/2018,"One of the best coffee shops in Hyde park. The cold brews and drip coffees are really high quality, with perfect balance of acidity and sweetness. The chai latte is usually a solid choice too. The food is also great, especially the lunch sandwiches. The restaurant itself can be a little loud and crowded though, particularly around lunch time, and the seating space is rather limited.",https://s3-media1.fl.yelpcdn.com/bphoto/KBUB5vv2gah5hOCtjJz0iQ/348s.jpg,Was this review …?,Useful,,Funny,,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=hB7yORLU0e6yEcpzA75cUw&flag_id=vYLOjLpb4kPh96FVevoixA&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fplein-air-cafe-and-eatery-chicago-2%3Fosq%3Dcafe,Report review,,
https://www.yelp.com/user_details?userid=hT2Mw5m_SXBDVBuvA3KY-w,https://s3-media2.fl.yelpcdn.com/photo/tRYeAFJOwnDbSMWyXKkRnw/60s.jpg,Christopher V.,"Chicago, IL",friends,721,reviews,494,photos,[object Object],8278,Elite ’18,https://www.yelp.com/elite,https://www.yelp.com/biz_share/hB7yORLU0e6yEcpzA75cUw/review/vc3tGk7Y_s1rmg3BTJzKWA,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=vc3tGk7Y_s1rmg3BTJzKWA&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fplein-air-cafe-and-eatery-chicago-2%3Fosq%3Dcafe&user_id=hT2Mw5m_SXBDVBuvA3KY-w,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=hT2Mw5m_SXBDVBuvA3KY-w&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fplein-air-cafe-and-eatery-chicago-2%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=hT2Mw5m_SXBDVBuvA3KY-w&previous_url=https://www.yelp.com/biz/plein-air-cafe-and-eatery-chicago-2?osq=cafe,Follow Christopher V.,https://www.yelp.com/following_user/remove?dst_user_id=hT2Mw5m_SXBDVBuvA3KY-w&previous_url=https://www.yelp.com/biz/plein-air-cafe-and-eatery-chicago-2?osq=cafe,Stop following Christopher V.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,3/25/2018,"I like Plein Air Cafe and Eatery. I really do. The kitchen turns out simple, yet tasty food. The biscuits and housemade jams are exceptional. Baristas pull espresso shots with the best of them and the mochas are delicious. I've missed on a few food items, but overall they serve above average cafe, breakfast and brunch options.My main gripe is the dining area service. It's kind of odd because the cashier counter is always friendly. They're patient even when the line winds out of the door. My problem is with the table bussers. Each time I've been they've removed either a plate, cup or menu without uttering a single word. It's so shocking and quick that I've barely been able to get their attention to return. It would be nice if they'd ask before swiping my grub or anything else sitting in front of me. .. especially frustrating because the food is a bit overpriced.",https://s3-media2.fl.yelpcdn.com/bphoto/kPIjEKsVGg9aC9Fb9Gl4iw/348s.jpg,voted for this review,Useful,26,Funny,7,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=hB7yORLU0e6yEcpzA75cUw&flag_id=vc3tGk7Y_s1rmg3BTJzKWA&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fplein-air-cafe-and-eatery-chicago-2%3Fosq%3Dcafe,Report review,5 check-ins,[object Object]
