js-analytics-click href,photo-box-img src,user-display-name,user-location,friend-count,friend-count 2,review-count,review-count 2,photo-count,icon_svg href 3,photo-count 2,arrange href,icon_svg href 4,action-link_label,arrange href 2,action-link_label 2,arrange href 3,action-link_label 3,arrange href 4,action-link_label 4,arrange href 5,action-link_label 5,arrange href 6,action-link_label 6,offscreen src,rating-qualifier,review-content,voting-intro,vote-type,vote-type 2,vote-type 3,u-space-b3,u-space-b3 src,u-space-b2,ybtn,js-maybe-later-button,chiclet-link href,tooltip,icon_svg href 14,count,count 3
https://www.yelp.com/user_details?userid=8q6vJuhgs4e8jf5FkSMybA,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,Jin L.,"Manhattan, New York, NY",friends,0,review,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.yelp.com/user_details?userid=KRZ7uId-uchFLbaQDsHDNw,https://s3-media2.fl.yelpcdn.com/photo/GyPYcC4U1pVqIisd_h7tdQ/60s.jpg,Eliot C.,"Chicago, IL",friends,0,reviews,7,photo,[object Object],1,https://www.yelp.com/biz_share/-Tp77Ce5OCpP1-KXUYtX9A/review/Xh5imZWjc6NPyom4p8VffQ,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=Xh5imZWjc6NPyom4p8VffQ&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frobust-coffee-lounge-chicago%3Fosq%3Dcafe&user_id=KRZ7uId-uchFLbaQDsHDNw,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=KRZ7uId-uchFLbaQDsHDNw&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frobust-coffee-lounge-chicago%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=KRZ7uId-uchFLbaQDsHDNw&previous_url=https://www.yelp.com/biz/robust-coffee-lounge-chicago?osq=cafe,Follow Eliot C.,https://www.yelp.com/following_user/remove?dst_user_id=KRZ7uId-uchFLbaQDsHDNw&previous_url=https://www.yelp.com/biz/robust-coffee-lounge-chicago?osq=cafe,Stop following Eliot C.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,10/9/2018,"First and foremost, this place is huge! That alone made me a fan within seconds. It does a brisk business and yet there's always seating to be had. The staff is very nice and accommodating, the space is well-maintained, and the coffee and sandwiches are good, and very fairly priced. The only complaint I had, and it's minor, is the donut. Not that good. Frosting, yes. But the rest of it was a little tasteless. But that's small stuff. Robust is well worth a visit. At least three times a week, I bike down from the North Side to somewhere on the South Side or Western Suburbs for exercise and exploration, then work remotely, so I'll be coming in all fall and winter. This place is a keeper. Pro-tip: It will get a little loud during the bottom of the 3:00 hour when a lot of kids roll in rom one of the local schools. They're fine overall, but they are teenagers, so they're going to be a little loud. But the vast majority of them take their food to go, so it's a mild annoyance at worst.",Was this review …?,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=-Tp77Ce5OCpP1-KXUYtX9A&flag_id=Xh5imZWjc6NPyom4p8VffQ&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frobust-coffee-lounge-chicago%3Fosq%3Dcafe,Report review,,,
https://www.yelp.com/user_details?userid=aAoWA14TW5TbexwIZ7UBMA,https://s3-media1.fl.yelpcdn.com/photo/4eR6J_VGGYtt5Q_HKyrTZw/60s.jpg,Amanda S.,"Chicago, IL",friends,5,reviews,105,photos,[object Object],16,https://www.yelp.com/biz_share/-Tp77Ce5OCpP1-KXUYtX9A/review/MzrbvQymc09g3Zb1pGaOiw,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=MzrbvQymc09g3Zb1pGaOiw&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frobust-coffee-lounge-chicago%3Fosq%3Dcafe&user_id=aAoWA14TW5TbexwIZ7UBMA,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=aAoWA14TW5TbexwIZ7UBMA&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frobust-coffee-lounge-chicago%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=aAoWA14TW5TbexwIZ7UBMA&previous_url=https://www.yelp.com/biz/robust-coffee-lounge-chicago?osq=cafe,Follow Amanda S.,https://www.yelp.com/following_user/remove?dst_user_id=aAoWA14TW5TbexwIZ7UBMA&previous_url=https://www.yelp.com/biz/robust-coffee-lounge-chicago?osq=cafe,Stop following Amanda S.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,8/25/2018,I love this coffee shop because it's a nice place where I am able to get my work done when I want to get out the house. My only disappointment is that they are frequently out of chai tea when I visit in the afternoons. They also have a pretty good selection of sandwiches and small salads.I see based on other reviews I have to try the honey nut latte. I'll try on my next visit.,Was this review …?,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=-Tp77Ce5OCpP1-KXUYtX9A&flag_id=MzrbvQymc09g3Zb1pGaOiw&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frobust-coffee-lounge-chicago%3Fosq%3Dcafe,Report review,[object Object],,
https://www.yelp.com/user_details?userid=QNGMAfrCUBAEv7OXcJ-0-w,https://s3-media4.fl.yelpcdn.com/photo/2UD7di2yv6oQmHk8tWw2GQ/60s.jpg,Njeri P.,"Chicago, IL",friends,208,reviews,37,photos,[object Object],88,https://www.yelp.com/biz_share/-Tp77Ce5OCpP1-KXUYtX9A/review/KuyGFt2Msm69IRztPU5J9g,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=KuyGFt2Msm69IRztPU5J9g&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frobust-coffee-lounge-chicago%3Fosq%3Dcafe&user_id=QNGMAfrCUBAEv7OXcJ-0-w,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=QNGMAfrCUBAEv7OXcJ-0-w&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frobust-coffee-lounge-chicago%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=QNGMAfrCUBAEv7OXcJ-0-w&previous_url=https://www.yelp.com/biz/robust-coffee-lounge-chicago?osq=cafe,Follow Njeri P.,https://www.yelp.com/following_user/remove?dst_user_id=QNGMAfrCUBAEv7OXcJ-0-w&previous_url=https://www.yelp.com/biz/robust-coffee-lounge-chicago?osq=cafe,Stop following Njeri P.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,8/13/2018,"Robust is such a great space to work or meet up with friends.Food: I like to get the bacon, egg, and cheese on an English muffin. The first time I ordered it, I ate it so fast I forgot to take a picture. Lol. When I went back the second time, I remembered. They also have donuts and a variety of food (sandwiches, salads) you can order. Drinks: I enjoy their berry smoothie. The first time I went, I ordered the Honey Nut Latte. It was decent, but I prefer to go to Robust for the food and the space. Space: Robust is huge. There is a ton of space in the front and the back. You never feel too closed in next to someone  else. The cafe has nice big windows which lets in a lot of natural light. Service: the service is always good. The baristas and cashiers are always kind, and provide good service. I definitely recommend going to Robust. If I lived closer I would definitely be a regular.",Was this review …?,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=-Tp77Ce5OCpP1-KXUYtX9A&flag_id=KuyGFt2Msm69IRztPU5J9g&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frobust-coffee-lounge-chicago%3Fosq%3Dcafe,Report review,[object Object],,
https://www.yelp.com/user_details?userid=BhZ6ADniRhn3Qew4f6i0Rw,https://s3-media4.fl.yelpcdn.com/photo/HXui7eXHOvsRgNpVnlJiog/60s.jpg,Aly A.,"Chicago, IL",friends,0,reviews,5,,,,https://www.yelp.com/biz_share/-Tp77Ce5OCpP1-KXUYtX9A/review/ozYmUlr0Mx1ekumTG-pYDQ,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=ozYmUlr0Mx1ekumTG-pYDQ&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frobust-coffee-lounge-chicago%3Fosq%3Dcafe&user_id=BhZ6ADniRhn3Qew4f6i0Rw,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=BhZ6ADniRhn3Qew4f6i0Rw&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frobust-coffee-lounge-chicago%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=BhZ6ADniRhn3Qew4f6i0Rw&previous_url=https://www.yelp.com/biz/robust-coffee-lounge-chicago?osq=cafe,Follow Aly A.,https://www.yelp.com/following_user/remove?dst_user_id=BhZ6ADniRhn3Qew4f6i0Rw&previous_url=https://www.yelp.com/biz/robust-coffee-lounge-chicago?osq=cafe,Stop following Aly A.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,12/20/2018,Coffee was amazing!! I got an iced caramel latte and my friend got a hot french vanilla latte. 10/10 and the customer service was sweet and patient.,Was this review …?,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=-Tp77Ce5OCpP1-KXUYtX9A&flag_id=ozYmUlr0Mx1ekumTG-pYDQ&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frobust-coffee-lounge-chicago%3Fosq%3Dcafe,Report review,,,
https://www.yelp.com/user_details?userid=O37wZETQhNbgUSrITqQjiA,https://s3-media4.fl.yelpcdn.com/photo/v3UliLRRREdjFzEgggdK6g/60s.jpg,Stephen M.,"Chicago, IL",friends,0,reviews,38,photos,[object Object],7,https://www.yelp.com/biz_share/-Tp77Ce5OCpP1-KXUYtX9A/review/ooYmPOpZ8UWUvoCseYAj1A,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=ooYmPOpZ8UWUvoCseYAj1A&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frobust-coffee-lounge-chicago%3Fosq%3Dcafe&user_id=O37wZETQhNbgUSrITqQjiA,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=O37wZETQhNbgUSrITqQjiA&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frobust-coffee-lounge-chicago%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=O37wZETQhNbgUSrITqQjiA&previous_url=https://www.yelp.com/biz/robust-coffee-lounge-chicago?osq=cafe,Follow Stephen M.,https://www.yelp.com/following_user/remove?dst_user_id=O37wZETQhNbgUSrITqQjiA&previous_url=https://www.yelp.com/biz/robust-coffee-lounge-chicago?osq=cafe,Stop following Stephen M.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,10/25/2018,So happy this gem is in my neighborhood. I've been coming here for about 3 years. I can enjoy Robust even when I'm working from home because they deliver! We love the breakfast sandwich and brisket grilled cheese.,voted for this review,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=-Tp77Ce5OCpP1-KXUYtX9A&flag_id=ooYmPOpZ8UWUvoCseYAj1A&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frobust-coffee-lounge-chicago%3Fosq%3Dcafe,Report review,,1,
https://www.yelp.com/user_details?userid=WuTctu16YC1bRsRybJNG0Q,https://s3-media1.fl.yelpcdn.com/photo/LdlnoVXkj20hTxMfPR_hHA/60s.jpg,Tiffany G.,"Chicago, IL",friends,0,reviews,8,,,,https://www.yelp.com/biz_share/-Tp77Ce5OCpP1-KXUYtX9A/review/jJqAqtI5cnnmauCV1r7lMg,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=jJqAqtI5cnnmauCV1r7lMg&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frobust-coffee-lounge-chicago%3Fosq%3Dcafe&user_id=WuTctu16YC1bRsRybJNG0Q,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=WuTctu16YC1bRsRybJNG0Q&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frobust-coffee-lounge-chicago%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=WuTctu16YC1bRsRybJNG0Q&previous_url=https://www.yelp.com/biz/robust-coffee-lounge-chicago?osq=cafe,Follow Tiffany G.,https://www.yelp.com/following_user/remove?dst_user_id=WuTctu16YC1bRsRybJNG0Q&previous_url=https://www.yelp.com/biz/robust-coffee-lounge-chicago?osq=cafe,Stop following Tiffany G.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,12/1/2018,Good experience every time! On the pricey side for food but lattes are in the standard price range.,Was this review …?,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=-Tp77Ce5OCpP1-KXUYtX9A&flag_id=jJqAqtI5cnnmauCV1r7lMg&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frobust-coffee-lounge-chicago%3Fosq%3Dcafe,Report review,,,
https://www.yelp.com/user_details?userid=f0SHitrEqc5k0DwWyPlY9w,https://s3-media2.fl.yelpcdn.com/photo/Pj1O4LE6eOcviig4IEomfQ/60s.jpg,Salena C.,"Chicago, IL",friends,1158,reviews,401,photos,[object Object],1027,https://www.yelp.com/biz_share/-Tp77Ce5OCpP1-KXUYtX9A/review/z2n3TyOj995Bghk-Dd67YQ,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=z2n3TyOj995Bghk-Dd67YQ&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frobust-coffee-lounge-chicago%3Fosq%3Dcafe&user_id=f0SHitrEqc5k0DwWyPlY9w,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=f0SHitrEqc5k0DwWyPlY9w&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frobust-coffee-lounge-chicago%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=f0SHitrEqc5k0DwWyPlY9w&previous_url=https://www.yelp.com/biz/robust-coffee-lounge-chicago?osq=cafe,Follow Salena C.,https://www.yelp.com/following_user/remove?dst_user_id=f0SHitrEqc5k0DwWyPlY9w&previous_url=https://www.yelp.com/biz/robust-coffee-lounge-chicago?osq=cafe,Stop following Salena C.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,9/28/2017,"Let's spend a second dreaming about that Honey Nut Latte. HOLY DELICIOUS! Who knew coffee, almond milk and honey could be so perfect?! I will say, it is a bit pricey at almost $5.50, but as a VERY occasional treat, 100% worth it! While I was there I also (calorically, not monetarily) splurged on an amazing double chocolate cake donut. I had to remind myself that I was in public and need not inhale it. Their drinks and sweets are so on point at Robust. Pro-tip: Between 6am-8am all food is 50%!The only downfall is not everyone that works there is kind or efficient. They typically have one person working cash register (and serving simple black coffee) and one person making all of the other drinks, so if you snoozed, you're losing, because you might be 10th in line even at 7:30am! .... totally worth it though for that honey nut latte and donut :)",voted for this review,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=-Tp77Ce5OCpP1-KXUYtX9A&flag_id=z2n3TyOj995Bghk-Dd67YQ&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frobust-coffee-lounge-chicago%3Fosq%3Dcafe,Report review,[object Object],10,7
https://www.yelp.com/user_details?userid=3byssbDuFwLnfqS57dwfcA,https://s3-media1.fl.yelpcdn.com/photo/FmW1ZJ90DP8Z-jLnNdr_0A/60s.jpg,Michele E.,"Chicago, IL",friends,13,reviews,85,photos,[object Object],177,https://www.yelp.com/biz_share/-Tp77Ce5OCpP1-KXUYtX9A/review/XoCGyYJOy28fKIpbsw7nzw,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=XoCGyYJOy28fKIpbsw7nzw&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frobust-coffee-lounge-chicago%3Fosq%3Dcafe&user_id=3byssbDuFwLnfqS57dwfcA,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=3byssbDuFwLnfqS57dwfcA&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frobust-coffee-lounge-chicago%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=3byssbDuFwLnfqS57dwfcA&previous_url=https://www.yelp.com/biz/robust-coffee-lounge-chicago?osq=cafe,Follow Michele E.,https://www.yelp.com/following_user/remove?dst_user_id=3byssbDuFwLnfqS57dwfcA&previous_url=https://www.yelp.com/biz/robust-coffee-lounge-chicago?osq=cafe,Stop following Michele E.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,4/7/2018,"Stopped in because need a pick me up. Their speciality is the mocha diablo..it is espresso, milk and the in house diablo syrup. I did almond milk instead of regular milk. I will say that the Diablo is the bomb! It's the right hint of spicy and also not too sweet. They also have an assortment of pastries but I didn't try any..if you want a cute little coffee shop I think Robust will provide.",voted for this review,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=-Tp77Ce5OCpP1-KXUYtX9A&flag_id=XoCGyYJOy28fKIpbsw7nzw&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frobust-coffee-lounge-chicago%3Fosq%3Dcafe,Report review,[object Object],2,2
https://www.yelp.com/user_details?userid=k-3aficOAh08xIz4nciTKQ,https://s3-media1.fl.yelpcdn.com/photo/aswASl0ZLLEwpaAG6pqDcw/60s.jpg,Cristian S.,"Orlando, FL",friends,194,reviews,51,photos,[object Object],80,https://www.yelp.com/biz_share/-Tp77Ce5OCpP1-KXUYtX9A/review/X2tWsEmnD4GsmhG8AhbIFQ,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=X2tWsEmnD4GsmhG8AhbIFQ&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frobust-coffee-lounge-chicago%3Fosq%3Dcafe&user_id=k-3aficOAh08xIz4nciTKQ,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=k-3aficOAh08xIz4nciTKQ&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frobust-coffee-lounge-chicago%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=k-3aficOAh08xIz4nciTKQ&previous_url=https://www.yelp.com/biz/robust-coffee-lounge-chicago?osq=cafe,Follow Cristian S.,https://www.yelp.com/following_user/remove?dst_user_id=k-3aficOAh08xIz4nciTKQ&previous_url=https://www.yelp.com/biz/robust-coffee-lounge-chicago?osq=cafe,Stop following Cristian S.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,8/16/2018,Cute little shop in Hyde Park. I ordered a croissant and coffee which I really enjoyed. Inside looks really trendy for anyone that cares about aesthetics. Check this place out if you haven't.,Was this review …?,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=-Tp77Ce5OCpP1-KXUYtX9A&flag_id=X2tWsEmnD4GsmhG8AhbIFQ&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frobust-coffee-lounge-chicago%3Fosq%3Dcafe,Report review,[object Object],,
